cell_id,geology_key,fraction
0,2021,1.0
1,1061,1.0
2,2101,1.0
3,2101,1.0
4,2101,1.0
5,2101,1.0
6,2101,1.0
7,2101,1.0
8,2101,1.0
9,2021,1.0
10,2101,1.0
11,2101,0.17857142857142858
11,2021,0.8214285714285714
12,2101,1.0
13,1061,1.0
14,2101,0.10714285714285714
14,1061,0.8928571428571429
15,2101,1.0
16,2101,1.0
17,2101,1.0
18,2101,1.0
19,2101,1.0
20,2021,1.0
21,2021,1.0
22,1101,0.8214285714285714
22,1061,0.17857142857142858
23,2021,1.0
24,2021,1.0
25,2101,1.0
26,2101,1.0
27,2101,1.0
28,2101,1.0
29,2101,0.35714285714285715
29,1061,0.6428571428571429
30,2101,1.0
31,2101,0.5714285714285714
31,2021,0.42857142857142855
32,2101,1.0
33,2101,1.0
34,2101,1.0
35,1101,1.0
36,2021,1.0
37,2101,1.0
38,2101,0.5
38,2021,0.5
39,2021,1.0
40,2101,0.03571428571428571
40,1061,0.9642857142857143
41,2101,1.0
42,2101,1.0
43,2101,1.0
44,2101,1.0
45,2101,1.0
46,2101,1.0
47,2101,1.0
48,2101,1.0
49,2101,1.0
50,2101,1.0
51,2101,1.0
52,2021,1.0
53,2101,1.0
54,2021,1.0
55,2101,1.0
56,2101,1.0
57,2101,1.0
58,2101,1.0
59,2101,1.0
60,1101,0.5
60,1061,0.5
61,1061,1.0
62,1061,1.0
63,2101,1.0
64,2101,1.0
65,2101,1.0
66,2101,1.0
67,2101,1.0
68,1,0.25
68,1101,0.75
69,2101,1.0
70,2101,1.0
71,2101,1.0
72,2101,1.0
73,2101,1.0
74,2101,1.0
75,2101,1.0
76,1061,1.0
77,2101,1.0
78,2101,1.0
79,2101,1.0
80,1061,1.0
81,2101,0.9642857142857143
81,2021,0.03571428571428571
82,2101,1.0
83,2101,1.0
84,2101,1.0
85,2101,1.0
86,2101,1.0
87,2021,1.0
88,2101,1.0
89,2101,1.0
90,2101,1.0
91,2101,1.0
92,2101,1.0
93,2101,1.0
94,2021,1.0
95,2101,1.0
96,2101,1.0
97,2101,1.0
98,2101,1.0
99,2101,1.0
100,2101,1.0
101,2101,1.0
102,2101,1.0
103,2101,1.0
104,2101,1.0
105,2101,1.0
106,2101,1.0
107,2101,1.0
108,2101,1.0
109,2101,1.0
110,2101,1.0
111,2101,1.0
112,2101,1.0
113,2101,1.0
114,2101,1.0
115,2101,1.0
116,2101,1.0
117,2101,1.0
118,2101,1.0
119,2101,1.0
120,2021,1.0
121,2021,1.0
122,2021,1.0
123,2101,1.0
124,2101,1.0
125,2101,1.0
126,2101,1.0
127,2101,1.0
128,2101,0.9285714285714286
128,1061,0.07142857142857142
129,2101,1.0
130,2021,1.0
131,2101,1.0
132,2021,1.0
133,2021,1.0
134,2101,1.0
135,1,0.14285714285714285
135,1101,0.8571428571428571
136,2101,1.0
137,1061,1.0
138,2021,1.0
139,2101,0.07142857142857142
139,1061,0.9285714285714286
140,2101,1.0
141,2101,1.0
142,2021,1.0
143,2101,1.0
144,2021,1.0
145,2101,0.9285714285714286
145,2021,0.07142857142857142
146,2101,1.0
147,2101,1.0
148,2021,1.0
149,2021,1.0
150,2101,1.0
151,2021,1.0
152,2021,1.0
153,2101,1.0
154,2101,1.0
155,2101,1.0
156,2101,1.0
157,1061,1.0
158,2021,1.0
159,2101,1.0
160,2101,1.0
161,2101,1.0
162,2101,1.0
163,2101,1.0
164,2101,1.0
165,2101,1.0
166,2101,0.03571428571428571
166,2021,0.9642857142857143
167,2101,1.0
168,2101,1.0
169,2101,1.0
170,2101,1.0
171,2101,1.0
172,2101,1.0
173,2101,1.0
174,2101,1.0
175,2101,1.0
176,2101,1.0
177,2101,1.0
178,2101,1.0
179,1101,1.0
180,2021,1.0
181,1101,0.42857142857142855
181,2101,0.5714285714285714
182,2101,1.0
183,1101,0.07142857142857142
183,2101,0.9285714285714286
184,2101,1.0
185,2101,1.0
186,2101,1.0
187,2101,1.0
188,2101,1.0
189,2021,1.0
190,2021,1.0
191,2021,1.0
192,2101,1.0
193,2101,1.0
194,2101,1.0
195,2101,1.0
196,2101,1.0
197,2101,1.0
198,2101,1.0
199,2101,1.0
200,2101,1.0
201,2101,1.0
202,2101,1.0
203,2101,1.0
204,2101,1.0
205,2101,1.0
206,2101,1.0
207,2101,1.0
208,2101,1.0
209,2101,1.0
210,2101,1.0
211,2101,1.0
212,2021,1.0
213,2101,1.0
214,2101,1.0
215,2021,1.0
216,2101,0.07142857142857142
216,2021,0.9285714285714286
217,2101,1.0
218,2101,1.0
219,2101,1.0
220,2101,1.0
221,2101,1.0
222,2101,1.0
223,2101,1.0
224,2021,1.0
225,2101,1.0
226,2101,1.0
227,2101,1.0
228,2101,1.0
229,2101,1.0
230,2101,1.0
231,2101,0.07142857142857142
231,1061,0.9285714285714286
232,2101,1.0
233,2021,1.0
234,2101,1.0
235,2101,1.0
236,2101,1.0
237,2101,1.0
238,2101,1.0
239,2101,1.0
240,2101,1.0
241,2101,1.0
242,2101,1.0
243,2101,1.0
244,2101,1.0
245,1061,1.0
246,2101,1.0
247,2101,0.9642857142857143
247,2021,0.03571428571428571
248,2021,1.0
249,2101,1.0
250,2101,1.0
251,2101,1.0
252,2101,1.0
253,2021,1.0
254,2021,1.0
255,2021,1.0
256,2021,1.0
257,2101,1.0
258,2101,1.0
259,2021,1.0
260,2101,1.0
261,2021,1.0
262,2101,1.0
263,2101,1.0
264,2101,1.0
265,2101,1.0
266,2101,1.0
267,2101,1.0
268,2101,1.0
269,2101,1.0
270,2101,1.0
271,2021,1.0
272,2101,1.0
273,2101,1.0
274,2101,1.0
275,2101,1.0
276,2101,1.0
277,2021,1.0
278,2101,1.0
279,2101,1.0
280,2021,1.0
281,2021,1.0
282,2101,1.0
283,2101,1.0
284,2101,1.0
285,2101,1.0
286,2101,1.0
287,2101,1.0
288,2101,1.0
289,2101,1.0
290,2021,1.0
291,2021,1.0
292,2021,1.0
293,2021,1.0
294,2021,1.0
295,2101,1.0
296,2101,1.0
297,2101,1.0
298,2101,1.0
299,2101,1.0
300,2101,1.0
301,2101,1.0
302,2101,1.0
303,2101,1.0
304,2101,1.0
305,2101,1.0
306,2101,1.0
307,2101,1.0
308,2101,1.0
309,2101,1.0
310,2101,1.0
311,2101,1.0
312,2101,1.0
313,2101,1.0
314,2021,1.0
315,2101,1.0
316,2101,1.0
317,2101,1.0
318,2101,1.0
319,2101,1.0
320,2101,1.0
321,2101,1.0
322,2101,1.0
323,2101,1.0
324,2101,1.0
325,2101,1.0
326,2101,1.0
327,2101,1.0
328,2101,1.0
329,2101,1.0
330,2101,1.0
331,2101,1.0
332,2101,1.0
333,2101,1.0
334,2101,1.0
335,2101,0.07142857142857142
335,2021,0.9285714285714286
336,2101,1.0
337,2021,1.0
338,2101,1.0
339,2101,1.0
340,2101,1.0
341,2021,1.0
342,2101,1.0
343,2101,1.0
344,2101,1.0
345,2021,1.0
346,2021,1.0
347,2101,0.03571428571428571
347,1061,0.9642857142857143
348,2101,1.0
349,2101,1.0
350,2101,1.0
351,2101,1.0
352,2101,1.0
353,2101,1.0
354,2101,1.0
355,2101,1.0
356,2101,1.0
357,2101,1.0
358,2101,1.0
359,2101,1.0
360,2101,1.0
361,2101,1.0
362,2101,1.0
363,2101,1.0
364,2101,1.0
365,2021,1.0
366,2021,1.0
367,2101,1.0
368,2101,1.0
369,2101,1.0
370,2021,1.0
371,2021,1.0
372,2101,1.0
373,2101,1.0
374,2021,1.0
375,2101,1.0
376,2101,1.0
377,2101,1.0
378,2101,1.0
379,2101,1.0
380,2021,1.0
