scenario_id,scenario_label,solver_left,solver_right,pairwise_profile_rmse_m,pairwise_max_abs_error_m,pairwise_mean_abs_error_m
offset_25cm,Head offset 25 cm,modflownwt,modflow6,0.0015886126634025027,0.0023033879602252227,0.0014113606322397132
offset_25cm,Head offset 25 cm,modflownwt,boussinesq,0.18827579996180607,0.26841385157499964,0.18342849066674635
offset_25cm,Head offset 25 cm,modflow6,boussinesq,0.1870089543977225,0.26839494254590157,0.18200969719022603
offset_05cm,Head offset 5 cm,modflownwt,modflow6,0.001105156375141851,0.0016433696021298516,0.0009709598922044016
offset_05cm,Head offset 5 cm,modflownwt,boussinesq,0.07292107018315923,0.10433268274373564,0.0660459585582516
offset_05cm,Head offset 5 cm,modflow6,boussinesq,0.07393893625714644,0.10588560705008199,0.0670220179795848
offset_02cm,Head offset 2 cm,modflownwt,modflow6,0.0010951343930574481,0.0015761754913397041,0.0009745555942222417
offset_02cm,Head offset 2 cm,modflownwt,boussinesq,0.07745839275880119,0.12528533453842616,0.0642606247820426
offset_02cm,Head offset 2 cm,modflow6,boussinesq,0.07841309166433914,0.12646514962569366,0.06524031307283387
