Date;REC_REA_historic;RUN_REA_historic
01/01/2020;1.8;0.1
02/01/2020;1.7;0.0
03/01/2020;1.6;0.0
04/01/2020;1.5;0.0
05/01/2020;1.4;0.0
06/01/2020;1.3;0.0
07/01/2020;1.2;0.2
08/01/2020;1.2;0.1
09/01/2020;1.2;0.7
10/01/2020;1.2;0.0
11/01/2020;1.2;0.0
12/01/2020;1.1;0.0
13/01/2020;1.1;0.6
14/01/2020;1.6;1.9
15/01/2020;1.5;0.3
16/01/2020;1.6;1.1
17/01/2020;2.1;0.6
18/01/2020;2.0;0.0
19/01/2020;1.9;0.0
20/01/2020;1.8;0.0
21/01/2020;1.7;0.0
22/01/2020;1.5;0.0
23/01/2020;1.4;0.0
24/01/2020;1.3;0.0
25/01/2020;1.2;0.2
26/01/2020;1.1;0.6
27/01/2020;1.2;0.9
28/01/2020;1.2;0.2
29/01/2020;1.3;0.4
30/01/2020;1.5;0.6
31/01/2020;1.8;2.2
01/02/2020;2.9;1.6
02/02/2020;3.2;0.9
03/02/2020;3.3;0.2
04/02/2020;3.1;0.0
05/02/2020;2.9;0.0
06/02/2020;2.5;0.0
07/02/2020;2.2;0.7
08/02/2020;2.2;0.1
09/02/2020;2.1;0.1
10/02/2020;1.9;0.2
11/02/2020;1.8;0.2
12/02/2020;1.7;0.2
13/02/2020;1.6;0.3
14/02/2020;1.6;0.0
15/02/2020;1.5;1.2
16/02/2020;1.8;1.2
17/02/2020;1.8;0.1
18/02/2020;1.9;0.3
19/02/2020;1.8;0.2
20/02/2020;1.8;0.0
21/02/2020;1.6;0.0
22/02/2020;1.5;0.0
23/02/2020;1.5;0.1
24/02/2020;1.3;0.6
25/02/2020;1.4;0.3
26/02/2020;1.3;0.6
27/02/2020;1.5;1.0
28/02/2020;1.7;0.6
29/02/2020;1.7;0.5
01/03/2020;2.1;2.8
02/03/2020;2.9;0.7
03/03/2020;2.7;0.1
04/03/2020;4.7;4.8
05/03/2020;5.1;0.9
06/03/2020;5.0;0.0
07/03/2020;4.3;0.0
08/03/2020;3.7;0.5
09/03/2020;3.2;0.2
