lake_id,stage,volume,sarea
reservoir_cheze,67.35,624804.556199999,153101.66
reservoir_cheze,67.46,641788.321449999,155704.27
reservoir_cheze,67.55,655898.49745,157863.71
reservoir_cheze,67.66,673414.3945,160627.34
reservoir_cheze,67.75,687982.5757,163080.96
reservoir_cheze,67.86,706078.28875,165918.69
reservoir_cheze,67.95,721114.950500001,168239.84
reservoir_cheze,68.06,739775.193000001,171034.52
reservoir_cheze,68.15,755272.482050001,173356.19
reservoir_cheze,68.26,774500.093850001,176252.25
reservoir_cheze,68.35,790469.214249999,178604.29
reservoir_cheze,68.46,810272.491999999,181439.6
reservoir_cheze,68.55,826704.616449999,183728.93
reservoir_cheze,68.66,847077.162449999,186706.67
reservoir_cheze,68.75,863999.5564,189294.36
reservoir_cheze,68.86,884991.45535,192394.11
reservoir_cheze,68.95,902420.747950001,194943.55
reservoir_cheze,69.06,924038.485150001,198073.89
reservoir_cheze,69.15,941978.637400001,200583.64
reservoir_cheze,69.26,964212.692600001,203686.38
reservoir_cheze,69.35,982662.558149999,206312.79
reservoir_cheze,69.46,1005533.3548,209514.86
reservoir_cheze,69.55,1024506.85115,212142.23
reservoir_cheze,69.66,1048031.3495,215552.06
reservoir_cheze,69.75,1067554.7503,218261.0
reservoir_cheze,69.86,1091739.96375,221461.75
reservoir_cheze,69.95,1111788.7473,224083.58
reservoir_cheze,70.06,1136613.58005,227282.39
reservoir_cheze,70.15,1157191.98755,230062.51
reservoir_cheze,70.26,1182689.75505,233553.81
reservoir_cheze,70.35,1203839.21575,236427.51
reservoir_cheze,70.46,1230047.47905,240098.57
reservoir_cheze,70.55,1251786.2303,242970.0
reservoir_cheze,70.66,1278709.31575,246561.03
reservoir_cheze,70.75,1301032.4299,249504.06
reservoir_cheze,70.86,1328677.72565,253178.53
reservoir_cheze,70.95,1351599.1043,256170.06
reservoir_cheze,71.06,1379975.15745,259768.83
reservoir_cheze,71.15,1403490.54675,262837.79
reservoir_cheze,71.26,1432602.4467,266431.48
reservoir_cheze,71.35,1456710.581,269313.4
reservoir_cheze,71.46,1486529.056,272834.42
reservoir_cheze,71.55,1511212.37115,275693.97
reservoir_cheze,71.66,1541737.04065,279357.99
reservoir_cheze,71.75,1567020.66425,282490.11
reservoir_cheze,71.86,1598304.6519,286343.32
reservoir_cheze,71.95,1624216.56785,289488.45
reservoir_cheze,72.06,1656268.12725,293280.83
reservoir_cheze,72.15,1682805.2676,296453.14
reservoir_cheze,72.26,1715634.1344,300422.76
reservoir_cheze,72.35,1742818.2994,303662.36
reservoir_cheze,72.46,1776441.5879,307668.7
reservoir_cheze,72.55,1804277.90905,310928.87
reservoir_cheze,72.66,1838695.71895,314845.47
reservoir_cheze,72.75,1867175.9879,318038.06
reservoir_cheze,72.86,1902375.2408,321978.8
reservoir_cheze,72.95,1931498.4424,325186.24
reservoir_cheze,73.06,1967481.8594,329075.0
reservoir_cheze,73.15,1997245.884,332373.58
reservoir_cheze,73.26,2034025.00845,336330.13
reservoir_cheze,73.35,2064441.54775,339645.27
reservoir_cheze,73.46,2102042.2951,343934.02
reservoir_cheze,73.55,2133147.4085,347298.36
reservoir_cheze,73.66,2171577.5038,351459.38
reservoir_cheze,73.75,2203363.573,354891.34
reservoir_cheze,73.86,2242639.6704,359252.16
reservoir_cheze,73.95,2275129.77545,362745.45
reservoir_cheze,74.06,2315264.1907,366931.02
reservoir_cheze,74.15,2348438.758,370288.46
reservoir_cheze,74.26,2389406.232,374560.76
reservoir_cheze,74.35,2423270.796,377982.86
reservoir_cheze,74.46,2465081.08665,382206.27
reservoir_cheze,74.55,2499633.37925,385621.91
reservoir_cheze,74.66,2542288.47635,389963.71
reservoir_cheze,74.75,2577551.9752,393676.86
reservoir_cheze,74.86,2621101.25975,398178.77
reservoir_cheze,74.95,2657108.7866,401982.02
reservoir_cheze,75.06,2701591.3036,406907.06
reservoir_cheze,75.15,2738402.50180001,411131.92
reservoir_cheze,75.26,2783912.36810001,416279.32
reservoir_cheze,75.35,2821561.15995,420349.45
reservoir_cheze,75.46,2868088.17545,425657.73
reservoir_cheze,75.55,2906590.63385,429935.29
reservoir_cheze,75.66,2954165.84685,435065.67
reservoir_cheze,75.75,2993511.4184,439302.2
reservoir_cheze,75.86,3042117.7301,444422.86
reservoir_cheze,75.95,3082305.58605001,448589.67
reservoir_cheze,76.06,3131927.14975,453678.65
reservoir_cheze,76.15,3172945.90635001,457823.31
reservoir_cheze,76.26,3223587.97460001,462934.34
reservoir_cheze,76.35,3265441.04595,467155.29
reservoir_cheze,76.46,3317116.45475,472396.65
reservoir_cheze,76.55,3359829.4463,476791.44
reservoir_cheze,76.66,3412579.0428,482370.54
reservoir_cheze,76.75,3456193.8333,486857.94
reservoir_cheze,76.86,3510060.67075,492609.09
reservoir_cheze,76.95,3554612.55635001,497490.53
reservoir_cheze,77.06,3609656.50260001,503258.84
reservoir_cheze,77.15,3655162.56235001,507996.37
reservoir_cheze,77.26,3711369.41205001,513920.29
reservoir_cheze,77.35,3757852.98905,519044.11
reservoir_cheze,77.46,3815285.48185,525277.33
reservoir_cheze,77.55,3862795.95940001,530497.92
reservoir_cheze,77.66,3921498.81030001,536820.64
reservoir_cheze,77.75,3970048.50235001,542049.05
reservoir_cheze,77.86,4030038.31340001,548670.44
reservoir_cheze,77.95,4079658.91280001,554025.68
reservoir_cheze,78.06,4140976.06945001,560761.87
reservoir_cheze,78.15,4191683.57755001,566045.83
reservoir_cheze,78.26,4254306.52955001,572556.81
reservoir_cheze,78.35,4306075.99275001,577860.65
reservoir_cheze,78.46,4369996.73875001,584374.01
reservoir_cheze,78.55,4422833.60690001,589852.28
reservoir_cheze,78.66,4488106.09075001,597007.79
reservoir_cheze,78.75,4542111.11880001,603150.74
reservoir_cheze,78.86,4608871.75140001,610655.9
reservoir_cheze,78.95,4664102.99970001,616714.54
reservoir_cheze,79.06,4732353.47670001,624147.68
reservoir_cheze,79.15,4788803.90130001,630356.86
reservoir_cheze,79.26,4858557.44310001,637870.22
reservoir_cheze,79.35,4916243.85300001,644091.42
reservoir_cheze,79.46,4987534.0869,652107.02
reservoir_cheze,79.55,5046517.50340001,658616.96
reservoir_cheze,79.66,5119409.02265001,666766.75
reservoir_cheze,79.75,5179722.04245001,673432.25
reservoir_cheze,79.86,5254226.03440001,681189.94
reservoir_cheze,79.95,5315821.81745001,687588.47
reservoir_cheze,80.06,5391876.14035001,695180.65
reservoir_cheze,80.15,5454724.30920001,701488.76
reservoir_cheze,80.26,5532314.70670001,709210.38
reservoir_cheze,80.35,5596428.56435001,715568.19
reservoir_cheze,80.46,5675571.55730001,723387.38
reservoir_cheze,80.55,5740964.39695001,729775.01
reservoir_cheze,80.66,5821660.21250001,737399.6
reservoir_cheze,80.75,5888305.68505001,743634.89
reservoir_cheze,80.86,5970538.75675001,751572.03
reservoir_cheze,80.95,6038485.21770001,758389.56
reservoir_cheze,81.06,6122398.95510001,767516.96
reservoir_cheze,81.15,6191814.23015001,775077.59
reservoir_cheze,81.26,6277592.58375001,784484.67
reservoir_cheze,81.35,6348537.52675,792024.55
reservoir_cheze,81.46,6436156.0287,801066.52
reservoir_cheze,81.55,6508583.11420001,808393.02
reservoir_cheze,81.66,6598000.47440001,817434.64
reservoir_cheze,81.75,6671909.61175001,824941.67
reservoir_cheze,81.86,6763156.22935001,834163.89
reservoir_cheze,81.95,6838585.48730001,842048.48
reservoir_cheze,82.06,6931742.40870001,851773.32
reservoir_cheze,82.15,7008771.83715001,859900.07
reservoir_cheze,82.26,7103898.58340001,869685.84
reservoir_cheze,82.35,7182534.0808,877792.88
reservoir_cheze,82.46,7279637.7481,887714.06
reservoir_cheze,82.55,7359899.02830001,895854.76
reservoir_cheze,82.66,7458991.78995001,905921.95
reservoir_cheze,82.75,7540912.76495001,914635.19
reservoir_cheze,82.86,7642108.61330001,925313.24
reservoir_cheze,82.95,7725785.24700001,934218.82
reservoir_cheze,83.06,7829150.49525001,945191.13
reservoir_cheze,83.15,7914639.77140001,954677.88
