=== TOP 120 CUMULATIVE ===
         67825484 function calls (64722086 primitive calls) in 120.316 seconds

   Ordered by: cumulative time
   List reduced from 6205 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11520    0.210    0.000   11.672    0.001 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:882(__setitem__)
        1    0.000    0.000   10.657   10.657 C:\codes\HydroModPy-GH\validation_cases\calibration\shared\runtime.py:286(synthesize_truth_observations)
   732000    0.694    0.000    9.207    0.000 {method 'mean' of 'numpy.ndarray' objects}
    11520    0.199    0.000    9.159    0.001 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1785(_setitem_with_indexer)
       24    0.023    0.001    8.915    0.371 C:\codes\HydroModPy-GH\hydromodpy\solver\modflow6\modflow6.py:1270(pre_processing)
       48    0.019    0.000    8.786    0.183 C:\codes\HydroModPy-GH\launchers\model_calibration\output_selection.py:461(_raw_model_variable_payload)
       46    0.044    0.001    8.712    0.189 C:\codes\HydroModPy-GH\launchers\model_calibration\output_selection.py:287(_modflow6_raw_output_payloads)
      264    0.026    0.000    8.531    0.032 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:2505(_update_size_defs)
   732175    2.761    0.000    8.518    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\numpy\_core\_methods.py:119(_mean)
     1440    0.013    0.000    8.461    0.006 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:2342(get_data)
     1440    0.021    0.000    8.360    0.006 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:1679(get_data)
     1440    0.013    0.000    8.339    0.006 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:1640(_get_data)
     1440    0.010    0.000    8.040    0.006 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:1633(_dataframe_to_recarray)
42216/30696    0.269    0.000    7.689    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1176(__getitem__)
     4680    0.012    0.000    7.532    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:1217(get_file_entry)
       47    0.001    0.000    7.531    0.160 C:\codes\HydroModPy-GH\hydromodpy\solver\modflow6\modflow6.py:1508(_open_budget_file)
       47    0.002    0.000    7.530    0.160 C:\Python312\Lib\site-packages\flopy\utils\binaryfile\__init__.py:942(__init__)
     4680    0.062    0.000    7.520    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:1237(_get_file_entry)
       94    0.003    0.000    7.512    0.080 C:\Python312\Lib\site-packages\flopy\utils\binaryfile\__init__.py:1059(_set_precision)
       94    0.671    0.007    7.508    0.080 C:\Python312\Lib\site-packages\flopy\utils\binaryfile\__init__.py:1134(_build_index)
     3120    0.040    0.000    7.330    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:1405(_get_file_entry_layer)
     3072    0.024    0.000    7.210    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:1514(_get_data_layer_string)
    11520    0.241    0.000    7.166    0.001 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1946(_setitem_with_indexer_split_path)
     4320    0.022    0.000    7.133    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:2183(get_file_entry)
     1440    0.079    0.000    6.982    0.005 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:299(_add_cellid_fields)
     3072    1.322    0.000    6.793    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mffileaccess.py:516(get_data_string)
     3504    0.019    0.000    6.415    0.002 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:2893(build_mfdata)
     3504    0.024    0.000    6.354    0.002 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:620(add_dataset)
45568/44128    0.809    0.000    6.086    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\series.py:389(__init__)
    14400    0.208    0.000    6.005    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1032(_getitem_lowerdim)
    11520    0.096    0.000    5.735    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1365(_getitem_tuple)
16019979/15936049    4.185    0.000    5.671    0.000 {built-in method builtins.isinstance}
24364/23764    0.070    0.000    5.451    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\ops\common.py:62(new_method)
460776/456912    0.302    0.000    5.351    0.000 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdatastorage.py:683(get_data)
    23400    0.118    0.000    5.223    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1397(_getitem_axis)
   361728    1.013    0.000    5.214    0.000 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:291(get_transient_key)
470760/466896    1.148    0.000    5.199    0.000 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdatastorage.py:690(_access_data)
    15144    0.220    0.000    5.164    0.000 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:1347(header_exists)
        4    0.000    0.000    5.102    1.275 C:\codes\HydroModPy-GH\launchers\process_simulation\launcher.py:657(_run_setup)
        4    0.000    0.000    4.903    1.226 C:\codes\HydroModPy-GH\launchers\process_simulation\launcher.py:457(_build_geographic_runtime)
        4    0.000    0.000    4.903    1.226 C:\codes\HydroModPy-GH\hydromodpy\spatial\geographic\synthetic\synthetic_geographic.py:335(build_synthetic_geographic)
        4    0.000    0.000    4.903    1.226 C:\codes\HydroModPy-GH\hydromodpy\spatial\geographic\synthetic\synthetic_geographic.py:108(__init__)
    11520    0.207    0.000    4.882    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:2111(_setitem_single_column)
        4    0.001    0.000    4.864    1.216 C:\codes\HydroModPy-GH\hydromodpy\spatial\geographic\synthetic\synthetic_geographic.py:132(_build)
    26317    0.215    0.000    4.724    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\frame.py:4062(__getitem__)
        2    0.000    0.000    4.651    2.325 C:\codes\HydroModPy-GH\launchers\model_calibration\launcher.py:43(prepare)
        2    0.000    0.000    4.631    2.316 C:\codes\HydroModPy-GH\launchers\model_calibration\runtime.py:2654(prepare_calibration_session)
        4    0.023    0.006    4.578    1.145 C:\codes\HydroModPy-GH\hydromodpy\spatial\geographic\synthetic\synthetic_geographic.py:255(_write_polygons_and_contour)
   402312    0.356    0.000    4.546    0.000 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdatascalar.py:115(get_data)
     7992    0.028    0.000    4.529    0.001 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:416(data_factory)
        2    0.001    0.000    4.512    2.256 C:\codes\HydroModPy-GH\launchers\model_calibration\runtime.py:2474(prepare_hydraulic_property_support)
        2    0.000    0.000    4.510    2.255 C:\codes\HydroModPy-GH\launchers\model_calibration\runtime.py:482(_prepare_runtime_hydraulic_property_support)
    19928    0.477    0.000    4.505    0.000 C:\Python312\Lib\site-packages\flopy\utils\binaryfile\__init__.py:1313(_get_header)
    11880    0.053    0.000    4.370    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1205(_getbool_axis)
       20    0.000    0.000    4.369    0.218 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\geopandas\geodataframe.py:1530(to_file)
       20    0.002    0.000    4.369    0.218 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\geopandas\io\file.py:614(_to_file)
       20    0.001    0.000    4.232    0.212 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\geopandas\io\file.py:775(_to_file_pyogrio)
       20    0.007    0.000    4.230    0.212 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pyogrio\geopandas.py:528(write_dataframe)
    14760    0.060    0.000    4.122    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\generic.py:4142(_take_with_is_copy)
       20    4.109    0.205    4.113    0.206 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pyogrio\raw.py:595(write)
      240    0.025    0.000    4.031    0.017 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:1329(_add_missing_block_headers)
   919140    3.990    0.000    3.990    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    14760    0.186    0.000    3.953    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\generic.py:4027(take)
   116257    0.340    0.000    3.809    0.000 C:\Python312\Lib\site-packages\flopy\utils\binaryfile\__init__.py:168(binaryread)
    23164    0.174    0.000    3.566    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\series.py:6201(_construct_result)
    11520    0.110    0.000    3.553    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\generic.py:12678(_inplace_method)
     4320    0.019    0.000    3.467    0.001 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\frame.py:5433(drop)
