=== TOP 120 CUMULATIVE ===
         75213680 function calls (71746190 primitive calls) in 105.090 seconds

   Ordered by: cumulative time
   List reduced from 3007 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       27    0.024    0.001    7.828    0.290 C:\codes\HydroModPy-GH\hydromodpy\solver\modflow6\modflow6.py:1270(pre_processing)
   823500    0.619    0.000    7.764    0.000 {method 'mean' of 'numpy.ndarray' objects}
47433/34473    0.276    0.000    7.411    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1176(__getitem__)
      297    0.025    0.000    7.323    0.025 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:2505(_update_size_defs)
       54    0.019    0.000    7.307    0.135 C:\codes\HydroModPy-GH\launchers\model_calibration\output_selection.py:461(_raw_model_variable_payload)
     1620    0.029    0.000    7.266    0.004 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:2342(get_data)
       52    0.038    0.001    7.237    0.139 C:\codes\HydroModPy-GH\launchers\model_calibration\output_selection.py:287(_modflow6_raw_output_payloads)
   823696    2.453    0.000    7.150    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\numpy\_core\_methods.py:119(_mean)
     1620    0.020    0.000    7.149    0.004 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:1679(get_data)
     1620    0.014    0.000    7.130    0.004 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:1640(_get_data)
     5265    0.012    0.000    6.931    0.001 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:1217(get_file_entry)
     5265    0.063    0.000    6.919    0.001 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:1237(_get_file_entry)
     1620    0.009    0.000    6.892    0.004 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:1633(_dataframe_to_recarray)
    12960    0.252    0.000    6.785    0.001 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1946(_setitem_with_indexer_split_path)
     3510    0.035    0.000    6.728    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:1405(_get_file_entry_layer)
     4860    0.020    0.000    6.648    0.001 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:2183(get_file_entry)
     3456    0.027    0.000    6.624    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:1514(_get_data_layer_string)
        1    0.000    0.000    6.355    6.355 C:\codes\HydroModPy-GH\validation_cases\calibration\shared\runtime.py:286(synthesize_truth_observations)
     3456    1.223    0.000    6.201    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mffileaccess.py:516(get_data_string)
       53    0.001    0.000    6.058    0.114 C:\codes\HydroModPy-GH\hydromodpy\solver\modflow6\modflow6.py:1508(_open_budget_file)
       53    0.002    0.000    6.057    0.114 C:\Python312\Lib\site-packages\flopy\utils\binaryfile\__init__.py:942(__init__)
