solver,solver_label,elapsed_days,recharge_mm_day,drainage_flux_m3_day,east_boundary_outflow_m3_day,total_outflow_m3_day,max_clearance_m,accumulation_proxy_m3_day,surface_excess_flux_m3_day
modflownwt,MODFLOW-NWT,30.0,0.6,0.0,1.7101579753216356,1.7101579753216356,0.0,0.0,
modflownwt,MODFLOW-NWT,60.0,1.8,0.0,6.059375609038398,6.059375609038398,0.0,0.0,
modflownwt,MODFLOW-NWT,90.0,3.0,0.20411782615497032,11.919648433104157,12.123766259259128,0.0,0.48686430963584826,
modflownwt,MODFLOW-NWT,120.0,4.2,4.520649571622926,17.607697192579508,22.128346764202433,0.13995647430419922,32.74256215599962,
modflownwt,MODFLOW-NWT,150.0,5.4,21.81514906224038,21.38013259973377,43.19528166197415,0.4305148124694824,295.03539303859725,
modflownwt,MODFLOW-NWT,180.0,7.2,52.28933464240981,24.875174998305738,77.16450964071555,0.7365090052286778,996.7442920435133,
modflownwt,MODFLOW-NWT,210.0,6.0,47.21178813761071,22.814945527352393,70.0267336649631,0.6317234039306641,940.2422535504229,
modflownwt,MODFLOW-NWT,240.0,4.8,35.76130936926347,20.707848225720227,56.4691575949837,0.4972829818725586,682.6126052423206,
modflownwt,MODFLOW-NWT,270.0,3.6,24.348628970892605,18.597179604694247,42.94580857558685,0.3602339426676435,431.47616642809226,
modflownwt,MODFLOW-NWT,300.0,2.4,13.548631586400006,16.474701929837465,30.02333351623747,0.21987565358479788,208.71969318459378,
modflownwt,MODFLOW-NWT,330.0,1.2,4.429967644273347,14.305273757781833,18.73524140205518,0.07472753524780273,48.05849728377325,
modflownwt,MODFLOW-NWT,360.0,0.6,1.1043037006174927,13.03035548189655,14.134659182514042,0.0012542406717939159,6.252278923761878,
modflownwt,MODFLOW-NWT,390.0,0.0,0.16063349181365538,11.061317869462073,11.221951361275728,0.0,0.3769805609948662,
modflownwt,MODFLOW-NWT,420.0,0.0,0.07296351514014532,9.730862150900066,9.803825666040211,0.0,0.14592703028029064,
modflownwt,MODFLOW-NWT,450.0,0.0,0.040475117248206516,8.43132653972134,8.471801656969546,0.0,0.08095023449641303,
modflownwt,MODFLOW-NWT,480.0,0.0,0.011611678121425939,7.276789104798809,7.288400782920235,0.0,0.023223356242851878,
modflownwt,MODFLOW-NWT,510.0,0.0,0.0,6.273524957941845,6.273524957941845,0.0,0.0,
modflownwt,MODFLOW-NWT,540.0,0.0,0.0,5.405460804468021,5.405460804468021,0.0,0.0,
modflownwt,MODFLOW-NWT,570.0,0.0,0.0,4.659310437273234,4.659310437273234,0.0,0.0,
modflownwt,MODFLOW-NWT,600.0,0.0,0.0,4.021583654684946,4.021583654684946,0.0,0.0,
modflownwt,MODFLOW-NWT,630.0,0.0,0.0,3.4747687488561496,3.4747687488561496,0.0,0.0,
modflownwt,MODFLOW-NWT,660.0,0.0,0.0,3.005236273747869,3.005236273747869,0.0,0.0,
modflownwt,MODFLOW-NWT,690.0,0.0,0.0,2.6026647014077753,2.6026647014077753,0.0,0.0,
modflownwt,MODFLOW-NWT,720.0,0.0,0.0,2.255540282931179,2.255540282931179,0.0,0.0,
modflow6,MODFLOW 6,30.0,0.6,0.0,1.7198489796678766,1.7198489796678766,0.0,0.0,
modflow6,MODFLOW 6,60.0,1.8,0.0,6.0728995216119,6.0728995216119,0.0,0.0,
modflow6,MODFLOW 6,90.0,3.0,0.20661842290485574,11.93633365184546,12.142952074750315,0.0,0.4952052216737002,
modflow6,MODFLOW 6,120.0,4.2,4.545683962391838,17.6174219775041,22.16310593989594,0.14055218301089578,32.99794968270362,
modflow6,MODFLOW 6,150.0,5.4,21.832579189213913,21.37847865299386,43.21105784220777,0.4305998660428365,295.4509105725265,
modflow6,MODFLOW 6,180.0,7.2,52.32303074213735,24.876573622934323,77.19960436507168,0.7367990330937388,997.6710200518937,
modflow6,MODFLOW 6,210.0,6.0,47.18317343207944,22.811582114326406,69.99475554640586,0.6313448256985357,939.6016251027504,
modflow6,MODFLOW 6,240.0,4.8,35.74907771336299,20.70706828475259,56.45614599811559,0.4971603295421616,682.2897767311588,
modflow6,MODFLOW 6,270.0,3.6,24.339006987983694,18.596856600954663,42.93586358893836,0.36015389008996923,431.2146817163466,
modflow6,MODFLOW 6,300.0,2.4,13.5374596960511,16.47396763963386,30.011427335684957,0.21974093288028484,208.47105301299962,
modflow6,MODFLOW 6,330.0,1.2,4.418641503062406,14.303954070754013,18.72259557381642,0.07453849977315485,47.8722559484595,
modflow6,MODFLOW 6,360.0,0.6,1.101141913181813,13.028578982253872,14.129720895435685,0.0012022832296167962,6.224497840753429,
modflow6,MODFLOW 6,390.0,0.0,0.16013564526667015,11.058007800170076,11.218143445436747,0.0,0.375319884790315,
modflow6,MODFLOW 6,420.0,0.0,0.07266242154461168,9.718804740184439,9.79146716172905,0.0,0.14532484456140082,
modflow6,MODFLOW 6,450.0,0.0,0.04005395960729151,8.414466262691638,8.45452022229893,0.0,0.08010791952983709,
modflow6,MODFLOW 6,480.0,0.0,0.011095248037402604,7.256117799896085,7.267213047933487,0.0,0.022190496224538947,
modflow6,MODFLOW 6,510.0,0.0,0.0,6.251077890216639,6.251077890216639,0.0,0.0,
modflow6,MODFLOW 6,540.0,0.0,0.0,5.380368308504822,5.380368308504822,0.0,0.0,
modflow6,MODFLOW 6,570.0,0.0,0.0,4.631834879861327,4.631834879861327,0.0,0.0,
modflow6,MODFLOW 6,600.0,0.0,0.0,3.9913074514392037,3.9913074514392037,0.0,0.0,
modflow6,MODFLOW 6,630.0,0.0,0.0,3.4431063204672703,3.4431063204672703,0.0,0.0,
modflow6,MODFLOW 6,660.0,0.0,0.0,2.9725996711085836,2.9725996711085836,0.0,0.0,
modflow6,MODFLOW 6,690.0,0.0,0.0,2.568181453829391,2.568181453829391,0.0,0.0,
modflow6,MODFLOW 6,720.0,0.0,0.0,2.2197931454634228,2.2197931454634228,0.0,0.0,
boussinesq,Boussinesq,30.0,0.6,0.008732072456419075,4.858571293154718,12.25128450145607,-0.014877714131218411,,7.383981135844932
boussinesq,Boussinesq,60.0,1.8,0.0014120427653823812,5.644239355932229,19.755444808870106,-0.013245313217319143,,14.109793410172495
boussinesq,Boussinesq,90.0,3.0,0.00022833809319570267,5.771287878404259,28.759188046886358,-0.008296852081197237,,22.9876718303889
boussinesq,Boussinesq,120.0,4.2,3.6924003754961634e-05,5.791832595186402,41.81079817838387,-0.0038098756732516392,,36.01892865919371
boussinesq,Boussinesq,150.0,5.4,5.9708946262162505e-06,5.79515483161338,59.24144878109429,-0.0015007178070352012,,53.446287978586284
boussinesq,Boussinesq,180.0,7.2,9.655392338459024e-07,5.795692062750497,85.98732656625772,-0.00047905274786774754,,80.19163353796799
boussinesq,Boussinesq,210.0,6.0,1.56135062127305e-07,5.7957789371259345,79.17279752781616,-0.00016968281590301615,,73.37701843455517
