point_id,point_label,x_m,solver,solver_label,elapsed_days,head_m,clearance_m
upper_slope,Upper slope,5.0,boussinesq,Boussinesq,390.0,7.8878996785169635,-2.0496003214830365
upper_slope,Upper slope,5.0,boussinesq,Boussinesq,420.0,7.4981716549229835,-2.4393283450770165
upper_slope,Upper slope,5.0,boussinesq,Boussinesq,450.0,7.165647689354613,-2.7718523106453867
upper_slope,Upper slope,5.0,boussinesq,Boussinesq,480.0,6.8802684928789155,-3.0572315071210845
upper_slope,Upper slope,5.0,boussinesq,Boussinesq,510.0,6.634515650448272,-3.3029843495517284
upper_slope,Upper slope,5.0,boussinesq,Boussinesq,540.0,6.422436757864626,-3.5150632421353736
upper_slope,Upper slope,5.0,boussinesq,Boussinesq,570.0,6.2391551300574735,-3.6983448699425265
upper_slope,Upper slope,5.0,boussinesq,Boussinesq,600.0,6.080595946187021,-3.856904053812979
upper_slope,Upper slope,5.0,boussinesq,Boussinesq,630.0,5.943315164065436,-3.994184835934564
upper_slope,Upper slope,5.0,boussinesq,Boussinesq,660.0,5.824381561228882,-4.113118438771118
upper_slope,Upper slope,5.0,boussinesq,Boussinesq,690.0,5.721289151416382,-4.216210848583618
upper_slope,Upper slope,5.0,boussinesq,Boussinesq,720.0,5.631888835142161,-4.305611164857839
mid_slope,Mid slope,135.0,modflownwt,MODFLOW-NWT,30.0,5.227498531341553,-3.0850014686584473
mid_slope,Mid slope,135.0,modflownwt,MODFLOW-NWT,60.0,5.706076780954997,-2.606423219045003
mid_slope,Mid slope,135.0,modflownwt,MODFLOW-NWT,90.0,6.452473163604736,-1.8600268363952637
mid_slope,Mid slope,135.0,modflownwt,MODFLOW-NWT,120.0,7.411526362101237,-0.9009736378987627
mid_slope,Mid slope,135.0,modflownwt,MODFLOW-NWT,150.0,8.367620786031088,0.05512078603108783
mid_slope,Mid slope,135.0,modflownwt,MODFLOW-NWT,180.0,8.98202896118164,0.6695289611816406
mid_slope,Mid slope,135.0,modflownwt,MODFLOW-NWT,210.0,8.918500264485678,0.6060002644856777
mid_slope,Mid slope,135.0,modflownwt,MODFLOW-NWT,240.0,8.779912948608398,0.46741294860839844
mid_slope,Mid slope,135.0,modflownwt,MODFLOW-NWT,270.0,8.63121763865153,0.31871763865152936
mid_slope,Mid slope,135.0,modflownwt,MODFLOW-NWT,300.0,8.46069304148356,0.1481930414835606
mid_slope,Mid slope,135.0,modflownwt,MODFLOW-NWT,330.0,8.208896001180014,-0.10360399881998639
mid_slope,Mid slope,135.0,modflownwt,MODFLOW-NWT,360.0,7.917261600494385,-0.39523839950561523
mid_slope,Mid slope,135.0,modflownwt,MODFLOW-NWT,390.0,7.518288453420003,-0.794211546579997
mid_slope,Mid slope,135.0,modflownwt,MODFLOW-NWT,420.0,7.180164496103923,-1.1323355038960772
mid_slope,Mid slope,135.0,modflownwt,MODFLOW-NWT,450.0,6.890691598256429,-1.4218084017435713
mid_slope,Mid slope,135.0,modflownwt,MODFLOW-NWT,480.0,6.6424306233723955,-1.6700693766276045
