variant_id,reference_variant,observable,unit,n_pairs,bias,mae,rmse,max_abs_error,mean_relative_error
bouss_mod_tri,mf6_mod_s60,depth_map_last,m,274,7.1890826020719185,7.1890826020719185,8.46962029528111,14.43088778273355,nan
bouss_mod_tri,mf6_mod_s60,head_map_last,m,274,-13.110433028762793,13.29722142343423,16.77303964651619,43.55480872818835,0.10176369925857787
bouss_mod_tri,mf6_mod_s60,head_mid_basin_response,m,12,-7.988343187128095,7.988343187128095,8.208867299166881,11.401614885937477,0.0687809815697084
bouss_mod_tri,mf6_mod_s60,head_outlet_lowland,m,12,-9.182900544203958,9.182900544203958,9.337115396578508,11.651997191432216,0.07919960291101334
bouss_mod_tri,mf6_mod_s60,head_upstream_ridge,m,12,-6.384899200557772,6.384899200557772,6.588853543341621,9.349669704905054,0.058125944241294004
bouss_mod_tri,mf6_mod_s60,outflow_drain_map_last,m/day,669,-3.4567899076202854e-05,3.456790213249556e-05,5.828793260935481e-05,0.00017250217532337642,0.9999988058615666
bouss_mod_tri,mf6_mod_s60,outlet_flux_series,m3/s,12,-0.00012400816528664152,0.00012400816528664152,0.00014753816015424513,0.00025948929098585743,0.9999991252528982
mf6_mod_tri,mf6_mod_s60,depth_map_last,m,193,0.0,0.0,0.0,0.0,nan
mf6_mod_tri,mf6_mod_s60,head_map_last,m,193,17.983791445251025,19.38709308561412,22.833896944287023,43.83815636873278,0.15778770871686584
mf6_mod_tri,mf6_mod_s60,head_mid_basin_response,m,12,9.70585400743556,9.70585400743556,10.82911643137788,17.113451799044213,0.08320137678598698
mf6_mod_tri,mf6_mod_s60,head_outlet_lowland,m,12,19.71979764840782,19.71979764840782,21.591762512336086,35.663231296499916,0.16945291092475578
mf6_mod_tri,mf6_mod_s60,head_upstream_ridge,m,12,10.553882287883194,10.553882287883194,11.26937008793028,17.222511048651228,0.09590561595452414
mf6_mod_tri,mf6_mod_s60,outflow_drain_map_last,m/day,562,0.00018677803730972388,0.00019844008569468372,0.00021701647949000426,0.0004467149231791967,2.301773350855024
mf6_mod_tri,mf6_mod_s60,outlet_flux_series,m3/s,12,0.001476618627913714,0.001476618627913714,0.0017707719090325025,0.0032407428197667077,11.587671082850875
nwt_mod_s60,mf6_mod_s60,depth_map_last,m,2011,-4.09445472391888,4.09691937546686,4.7638127123803224,11.522442568491812,nan
nwt_mod_s60,mf6_mod_s60,head_map_last,m,2011,-2.8712202427449913,2.8712202427449913,3.5397654430797747,13.346599591913957,0.022672158314020766
nwt_mod_s60,mf6_mod_s60,head_mid_basin_response,m,12,-0.2540003591303848,0.4076970277963407,0.7798240429911818,2.125744725766367,0.0034998241691253126
nwt_mod_s60,mf6_mod_s60,head_outlet_lowland,m,12,-0.1851950655459902,0.24520074571384262,0.5520424649412622,1.8049806821786234,0.0021106970253571464
nwt_mod_s60,mf6_mod_s60,head_upstream_ridge,m,12,-0.5149840798816747,0.5973726703841974,1.0715900994382712,2.4552086230152526,0.005378697116113899
nwt_mod_s60,mf6_mod_s60,outflow_drain_map_last,m/day,3600,-1.4685031814468871e-05,1.737911103558237e-05,2.667590661415503e-05,0.00013346606281167497,0.43555294980155046
nwt_mod_s60,mf6_mod_s60,outlet_flux_series,m3/s,12,-1.4314268465931649e-05,1.6342243382911688e-05,3.0470638601264118e-05,8.198109383186048e-05,0.12412656179611765
