node_id,x,y,z_top,z_bottom
0,150262.5,6857362.5,64.12999725341797,14.129997253417969
1,150262.5,6863812.5,,-10049.0
2,156487.5,6863812.5,10.729999542236328,-39.27000045776367
3,156487.5,6857362.5,59.79999923706055,9.799999237060547
4,154391.3179139125,6861716.317913912,9.569304785070702,-40.4306952149293
5,154425.0,6861750.0,9.350000381469727,-40.64999961853027
6,154425.0,6861825.0,8.9399995803833,-41.0600004196167
7,154500.0,6861900.0,8.5600004196167,-41.4399995803833
8,154500.0,6861975.0,8.75,-41.25
9,154500.0,6861993.22945957,8.681943415843332,-41.318056584156665
10,154058.3395986796,6861910.927716747,12.820086812895344,-37.17991318710466
11,154350.0,6861675.0,9.640000343322754,-40.359999656677246
12,154350.0,6861600.0,10.399999618530273,-39.60000038146973
13,154275.0,6861525.0,10.970000267028809,-39.02999973297119
14,154212.0089143917,6861462.008914391,10.989867227338836,-39.010132772661166
15,154782.301969455,6861487.806547017,12.722459611084274,-37.277540388915725
16,153225.0,6859275.0,57.099998474121094,7.099998474121094
17,153225.0,6859350.0,58.099998474121094,8.099998474121094
18,153150.0,6859425.0,56.70000076293945,6.700000762939453
19,153150.0,6859500.0,55.29999923706055,5.299999237060547
20,153150.0,6859575.0,56.5,6.5
21,153075.0,6859650.0,54.29999923706055,4.299999237060547
22,153075.0,6859725.0,53.20000076293945,3.200000762939453
23,153075.0,6859800.0,53.0,3.0
24,153150.0,6859875.0,52.099998474121094,2.0999984741210938
25,153150.0,6859950.0,51.900001525878906,1.9000015258789062
26,153225.0,6860025.0,51.5,1.5
27,153225.0,6860100.0,49.0,-1.0
28,153300.0,6860175.0,47.20000076293945,-2.799999237060547
29,153375.0,6860250.0,46.0,-4.0
30,153375.0,6860325.0,45.599998474121094,-4.400001525878906
31,153375.0,6860400.0,41.0,-9.0
32,153375.0,6860475.0,37.29999923706055,-12.700000762939453
33,152325.0,6860100.0,54.400001525878906,4.400001525878906
34,152400.0,6860175.0,53.20000076293945,3.200000762939453
35,152475.0,6860175.0,53.79999923706055,3.799999237060547
36,152550.0,6860250.0,53.79999923706055,3.799999237060547
37,152625.0,6860175.0,53.29999923706055,3.299999237060547
38,152700.0,6860175.0,48.599998474121094,-1.4000015258789062
39,152775.0,6860250.0,46.29999923706055,-3.700000762939453
40,152850.0,6860325.0,45.29999923706055,-4.700000762939453
41,152925.0,6860325.0,43.0,-7.0
42,153000.0,6860400.0,42.5,-7.5
43,153075.0,6860475.0,47.5,-2.5
44,153150.0,6860400.0,43.70000076293945,-6.299999237060547
45,153225.0,6860400.0,40.900001525878906,-9.099998474121094
46,153300.0,6860400.0,41.599998474121094,-8.400001525878906
47,150661.9510575751,6860004.616355485,62.86051548741129,12.860515487411291
48,150838.8791918119,6859974.39448011,62.77278269901871,12.772782699018707
49,151271.5576260248,6859693.01437223,63.43621763510775,13.43621763510776
50,151104.0069204665,6859173.083849312,69.67247617865819,19.67247617865818
51,151219.7330396171,6858972.785860605,63.92399260596181,13.923992605961807
52,151415.8260304353,6858812.220237551,67.47697207982155,17.476972079821554
53,151733.6197937125,6858811.480268167,68.06884046291854,18.068840462918534
54,152249.7040249077,6858800.161708321,68.16467785195766,18.164677851957663
55,152643.4488149695,6858599.141461548,69.84219059338479,19.842190593384785
56,152719.398980571,6858398.761497196,69.64334881505829,19.643348815058303
57,152672.3115137843,6857958.817443529,68.59661991568541,18.59661991568541
58,152595.1447215245,6857803.155767196,67.55379710026565,17.553797100265655
59,150685.2583150596,6861222.297657184,72.73222418942106,22.732224189421053
60,151406.3995592932,6861335.095078093,59.59665215233778,9.596652152337775
61,152856.9861521214,6862612.86339737,2.63622614799671,-47.36377385200329
62,153048.987362862,6862500.625082681,3.0726206773533615,-46.927379322646644
63,153597.3425726793,6862563.00115159,6.958850012515971,-43.04114998748403
64,153826.355846871,6862632.625916268,12.492478495897121,-37.50752150410288
65,154136.499404932,6862812.432203368,12.055790063563157,-37.94420993643685
66,154397.7354225058,6863062.485105371,11.372163134986062,-38.62783686501394
67,154679.8739143852,6863414.506388261,2.0327223477116587,-8114.615150917719
68,154893.6192569174,6863439.438792785,1.9124128318597737,-4790.014502565426
69,153115.4788748813,6863102.890418648,,-10049.0
70,153345.612098533,6863014.728226283,8.076707286567075,-41.92329271343293
71,153558.9269954434,6863434.409018198,12.236643053826862,-4630.787674754254
72,154036.2315365993,6863451.738795325,,-10049.0
73,154243.0403366118,6863363.631742207,,-10049.0
74,150262.5,6859203.293794732,61.804391063888005,11.804391063887998
75,150262.5,6860610.01366043,68.49631089765577,18.496310897655768
76,150262.5,6861988.853213235,51.99805631833225,1.9980563183322555
77,151818.75,6863812.5,,-10049.0
78,153375.0,6863812.5,,-10049.0
79,154931.25,6863812.5,14.142500400543213,-35.85749959945679
80,156487.5,6862200.0,4.760000228881836,-45.239999771118164
81,156487.5,6860587.5,39.35000038146973,-10.649999618530273
82,156487.5,6858975.0,60.79999923706055,10.799999237060547
83,154718.5447963315,6857362.5,72.64303316524446,22.643033165244464
84,153375.0032853704,6857362.5,67.00002190246926,17.000021902469257
85,152031.5178907193,6857362.5,63.72046451481843,13.720464514818437
86,154279.1697993398,6861952.078588158,12.50516581349876,-37.49483418650124
87,154224.828756296,6861813.62281533,12.998556630937134,-37.00144336906287
88,154497.1554419233,6861474.907730703,13.175300447825247,-36.82469955217475
89,154586.8099416838,6861602.062230464,12.036459715109444,-37.963540284890556
90,153961.0243286228,6859578.653585185,64.7262271990138,14.72622719901381
91,152486.4034955407,6861114.90199852,63.15842608261922,13.15842608261922
92,152548.8615169397,6859600.61507369,65.1332042261674,15.133204226167399
93,155059.4448640683,6862010.880842106,13.506023353462494,-36.493976646537504
94,152737.5,6860737.5,65.5,15.5
95,152692.9826441961,6859078.622887572,66.72375842081165,16.72375842081164
96,153513.00032027,6859599.935262492,65.27117247804159,15.271172478041589
97,152848.3688322272,6859443.347592252,64.4020918887279,14.402091888727899
98,152875.0,6860000.0,62.466667175292976,12.466667175292967
99,153265.8374477566,6858643.328562686,68.7094910083892,18.709491008389186
100,153509.1941000989,6861298.332366852,34.1363683270498,-15.863631672950198
101,154296.6823146497,6860658.522687517,33.59327956342082,-16.406720436579178
102,151873.5684529661,6860732.610626612,68.34414118406562,18.344141184065613
103,152034.9081544744,6858212.143924147,59.88829342695436,9.888293426954366
104,153079.6875,6860273.4375,55.71835917234421,5.718359172344208
105,153243.5530658886,6859724.550887751,60.61318502259956,10.613185022599561
106,152643.3673469388,6860414.540816327,62.17315685506029,12.173156855060281
107,153628.9772727273,6859921.022727272,59.348243687773746,9.348243687773744
108,153225.0,6860587.5,55.14999961853027,5.149999618530273
109,154512.0540330615,6862585.679299729,13.400615829093072,-36.59938417090693
110,152460.216450898,6861839.850061221,7.010131507385097,-42.9898684926149
111,154096.1342679372,6862321.210194265,6.770136516614301,-43.2298634833857
112,155480.4520853836,6862986.733224374,2.5961228898841213,-47.40387711011588
113,152395.3482159076,6860598.88390691,68.52091991016505,18.520919910165038
114,154836.5692786556,6862999.842966024,8.622697728909094,-41.377302271090905
115,153849.9751082743,6860362.5,61.16709685142672,11.167096851426715
116,153849.9264705882,6859026.838235294,66.83638938124115,16.83638938124114
117,153458.6886186489,6861876.048698045,10.309598859570446,-39.69040114042956
118,153238.8910770605,6858162.624705503,71.1167102423189,21.116710242318913
119,151808.6010243461,6859561.623087293,64.59290683769204,14.592906837692047
120,150877.503359643,6860635.817119081,68.20444875119676,18.20444875119677
121,154244.3466383917,6861631.410730037,11.851739857479501,-38.1482601425205
122,151507.4795270792,6859166.453869442,68.5998507149048,18.5998507149048
123,153881.4610471374,6861599.619791803,15.188555126636244,-34.811444873363754
124,153073.0826411977,6859306.15871445,61.422795447910715,11.422795447910717
125,153268.7933408798,6859498.140878607,63.078847829379455,13.078847829379459
126,153042.3502104893,6859512.429472386,58.84911572437489,8.849115724374887
127,153037.5,6859912.5,57.72499942779541,7.72499942779541
128,153272.2200157079,6859917.545773507,55.943465393153325,5.9434653931533274
129,153101.0534115249,6860063.83640373,56.639120381872736,6.639120381872738
130,153263.0208333333,6860298.4375,52.27097862462194,2.270978624621942
131,153774.4582858012,6863060.806880151,11.371983730265422,-38.62801626973458
132,154578.5260188064,6861789.864671554,9.972924555001134,-40.027075444998864
133,150862.7753271177,6859537.784533553,61.998445656282584,11.998445656282588
134,154662.7898230983,6861947.963224798,9.979266762063972,-40.02073323793603
135,153357.9537802312,6860079.888374693,53.49898490703302,3.498984907033011
136,152446.9019307669,6860037.552445928,60.379087925482,10.379087925481995
137,152440.2606771128,6860304.053973065,58.070696272897266,8.070696272897267
138,152672.7263937645,6860279.27240138,58.39118070783383,8.391180707833833
139,152887.5,6860212.5,54.65000057220459,4.65000057220459
140,152888.5449756556,6860455.384115423,51.83639653106458,1.8363965310645831
141,154670.3105334827,6860918.154357846,20.389810386398928,-29.61018961360107
142,151723.5201598154,6862600.842763532,6.656187785065748,-43.34381221493426
143,155330.6153165227,6859681.64348458,47.37553698183113,-2.6244630181688695
144,153324.2761470834,6862750.50357299,4.7197316438789745,-45.28026835612103
145,153894.5171266102,6860940.24532086,27.69587266605604,-22.304127333943963
146,154949.520704848,6858541.881476647,67.39574146637042,17.395741466370428
147,152562.8284434968,6863149.718962374,3.897362472246594,-46.10263752775341
148,151269.0858337503,6860300.885340002,65.57453571517469,15.574535715174694
149,155758.6153589475,6861365.057455858,17.948272224870713,-32.05172777512929
150,155522.3113110099,6860637.102373718,29.80787773719286,-20.19212226280714
151,153450.0,6859312.5,67.4000015258789,17.400001525878906
152,152915.5089510729,6859732.654682036,60.74115636696527,10.741156366965274
153,152665.8960569685,6859985.11745738,60.70076095323047,10.700760953230473
154,151752.44202532,6858268.047008259,57.676738115064005,7.676738115064
155,150894.1477578529,6858375.136874353,62.46948944126399,12.469489441263995
156,153011.6751918722,6857711.894927522,66.0637046368966,16.063704636896603
157,155084.506757266,6861094.783580013,15.334253788894308,-34.66574621110569
158,152224.8729716013,6860315.760711482,58.16075888980588,8.160758889805878
159,151902.0076370606,6860006.271225399,64.88933942250205,14.889339422502054
160,154611.7441753212,6859865.024731824,60.19079937480867,10.190799374808678
161,154507.0996305336,6859236.075381592,61.72228574326586,11.722285743265859
162,154326.3625651177,6861140.708644169,16.19137631002002,-33.80862368997998
163,153521.0775740146,6860229.318516994,55.76842731497617,5.768427314976174
164,152408.9426173798,6858209.497895249,62.93092957138625,12.930929571386244
165,153496.8749333992,6860728.62452351,45.49718572926028,-4.502814270739726
166,154279.2115084065,6858187.330815375,75.27298885246883,25.272988852468824
167,154114.8035063906,6863136.976420802,17.278450160730635,-4970.936574423156
168,153348.8506925754,6862306.006950426,3.509009374397298,-46.490990625602706
169,154413.2063904571,6862218.867868642,7.832896975590403,-42.1671030244096
170,152822.4542757106,6862170.825736611,4.129559463524293,-45.87044053647571
171,152281.7307692308,6859782.692307692,62.070709589675694,12.070709589675698
172,153075.3345445567,6858988.976614903,61.82599898627418,11.825998986274179
173,153397.688981327,6858989.487125693,68.01148359130251,18.011483591302515
174,153761.3098635551,6862299.06564839,3.8835012043493564,-46.11649879565064
175,153498.8212692814,6860420.073840084,53.978202622161504,3.9782026221614992
176,151143.5251011349,6861773.907013285,53.70499964407395,3.7049996440739505
177,152117.5684714874,6859257.378457454,68.1952243790556,18.195224379055595
178,152552.5595975471,6860124.533980661,58.65220267320135,8.652202673201357
179,152915.7386207281,6858165.540005321,70.97604062801155,20.976040628011543
180,151848.9388699414,6861566.201256878,40.8176909044889,-9.182309095511105
181,150781.983888556,6860305.145391022,64.42548568279908,14.425485682799078
182,154104.2098963173,6861691.893609902,13.656402576828345,-36.34359742317165
183,154829.3940946398,6860432.991359462,44.30619760445552,-5.693802395544477
184,153074.5578873611,6860986.662392048,58.17326212488352,8.173262124883529
185,152936.4163403527,6858595.601452855,71.54633262090265,21.546332620902646
186,154322.102117321,6858705.307370263,69.80956980084744,19.80956980084745
187,154706.9551403525,6862200.638394219,12.203054880427553,-37.79694511957244
188,153076.171875,6860387.109375,48.84545974526554,-1.1545402547344565
189,155037.9942887007,6862496.569311298,13.14773451118518,-36.85226548881482
190,155533.0219052135,6862106.941023947,12.798389231146045,-37.20161076885395
191,152968.5858047097,6861547.770208883,50.64092747232196,0.6409274723219646
192,153001.7045454546,6860728.977272728,63.48930933454124,13.489309334541243
193,153712.0488975594,6858507.826540694,73.70415332631327,23.704153326313282
194,155173.4624803028,6861631.682541301,14.53617650851955,-35.46382349148045
195,154672.1274534489,6861223.27217195,15.965499581399513,-34.03450041860048
196,150836.3172836278,6858991.201647703,63.712139328612736,13.712139328612741
197,151985.7953172077,6858538.326208334,66.88777599058872,16.88777599058872
198,151308.8898332382,6860817.432475497,69.9227678034689,19.922767803468908
199,154807.2225162358,6861745.043342873,11.763856485639586,-38.23614351436042
200,153573.6089901936,6862804.333149456,10.526346741031773,-39.47365325896823
201,153948.7298420234,6861283.531182953,16.892276746487905,-33.1077232535121
202,153046.6908534908,6862835.807281,2.0,-48.0
203,154196.2995490392,6860136.45251521,60.93060015910301,10.930600159103008
204,152166.5019821563,6857912.055383625,64.95420150318596,14.954201503185967
205,153722.5624594334,6857882.446164848,71.97930648862872,21.979306488628723
206,153328.2552083333,6860355.859375,46.39219490838933,-3.6078050916106665
207,154444.6114548796,6861606.983264612,10.449354661418182,-39.550645338581816
208,154372.386974204,6861849.602325405,10.54666995584937,-39.453330044150626
