cid,lat_dd,lon_dd,wind,hum1,hum2,hum3,hum4,growth_start,growth_end,nlayer,LAI,EZD,CN,lay_type1,thick1,poro1,fc1,wp1,ksat1,dist_dr1,slope1,lay_type2,thick2,poro2,fc2,wp2,ksat2,dist_dr2,slope2,lay_type3,thick3,poro3,fc3,wp3,ksat3,dist_dr3,slope3,lay_type4,thick4,poro4,fc4,wp4,ksat4,dist_dr4,slope4,lay_type5,thick5,poro5,fc5,wp5,ksat5,dist_dr5,slope5,lay_type6,thick6,poro6,fc6,wp6,ksat6,dist_dr6,slope6,lay_type7,thick7,poro7,fc7,wp7,ksat7,dist_dr7,slope7,run,X_utm18,Y_utm18,Bassin,context,BordEau,conbt0311,conlt0311,ContextBT,ContextLt,BT,Urbain,Culture,UtilSolCod,tfsoil
37738,46.33966826264011,10.001515087358085,2.5,60.0,65.0,70.0,70.0,100.0,280.0,1.0,2.5,26.389593831203292,70.0,1.0,30.0,38.65862348231927,0.28,0.12,0.0019547859787318244,1000.0,0.1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,573921.764,5070632.196,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,400.0,-1.3640017819458126
37739,46.33959456578453,10.004768533726496,2.5,60.0,65.0,70.0,70.0,100.0,280.0,1.0,2.5,26.389593831203292,70.0,1.0,30.0,38.65862348231927,0.28,0.12,0.0019547859787318244,1000.0,0.1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,573921.764,5070632.196,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,400.0,-1.3640017819458126
37740,46.33952077546133,10.008021971306537,2.5,60.0,65.0,70.0,70.0,100.0,280.0,1.0,2.5,26.389593831203292,70.0,1.0,30.0,38.65862348231927,0.28,0.12,0.0019547859787318244,1000.0,0.1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,573921.764,5070632.196,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,400.0,-1.3640017819458126
37741,46.33763597562523,9.991648790651155,2.5,60.0,65.0,70.0,70.0,100.0,280.0,1.0,2.5,26.389593831203292,70.0,1.0,30.0,38.65862348231927,0.28,0.12,0.0019547859787318244,1000.0,0.1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,573921.764,5070632.196,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,400.0,-1.3640017819458126
37742,46.337562562189355,9.994902128543835,2.5,60.0,65.0,70.0,70.0,100.0,280.0,1.0,2.5,26.389593831203292,70.0,1.0,30.0,38.65862348231927,0.28,0.12,0.0019547859787318244,1000.0,0.1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,573921.764,5070632.196,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,400.0,-1.3640017819458126
37743,46.337489055288245,9.998155457682682,2.5,60.0,65.0,70.0,70.0,100.0,280.0,1.0,2.5,26.389593831203292,70.0,1.0,30.0,38.65862348231927,0.28,0.12,0.0019547859787318244,1000.0,0.1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,573921.764,5070632.196,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,400.0,-1.3640017819458126
37744,46.33741545492241,10.00140877805659,2.5,60.0,65.0,70.0,70.0,100.0,280.0,1.0,2.5,26.389593831203292,70.0,1.0,30.0,38.65862348231927,0.28,0.12,0.0019547859787318244,1000.0,0.1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,573921.764,5070632.196,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,400.0,-1.3640017819458126
37745,46.33734176109236,10.004662089654467,2.5,60.0,65.0,70.0,70.0,100.0,280.0,1.0,2.5,26.389593831203292,70.0,1.0,30.0,38.65862348231927,0.28,0.12,0.0019547859787318244,1000.0,0.1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,573921.764,5070632.196,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,400.0,-1.3640017819458126
37746,46.337267973798554,10.00791539246523,2.5,60.0,65.0,70.0,70.0,100.0,280.0,1.0,2.5,26.389593831203292,70.0,1.0,30.0,38.65862348231927,0.28,0.12,0.0019547859787318244,1000.0,0.1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,573921.764,5070632.196,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,400.0,-1.3640017819458126
37747,46.33719409304147,10.011168686477777,2.5,60.0,65.0,70.0,70.0,100.0,280.0,1.0,2.5,26.389593831203292,70.0,1.0,30.0,38.65862348231927,0.28,0.12,0.0019547859787318244,1000.0,0.1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,573921.764,5070632.196,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,400.0,-1.3640017819458126
