cell_id,geology_key,fraction
0,1641,1.0
1,1981,1.0
2,1981,0.25
2,2201,0.75
3,1641,1.0
4,1981,1.0
5,1641,1.0
6,1641,1.0
7,1641,1.0
8,1641,1.0
9,1641,1.0
10,1981,0.8928571428571429
10,2201,0.10714285714285714
11,1421,1.0
12,1981,0.10714285714285714
12,2201,0.8928571428571429
13,1421,1.0
14,1421,1.0
15,1641,1.0
16,1421,1.0
17,1641,1.0
18,1701,1.0
19,1641,1.0
20,1641,1.0
21,1421,0.2857142857142857
21,2201,0.7142857142857143
22,1421,1.0
23,1421,1.0
24,1981,0.8571428571428571
24,2201,0.14285714285714285
25,1641,1.0
26,1641,1.0
27,1641,1.0
28,1641,1.0
29,1641,1.0
30,1421,1.0
31,1641,1.0
32,1421,0.9285714285714286
32,2201,0.07142857142857142
33,1641,1.0
34,1421,1.0
35,1421,1.0
36,1421,1.0
37,1641,1.0
38,1641,1.0
39,1641,1.0
40,1641,1.0
41,1641,1.0
42,1641,1.0
43,1421,1.0
44,1981,1.0
45,1641,1.0
46,1421,1.0
47,1421,1.0
48,1701,1.0
49,1641,1.0
50,1641,1.0
51,1641,1.0
52,1981,1.0
53,1641,1.0
54,1641,1.0
55,1641,1.0
56,1421,1.0
57,1981,1.0
58,1981,0.9642857142857143
58,2201,0.03571428571428571
59,1981,1.0
60,1981,1.0
61,2201,1.0
62,1981,0.14285714285714285
62,2201,0.8571428571428571
63,1701,1.0
64,1641,1.0
65,1641,1.0
66,1421,1.0
67,1641,1.0
68,1641,1.0
69,1421,1.0
70,1641,1.0
71,1641,1.0
72,1421,1.0
73,1701,0.03571428571428571
73,1641,0.9642857142857143
74,1641,1.0
75,1641,1.0
76,1421,1.0
77,1641,1.0
78,2201,1.0
79,1701,0.03571428571428571
79,1641,0.9642857142857143
80,1421,1.0
81,1641,1.0
82,1641,1.0
83,1421,0.9642857142857143
83,2201,0.03571428571428571
84,1421,1.0
85,1641,1.0
86,1981,0.03571428571428571
86,2201,0.9642857142857143
87,1701,0.07142857142857142
87,1641,0.9285714285714286
88,1421,1.0
89,1641,1.0
90,2201,1.0
91,1421,1.0
92,1981,0.9642857142857143
92,2201,0.03571428571428571
93,1701,0.9642857142857143
93,2201,0.03571428571428571
94,1641,1.0
95,1421,1.0
96,1641,1.0
97,1421,1.0
98,1641,1.0
99,1641,1.0
100,1981,1.0
101,1421,1.0
102,1641,1.0
103,1421,1.0
104,1421,1.0
105,1981,1.0
106,1981,0.8571428571428571
106,2201,0.14285714285714285
107,1701,0.03571428571428571
107,1641,0.9642857142857143
108,1421,1.0
109,2201,1.0
110,1421,0.8928571428571429
110,2201,0.10714285714285714
111,1421,1.0
112,2201,1.0
113,1421,1.0
114,11,0.03571428571428571
114,2201,0.9642857142857143
115,1421,1.0
116,1641,1.0
117,1421,1.0
118,1981,0.03571428571428571
118,2201,0.9642857142857143
119,1641,1.0
120,1641,1.0
121,1641,1.0
122,1641,1.0
123,1641,1.0
124,1421,1.0
125,2201,1.0
126,1701,1.0
127,2201,1.0
128,1981,0.10714285714285714
128,2201,0.8928571428571429
129,1981,1.0
130,1421,0.9642857142857143
130,1981,0.03571428571428571
131,1641,1.0
132,1641,1.0
133,1641,1.0
134,1421,1.0
135,1981,1.0
136,1421,1.0
137,1641,1.0
138,1641,1.0
139,2201,1.0
140,1641,1.0
141,1421,1.0
142,1421,1.0
143,1701,0.03571428571428571
143,1641,0.9642857142857143
144,1641,1.0
145,1421,1.0
146,2201,1.0
147,1641,1.0
148,1641,1.0
149,2201,1.0
150,1421,1.0
151,1421,1.0
152,1421,1.0
153,1421,1.0
154,1641,1.0
155,1641,1.0
156,1421,1.0
157,1641,1.0
158,1981,1.0
159,11,0.9285714285714286
159,2201,0.07142857142857142
160,1981,1.0
161,1421,1.0
162,2201,1.0
163,1641,1.0
164,1421,1.0
165,1421,1.0
166,1641,1.0
167,1641,1.0
168,1641,1.0
169,1421,1.0
170,1981,1.0
171,1981,1.0
172,1421,1.0
173,2201,1.0
174,1641,1.0
175,1981,1.0
176,1421,1.0
177,1641,1.0
178,1981,0.9642857142857143
178,2201,0.03571428571428571
179,1641,1.0
180,1641,1.0
181,1641,1.0
182,1641,1.0
183,1421,1.0
184,1981,0.03571428571428571
184,2201,0.9642857142857143
185,1981,1.0
186,1421,1.0
187,1701,1.0
188,1641,1.0
189,1981,1.0
190,1981,1.0
191,1421,1.0
192,1421,1.0
193,11,0.9642857142857143
193,2201,0.03571428571428571
194,2201,1.0
195,1641,1.0
196,1421,0.8928571428571429
196,1981,0.10714285714285714
197,1421,1.0
198,2201,1.0
199,1421,1.0
200,2201,1.0
201,1421,1.0
202,1641,1.0
203,1981,0.9285714285714286
203,2201,0.07142857142857142
204,1421,0.9642857142857143
204,2201,0.03571428571428571
