date;recharge;runoff;watertable_elevation;watertable_depth;seepage_areas;outflow_drain;groundwater_flux;groundwater_storage;accumulation_flux;total_areas;perenn_areas;intermit_areas
2003-01-31;0.0006666666666666666;0.0002;113.41412353515625;8.231709896552394;1.530612244897959;0.0006667016139573054;0.8815343379974365;2052594.7761638828;1856.7900390625;1.6697588126159555;0.0;1.6697588126159555
2003-02-28;0.002;0.0002;118.16056060791016;3.4855969603001227;4.653679653679654;0.001999984476053206;1.932073950767517;2138518.334408099;4832.47509765625;5.241187384044527;0.0;5.241187384044527
2003-03-31;0.0;0.0;98.12267303466797;23.523007984668588;0.015460729746444033;1.0445140067190761e-07;0.5185831785202026;2075976.4398204938;0.4222447872161865;0.015460729746444033;0.0;0.015460729746444033
2003-04-30;0.0;0.0;98.1217041015625;23.52396968471171;0.015460729746444033;1.0242861734176759e-07;0.3933320939540863;2025610.4628248664;0.41406768560409546;0.015460729746444033;0.0;0.015460729746444033
2003-05-31;0.0;0.0;98.12169647216797;23.52397796758252;0.015460729746444033;1.0240881547709638e-07;0.32189223170280457;1982723.9015859407;0.4139876365661621;0.015460729746444033;0.0;0.015460729746444033
2003-06-30;0.0;0.0;98.12169647216797;23.52397641646103;0.015460729746444033;1.0241281860908315e-07;0.2723619341850281;1945155.26686596;0.41400381922721863;0.015460729746444033;0.0;0.015460729746444033
2003-07-31;0.0;-0.0001;98.01637268066406;23.629307156989217;0.0;0.0;0.23132577538490295;1911726.0456141178;0.0;;;
2003-08-31;0.0;0.0;98.00672912597656;23.638945423708925;0.0;0.0;0.2063620686531067;1882055.5337681642;0.0;;;
2003-09-30;0.0;0.0;98.00672912597656;23.638944574425675;0.0;0.0;0.18346716463565826;1855287.2627875125;0.0;;;
2003-10-31;0.0;0.0;98.00672912597656;23.638942845190613;0.0;0.0;0.16468922793865204;1831032.2877601201;0.0;;;
2003-11-30;0.002;0.0002;118.16046142578125;3.4857017370824397;4.653679653679654;0.0019999213056573176;1.6183171272277832;1981241.2096140934;4832.36572265625;5.241187384044527;0.0;5.241187384044527
2003-12-31;0.002;0.0002;118.16053009033203;3.4856383109579285;4.653679653679654;0.0019999754501332746;1.8343400955200195;2085644.5717442397;4832.45166015625;5.241187384044527;0.0;5.241187384044527
