date;recharge;runoff;watertable_elevation;watertable_depth;seepage_areas;outflow_drain;groundwater_flux;groundwater_storage;accumulation_flux;concentration_seepage;total_areas;perenn_areas;intermit_areas;residence_times
2003-01-31;0.0006666666666666666;0.0002;112.91248;7.988573325713071;1.8424147393179144;0.0007734805765454791;0.9362662;814265.5154135327;1233.2180942296982;0.085374475;1.99921599372795;0.862406899255194;1.1368090944727558;480.22732470897915
2003-02-28;0.002;0.0002;114.53107;6.37012874673554;2.5480203841630735;0.0013785546688975562;2.060044;845636.9620518261;2197.9331002235413;0.072926894;2.7048216385731085;0.862406899255194;1.8424147393179144;
2003-03-31;0.0;0.0;113.30336;7.597698933337073;1.8424147393179144;0.0007709492778273388;0.5868271;821841.3968075484;1229.1822548359632;0.070779376;1.99921599372795;0.862406899255194;1.1368090944727558;
2003-04-30;0.0;0.0;112.36384;8.537156587523695;1.528812230497844;0.0005496938450483189;0.4220191;803631.8515922918;876.4181241989136;0.065982334;1.764014112112897;0.862406899255194;0.901607212857703;
2003-05-31;0.0;0.0;111.583046;9.317919235199586;1.2152097216777733;0.00041161475497477197;0.32317305;788498.5174789499;656.2682749629021;0.061898187;1.4504116032928263;0.862406899255194;0.5880047040376323;
2003-06-30;0.0;0.0;110.9091;9.991841919232424;0.901607212857703;0.0003147387698228478;0.2544353;775436.1432460782;501.81162613630295;0.061316103;1.1368090944727558;0.862406899255194;0.27440219521756176;
2003-07-31;0.0;-0.0001;110.31211;10.588810254451763;0.7056056448451588;0.0002209851357269549;0.19989389;763865.3064822592;352.3331757746637;0.06576339;1.058408467267738;0.862406899255194;0.1960015680125441;
2003-08-31;0.0;0.0;109.77554;11.1253643297579;0.6664053312426499;0.0001889173345816271;0.1645424;753465.7084510403;301.2050753235817;0.056740887;0.901607212857703;0.862406899255194;0.03920031360250882;
2003-09-30;0.0;0.0;109.28736;11.613539391506048;0.6272050176401411;0.0001452022074718468;0.13336103;744003.7327758211;231.50676953792572;0.053557906;0.901607212857703;0.862406899255194;0.03920031360250882;
2003-10-31;0.0;0.0;108.84445;12.056436440749339;0.5096040768326147;0.00010669964700061076;0.108540006;735419.3565930452;170.11924968659878;0.05154595;0.862406899255194;0.862406899255194;0.0;
2003-11-30;0.002;0.0002;111.727745;9.173291538407502;1.724813798510388;0.0007163402684292855;1.6319022;791303.1365672897;1142.115015476942;0.04929707;1.8816150529204232;0.862406899255194;1.0192081536652293;
2003-12-31;0.002;0.0002;113.643036;7.258121861032017;2.195217561740494;0.0011879361250222032;1.9289846;828425.0448401067;1894.0156593322754;0.048199303;2.3128185025480206;0.862406899255194;1.4504116032928263;
