variant_id,reference_variant,observable,unit,n_pairs,bias,mae,rmse,max_abs_error,mean_relative_error
mf6_mod_tri,mf6_mod_s60,depth_map_last,m,193,0.0,0.0,0.0,0.0,nan
mf6_mod_tri,mf6_mod_s60,head_map_last,m,193,17.983791445251025,19.38709308561412,22.833896944287023,43.83815636873278,0.15778770871686584
mf6_mod_tri,mf6_mod_s60,head_mid_basin_response,m,12,9.70585400743556,9.70585400743556,10.82911643137788,17.113451799044213,0.08320137678598698
mf6_mod_tri,mf6_mod_s60,head_outlet_lowland,m,12,19.71979764840782,19.71979764840782,21.591762512336086,35.663231296499916,0.16945291092475578
mf6_mod_tri,mf6_mod_s60,head_upstream_ridge,m,12,10.553882287883194,10.553882287883194,11.26937008793028,17.222511048651228,0.09590561595452414
mf6_mod_tri,mf6_mod_s60,outflow_drain_map_last,m/day,562,0.00018677803730972388,0.00019844008569468372,0.00021701647949000426,0.0004467149231791967,2.301773350855024
mf6_mod_tri,mf6_mod_s60,outlet_flux_series,m3/s,12,0.001476618626148527,0.001476618626148527,0.0017707719075364884,0.0032407428439749863,11.587670991779197
nwt_mod_s60,mf6_mod_s60,depth_map_last,m,2011,-4.09445472391888,4.09691937546686,4.7638127123803224,11.522442568491812,nan
nwt_mod_s60,mf6_mod_s60,head_map_last,m,2011,-2.8712202427449913,2.8712202427449913,3.5397654430797747,13.346599591913957,0.022672158314020766
nwt_mod_s60,mf6_mod_s60,head_mid_basin_response,m,12,-0.2540003591303848,0.4076970277963407,0.7798240429911818,2.125744725766367,0.0034998241691253126
nwt_mod_s60,mf6_mod_s60,head_outlet_lowland,m,12,-0.1851950655459902,0.24520074571384262,0.5520424649412622,1.8049806821786234,0.0021106970253571464
nwt_mod_s60,mf6_mod_s60,head_upstream_ridge,m,12,-0.5149840798816747,0.5973726703841974,1.0715900994382712,2.4552086230152526,0.005378697116113899
nwt_mod_s60,mf6_mod_s60,outflow_drain_map_last,m/day,3600,-1.4685031814468871e-05,1.737911103558237e-05,2.667590661415503e-05,0.00013346606281167497,0.43555294980155046
nwt_mod_s60,mf6_mod_s60,outlet_flux_series,m3/s,12,-1.4314271239796925e-05,1.6342242122063837e-05,3.0470637011748642e-05,8.198108172772112e-05,0.12412655674930655
