comparison_id,observable,variable,support,unit,comparison_time_key,time,time_index,elapsed_seconds,value_index,value__bouss_mod_tri,value__mf6_mod_s60,value__mf6_mod_tri,value__nwt_mod_s60
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:2,2,2,,0,,0.0002209906950291177,0.0030242616760491675,0.00022099297060731825
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:3,3,3,,0,,0.00017226787863757726,0.0019696806232056573,0.00015502531423857208
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:4,4,4,,0,,0.0001247060549814458,0.001699453878679284,0.00012442629200831793
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:5,5,5,,0,,7.948643676094053e-05,0.0009287322271181694,7.958881357168409e-05
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:6,6,6,,0,,4.716481091101606e-05,0.00042146140414218926,4.509926978884054e-05
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:7,7,7,,0,,3.319493950506131e-05,0.00033694497155301126,3.411645486918178e-05
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:8,8,8,,0,,2.9192375986445927e-05,0.0003335684763064077,3.416674454220575e-05
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:9,9,9,,0,,3.968342393201045e-05,0.000545686324304712,4.58507371250663e-05
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:10,10,10,,0,,0.00010590860494383738,0.0018572523422088196,4.6480960323314334e-05
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:11,11,11,,0,,0.00024199515331772237,0.00348273797308443,0.0001600140594858619
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,time_index:12,12,12,,0,106.47634610752573,,,
ex12_multi_method_moderate,head_mid_basin_response,watertable_elevation,point,m,time_index:12,12,12,,0,107.88278253405433,,,
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,time_index:12,12,12,,0,103.19219302090715,,,
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:0,0,0,0.0,0,0.0,,,
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:2678400,1,1,2678400.0,0,1.1510792319313624e-17,,,
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:5097600,2,2,5097600.0,0,1.4441309090784673e-10,,,
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:7776000,3,3,7776000.0,0,1.2525052341061383e-10,,,
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:10368000,4,4,10368000.0,0,1.0909767240718793e-10,,,
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:13046400,5,5,13046400.0,0,9.462120630132631e-11,,,
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:15638400,6,6,15638400.0,0,8.241844085432605e-11,,,
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:18316800,7,7,18316800.0,0,7.148210826812829e-11,,,
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:20995200,8,8,20995200.0,0,6.199696244379993e-11,,,
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:23587200,9,9,23587200.0,0,5.4001568372541444e-11,,,
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:26265600,10,10,26265600.0,0,4.683566643848281e-11,,,
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:28857600,11,11,28857600.0,0,4.0795017923755955e-11,,,
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:31536000,12,12,31536000.0,0,3.538121873702949e-11,,,
