comparison_id,observable,variable,support,unit,variant_id,variant_label,comparison_time_key,time,time_index,elapsed_seconds,value_index,value
ex12_multi_method_moderate,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:10,10,10,,0,116.00729074627418
ex12_multi_method_moderate,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:11,11,11,,0,118.9517760829107
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:0,0,0,,0,109.48202698196292
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:1,1,1,,0,112.10101538980327
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:2,2,2,,0,111.47989042644949
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:3,3,3,,0,110.69529803922977
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:4,4,4,,0,109.8720796399667
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:5,5,5,,0,108.77437968161404
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:6,6,6,,0,107.53118145181477
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:7,7,7,,0,106.89453010200062
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:8,8,8,,0,106.7601402221111
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:9,9,9,,0,107.57183847060915
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:10,10,10,,0,109.78965981037412
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:11,11,11,,0,112.12136920651135
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:0,0,0,,0,0.00013401904032906277
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:1,1,1,,0,0.00025948943539894835
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:2,2,2,,0,0.00022099071923739648
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:3,3,3,,0,0.000172267902845856
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:4,4,4,,0,0.0001247060549814458
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:5,5,5,,0,7.948643676094053e-05
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:6,6,6,,0,4.716480788498123e-05
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:7,7,7,,0,3.319493950506131e-05
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:8,8,8,,0,2.9192375986445927e-05
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:9,9,9,,0,3.968342393201045e-05
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:10,10,10,,0,0.00010590860494383738
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:11,11,11,,0,0.00024199512910944365
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:0,0,0,,0,116.09262084960938
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:1,1,1,,0,118.03890991210938
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:2,2,2,,0,117.48055267333984
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:3,3,3,,0,116.6348648071289
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:4,4,4,,0,115.90869140625
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:5,5,5,,0,114.92308044433594
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:6,6,6,,0,113.84512329101562
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:7,7,7,,0,113.41221618652344
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:8,8,8,,0,113.41609954833984
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:9,9,9,,0,114.17802429199219
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:10,10,10,,0,114.21210479736328
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:11,11,11,,0,117.54637145996094
ex12_multi_method_moderate,head_mid_basin_response,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:0,0,0,,0,116.22386932373047
ex12_multi_method_moderate,head_mid_basin_response,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:1,1,1,,0,118.13345336914062
ex12_multi_method_moderate,head_mid_basin_response,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:2,2,2,,0,117.7114486694336
