comparison_id,variable,time_index,time_label,value__mf6_mod_s60,value__mf6_mod_tri,value__nwt_mod_s60
ex12_multi_method_moderate,accumulation_flux,0,2003-01-01,0.04035114496946335,0.012283120852952549,0.040321752429008484
ex12_multi_method_moderate,intermit_areas,0,2003-01-01,57.52777777777778,57.348390753771284,54.30555555555555
ex12_multi_method_moderate,outflow_drain,0,2003-01-01,1.8429440975506796e-08,1.8408938677316324e-08,1.841730346325053e-08
ex12_multi_method_moderate,perenn_areas,0,2003-01-01,20.666666666666668,42.651609246228716,23.75
ex12_multi_method_moderate,recharge,0,2003-01-01,3.935185185185185e-08,3.935185185185185e-08,1.900077160493827e-08
ex12_multi_method_moderate,seepage_areas,0,2003-01-01,77.36111111111111,100.0,77.33333333333333
ex12_multi_method_moderate,total_areas,0,2003-01-01,78.19444444444444,100.0,78.05555555555556
ex12_multi_method_moderate,watertable_depth,0,2003-01-01,0.1573057930037932,0.0,0.15657564444660035
ex12_multi_method_moderate,watertable_elevation,0,2003-01-01,123.55813388573539,134.04678775403536,123.55750107235379
ex12_multi_method_moderate,accumulation_flux,1,2003-02-01,0.07760076224803925,0.021200032840659817,0.06836804002523422
ex12_multi_method_moderate,intermit_areas,1,2003-02-01,79.16666666666666,57.348390753771284,76.05555555555556
ex12_multi_method_moderate,outflow_drain,1,2003-02-01,3.631920185619409e-08,3.111214766030422e-08,3.3310961339669414e-08
ex12_multi_method_moderate,perenn_areas,1,2003-02-01,20.666666666666668,42.651609246228716,23.75
ex12_multi_method_moderate,recharge,1,2003-02-01,3.7037037037037036e-08,3.7037037037037036e-08,3.7037037037037036e-08
ex12_multi_method_moderate,seepage_areas,1,2003-02-01,99.80555555555556,100.0,99.77777777777777
ex12_multi_method_moderate,total_areas,1,2003-02-01,99.83333333333333,100.0,99.80555555555556
ex12_multi_method_moderate,watertable_depth,1,2003-02-01,19.677322020717277,0.0,0.003495574597908168
ex12_multi_method_moderate,watertable_elevation,1,2003-02-01,125.48948872254624,143.5315575156735,125.38301486545139
ex12_multi_method_moderate,accumulation_flux,2,2003-03-01,0.06742846965789795,0.0207123227497581,0.06636819243431091
ex12_multi_method_moderate,intermit_areas,2,2003-03-01,79.05555555555556,57.348390753771284,76.11111111111111
ex12_multi_method_moderate,outflow_drain,2,2003-03-01,3.1250644278028664e-08,3.09537994237156e-08,3.095616436771455e-08
ex12_multi_method_moderate,perenn_areas,2,2003-03-01,20.666666666666668,42.651609246228716,23.75
ex12_multi_method_moderate,recharge,2,2003-03-01,3.125e-08,3.125e-08,3.125e-08
ex12_multi_method_moderate,seepage_areas,2,2003-03-01,99.52777777777779,100.0,99.66666666666667
ex12_multi_method_moderate,total_areas,2,2003-03-01,99.72222222222223,100.0,99.86111111111111
ex12_multi_method_moderate,watertable_depth,2,2003-03-01,19.67745918472317,0.0,0.00016460689561291985
