site_id,site_label,cluster_id,cluster_label,cluster_family,cluster_scale,region_id,source_selection_id,site_status,maturity,enabled,tags,outlet_id,x,y,area_km2,mesh_manifest_status,mesh_output_mesh,mesh_summary_json,mesh_bundle_dir,mesh_figure,mesh_figure_regional,notes
s3_10km2_outlet_11,Strahler 3 10 km2 outlet 11,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready,11,380475.0,6703200.0,10.006875,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_11\mesh_catchment_outlet_11.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_11\mesh_catchment_outlet_11_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_11\mesh_catchment_outlet_11_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_11\mesh_catchment_outlet_11.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_11\mesh_catchment_outlet_11_regional.png,
s3_10km2_outlet_12,Strahler 3 10 km2 outlet 12,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready,12,430125.0,6682950.0,10.006875,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_12\mesh_catchment_outlet_12.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_12\mesh_catchment_outlet_12_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_12\mesh_catchment_outlet_12_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_12\mesh_catchment_outlet_12.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_12\mesh_catchment_outlet_12_regional.png,
s3_10km2_outlet_13,Strahler 3 10 km2 outlet 13,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready,13,364275.0,6950625.0,10.00125,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_13\mesh_catchment_outlet_13.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_13\mesh_catchment_outlet_13_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_13\mesh_catchment_outlet_13_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_13\mesh_catchment_outlet_13.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_13\mesh_catchment_outlet_13_regional.png,
s3_10km2_outlet_14,Strahler 3 10 km2 outlet 14,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready,14,427875.0,6895125.0,10.00125,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_14\mesh_catchment_outlet_14.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_14\mesh_catchment_outlet_14_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_14\mesh_catchment_outlet_14_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_14\mesh_catchment_outlet_14.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_14\mesh_catchment_outlet_14_regional.png,
s3_10km2_outlet_15,Strahler 3 10 km2 outlet 15,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready,15,433275.0,6904050.0,10.00125,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_15\mesh_catchment_outlet_15.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_15\mesh_catchment_outlet_15_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_15\mesh_catchment_outlet_15_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_15\mesh_catchment_outlet_15.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_15\mesh_catchment_outlet_15_regional.png,
s3_10km2_outlet_16,Strahler 3 10 km2 outlet 16,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready,16,170100.0,6862650.0,10.00125,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_16\mesh_catchment_outlet_16.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_16\mesh_catchment_outlet_16_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_16\mesh_catchment_outlet_16_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_16\mesh_catchment_outlet_16.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_16\mesh_catchment_outlet_16_regional.png,
s3_10km2_outlet_17,Strahler 3 10 km2 outlet 17,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready,17,255000.0,6868050.0,10.00125,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_17\mesh_catchment_outlet_17.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_17\mesh_catchment_outlet_17_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_17\mesh_catchment_outlet_17_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_17\mesh_catchment_outlet_17.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_17\mesh_catchment_outlet_17_regional.png,
s3_10km2_outlet_18,Strahler 3 10 km2 outlet 18,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready,18,384825.0,6883350.0,10.00125,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_18\mesh_catchment_outlet_18.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_18\mesh_catchment_outlet_18_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_18\mesh_catchment_outlet_18_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_18\mesh_catchment_outlet_18.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_18\mesh_catchment_outlet_18_regional.png,
s3_10km2_outlet_19,Strahler 3 10 km2 outlet 19,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready,19,393150.0,6875025.0,10.00125,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_19\mesh_catchment_outlet_19.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_19\mesh_catchment_outlet_19_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_19\mesh_catchment_outlet_19_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_19\mesh_catchment_outlet_19.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_19\mesh_catchment_outlet_19_regional.png,
s3_10km2_outlet_20,Strahler 3 10 km2 outlet 20,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready,20,158475.0,6849300.0,10.00125,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_20\mesh_catchment_outlet_20.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_20\mesh_catchment_outlet_20_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_20\mesh_catchment_outlet_20_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_20\mesh_catchment_outlet_20.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_20\mesh_catchment_outlet_20_regional.png,
s3_10km2_outlet_21,Strahler 3 10 km2 outlet 21,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready,21,192825.0,6851625.0,10.00125,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_21\mesh_catchment_outlet_21.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_21\mesh_catchment_outlet_21_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_21\mesh_catchment_outlet_21_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_21\mesh_catchment_outlet_21.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_21\mesh_catchment_outlet_21_regional.png,
