site_id,site_label,cluster_id,cluster_label,cluster_family,cluster_scale,region_id,source_selection_id,site_status,maturity,enabled,tags,outlet_id,x,y,area_km2,mesh_manifest_status,mesh_output_mesh,mesh_summary_json,mesh_bundle_dir,mesh_figure,mesh_figure_regional,bundle_cell_count,bundle_missing_top_centroid_count,bundle_missing_bottom_centroid_count,bundle_missing_hydraulic_conductivity_count,bundle_missing_storage_coefficient_count,bundle_invalid_vertical_geometry_count,bundle_storage_default_value,bundle_boussinesq_steady_ready,bundle_boussinesq_transient_ready,notes
headwater_100km2_outlet_27,Headwater 100 km2 outlet 27,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,ok,screening,true,regional_headwater;mesh_ready,27,,,,ok,C:\Users\dreuzy\HydroModPy\mesh_gallery_headwater_100km2_outlet_27_rivers_only_outlet_27\mesh_catchment_outlet_27.msh,C:\Users\dreuzy\HydroModPy\mesh_gallery_headwater_100km2_outlet_27_rivers_only_outlet_27\mesh_catchment_outlet_27_summary.json,C:\Users\dreuzy\HydroModPy\mesh_gallery_headwater_100km2_outlet_27_rivers_only_outlet_27\mesh_catchment_outlet_27_bundle,C:\Users\dreuzy\HydroModPy\mesh_gallery_headwater_100km2_outlet_27_rivers_only_outlet_27\mesh_catchment_outlet_27.png,C:\Users\dreuzy\HydroModPy\mesh_gallery_headwater_100km2_outlet_27_rivers_only_outlet_27\mesh_catchment_outlet_27_regional.png,4312,6,0,0,4312,0,,false,false,
headwater_100km2_outlet_28,Headwater 100 km2 outlet 28,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,28,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_29,Headwater 100 km2 outlet 29,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,29,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_30,Headwater 100 km2 outlet 30,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,30,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_31,Headwater 100 km2 outlet 31,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,31,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_32,Headwater 100 km2 outlet 32,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,32,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_33,Headwater 100 km2 outlet 33,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,33,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_34,Headwater 100 km2 outlet 34,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,34,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_35,Headwater 100 km2 outlet 35,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,35,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_36,Headwater 100 km2 outlet 36,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,36,,,,,,,,,,,,,,,,,,,
