site_id,site_label,cluster_id,cluster_label,cluster_family,cluster_scale,region_id,source_selection_id,site_status,maturity,enabled,tags,outlet_id,x,y,area_km2,mesh_manifest_status,mesh_output_mesh,mesh_summary_json,mesh_bundle_dir,mesh_figure,mesh_figure_regional,bundle_cell_count,bundle_missing_top_centroid_count,bundle_missing_bottom_centroid_count,bundle_missing_hydraulic_conductivity_count,bundle_missing_storage_coefficient_count,bundle_invalid_vertical_geometry_count,bundle_storage_default_value,bundle_boussinesq_steady_ready,bundle_boussinesq_transient_ready,notes,simulation_reference_config,local_simulation_reference_config,backend_comparison_config,transient_backend_comparison_config,runtime_smoke_status,runtime_smoke_checked_at_utc,runtime_smoke_recipe_id,runtime_smoke_case_id,runtime_smoke_wall_time_seconds,runtime_smoke_metrics_json,runtime_smoke_boussinesq_summary_json,runtime_smoke_note,runtime_smoke_reused_from_report,runtime_smoke_runtime_backend,runtime_smoke_solve_stage,runtime_smoke_residual_norm_inf
s3_10km2_outlet_2,Strahler 3 10 km2 outlet 2,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready;boussinesq_steady_ready;simulation_ready;runtime_smoke_ready,2,430650.0,6741675.0,10.29375,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_2\mesh_catchment_outlet_2.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_2\mesh_catchment_outlet_2_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_2\mesh_catchment_outlet_2_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_2\mesh_catchment_outlet_2.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_2\mesh_catchment_outlet_2_regional.png,1110,0,0,0,1110,0,,true,false,generated local boussinesq mesh replay config (steady-ready bundle),child_configs/run_s3_10km2_outlet_2_boussinesq_local_mesh_replay.toml,,,,skipped_existing_ok,2026-04-12T20:21:18.886107+00:00,s3_future_reference,s3_future_reference::s3_10km2_outlet_2,5.31,C:\codes\HydroModPy-GH\reporting\regional_lab_pilot_2026-04-12\outputs\child_runs\s3_10km2_outlet_2\results_simulations\s3_10km2_outlet_2_local_boussinesq_mesh_replay\_metrics.json,C:\codes\HydroModPy-GH\reporting\regional_lab_pilot_2026-04-12\outputs\child_runs\s3_10km2_outlet_2\results_simulations\flow_main__boussinesq\_boussinesq_summary.json,solve_stage=solved; runtime_backend=scipy_sparse; steady_residual_norm_inf=9.541204366338152e-08; steady_nonlinear_iterations=23,true,scipy_sparse,solved,9.541204366338152e-08
s3_10km2_outlet_6,Strahler 3 10 km2 outlet 6,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready;boussinesq_steady_ready;simulation_ready;runtime_smoke_ready,6,392175.0,6935775.0,10.0125,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_6\mesh_catchment_outlet_6.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_6\mesh_catchment_outlet_6_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_6\mesh_catchment_outlet_6_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_6\mesh_catchment_outlet_6.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_6\mesh_catchment_outlet_6_regional.png,1176,0,0,0,1176,0,,true,false,generated local boussinesq mesh replay config (steady-ready bundle),child_configs/run_s3_10km2_outlet_6_boussinesq_local_mesh_replay.toml,,,,skipped_existing_ok,2026-04-12T20:21:18.886107+00:00,s3_future_reference,s3_future_reference::s3_10km2_outlet_6,13.48,C:\codes\HydroModPy-GH\reporting\regional_lab_pilot_2026-04-12\outputs\child_runs\s3_10km2_outlet_6\results_simulations\s3_10km2_outlet_6_local_boussinesq_mesh_replay\_metrics.json,C:\codes\HydroModPy-GH\reporting\regional_lab_pilot_2026-04-12\outputs\child_runs\s3_10km2_outlet_6\results_simulations\flow_main__boussinesq\_boussinesq_summary.json,solve_stage=solved; runtime_backend=scipy_sparse; steady_residual_norm_inf=8.788523743182095e-08; steady_nonlinear_iterations=57,true,scipy_sparse,solved,8.788523743182095e-08
s3_10km2_outlet_7,Strahler 3 10 km2 outlet 7,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready;boussinesq_steady_ready;simulation_ready;runtime_smoke_ready,7,467550.0,6806475.0,10.0125,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_7\mesh_catchment_outlet_7.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_7\mesh_catchment_outlet_7_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_7\mesh_catchment_outlet_7_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_7\mesh_catchment_outlet_7.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_7\mesh_catchment_outlet_7_regional.png,942,0,0,0,942,0,,true,false,generated local boussinesq mesh replay config (steady-ready bundle),child_configs/run_s3_10km2_outlet_7_boussinesq_local_mesh_replay.toml,,,,skipped_existing_ok,2026-04-12T20:21:18.886107+00:00,s3_future_reference,s3_future_reference::s3_10km2_outlet_7,2.38,C:\codes\HydroModPy-GH\reporting\regional_lab_pilot_2026-04-12\outputs\child_runs\s3_10km2_outlet_7\results_simulations\s3_10km2_outlet_7_local_boussinesq_mesh_replay\_metrics.json,C:\codes\HydroModPy-GH\reporting\regional_lab_pilot_2026-04-12\outputs\child_runs\s3_10km2_outlet_7\results_simulations\flow_main__boussinesq\_boussinesq_summary.json,solve_stage=solved; runtime_backend=scipy_sparse; steady_residual_norm_inf=9.757486686971968e-08; steady_nonlinear_iterations=16,true,scipy_sparse,solved,9.757486686971968e-08
s3_10km2_outlet_8,Strahler 3 10 km2 outlet 8,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready;boussinesq_steady_ready;simulation_ready;runtime_smoke_ready,8,433275.0,6881025.0,10.006875,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_8\mesh_catchment_outlet_8.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_8\mesh_catchment_outlet_8_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_8\mesh_catchment_outlet_8_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_8\mesh_catchment_outlet_8.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_8\mesh_catchment_outlet_8_regional.png,1112,0,0,0,1112,0,,true,false,generated local boussinesq mesh replay config (steady-ready bundle),child_configs/run_s3_10km2_outlet_8_boussinesq_local_mesh_replay.toml,,,,skipped_existing_ok,2026-04-12T20:21:18.886107+00:00,s3_future_reference,s3_future_reference::s3_10km2_outlet_8,2.86,C:\codes\HydroModPy-GH\reporting\regional_lab_pilot_2026-04-12\outputs\child_runs\s3_10km2_outlet_8\results_simulations\s3_10km2_outlet_8_local_boussinesq_mesh_replay\_metrics.json,C:\codes\HydroModPy-GH\reporting\regional_lab_pilot_2026-04-12\outputs\child_runs\s3_10km2_outlet_8\results_simulations\flow_main__boussinesq\_boussinesq_summary.json,solve_stage=solved; runtime_backend=scipy_sparse; steady_residual_norm_inf=9.793935706777014e-08; steady_nonlinear_iterations=20,true,scipy_sparse,solved,9.793935706777014e-08
s3_10km2_outlet_9,Strahler 3 10 km2 outlet 9,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready;boussinesq_steady_ready;simulation_ready;runtime_smoke_ready,9,437550.0,6759075.0,10.006875,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_9\mesh_catchment_outlet_9.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_9\mesh_catchment_outlet_9_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_9\mesh_catchment_outlet_9_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_9\mesh_catchment_outlet_9.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_9\mesh_catchment_outlet_9_regional.png,1128,0,0,0,1128,0,,true,false,generated local boussinesq mesh replay config (steady-ready bundle),child_configs/run_s3_10km2_outlet_9_boussinesq_local_mesh_replay.toml,,,,skipped_existing_ok,2026-04-12T20:21:18.886107+00:00,s3_future_reference,s3_future_reference::s3_10km2_outlet_9,3.14,C:\codes\HydroModPy-GH\reporting\regional_lab_pilot_2026-04-12\outputs\child_runs\s3_10km2_outlet_9\results_simulations\s3_10km2_outlet_9_local_boussinesq_mesh_replay\_metrics.json,C:\codes\HydroModPy-GH\reporting\regional_lab_pilot_2026-04-12\outputs\child_runs\s3_10km2_outlet_9\results_simulations\flow_main__boussinesq\_boussinesq_summary.json,solve_stage=solved; runtime_backend=scipy_sparse; steady_residual_norm_inf=5.664614368089231e-08; steady_nonlinear_iterations=24,true,scipy_sparse,solved,5.664614368089231e-08
s3_10km2_outlet_10,Strahler 3 10 km2 outlet 10,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready;boussinesq_steady_ready;simulation_ready;runtime_smoke_ready,10,305025.0,6738675.0,10.006875,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_10\mesh_catchment_outlet_10.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_10\mesh_catchment_outlet_10_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_10\mesh_catchment_outlet_10_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_10\mesh_catchment_outlet_10.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_10\mesh_catchment_outlet_10_regional.png,1030,0,0,0,1030,0,,true,false,generated local boussinesq mesh replay config (steady-ready bundle),child_configs/run_s3_10km2_outlet_10_boussinesq_local_mesh_replay.toml,,,,skipped_existing_ok,2026-04-12T20:21:18.886107+00:00,s3_future_reference,s3_future_reference::s3_10km2_outlet_10,4.95,C:\codes\HydroModPy-GH\reporting\regional_lab_pilot_2026-04-12\outputs\child_runs\s3_10km2_outlet_10\results_simulations\s3_10km2_outlet_10_local_boussinesq_mesh_replay\_metrics.json,C:\codes\HydroModPy-GH\reporting\regional_lab_pilot_2026-04-12\outputs\child_runs\s3_10km2_outlet_10\results_simulations\flow_main__boussinesq\_boussinesq_summary.json,solve_stage=solved; runtime_backend=scipy_sparse; steady_residual_norm_inf=9.242941411746264e-08; steady_nonlinear_iterations=20,true,scipy_sparse,solved,9.242941411746264e-08
s3_10km2_outlet_11,Strahler 3 10 km2 outlet 11,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready;boussinesq_steady_ready;simulation_ready;runtime_smoke_ready,11,380475.0,6703200.0,10.006875,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_11\mesh_catchment_outlet_11.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_11\mesh_catchment_outlet_11_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_11\mesh_catchment_outlet_11_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_11\mesh_catchment_outlet_11.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_11\mesh_catchment_outlet_11_regional.png,1304,0,0,0,1304,0,,true,false,generated local boussinesq mesh replay config (steady-ready bundle),child_configs/run_s3_10km2_outlet_11_boussinesq_local_mesh_replay.toml,,,,skipped_existing_ok,2026-04-12T20:21:18.886107+00:00,s3_future_reference,s3_future_reference::s3_10km2_outlet_11,5.27,C:\codes\HydroModPy-GH\reporting\regional_lab_pilot_2026-04-12\outputs\child_runs\s3_10km2_outlet_11\results_simulations\s3_10km2_outlet_11_local_boussinesq_mesh_replay\_metrics.json,C:\codes\HydroModPy-GH\reporting\regional_lab_pilot_2026-04-12\outputs\child_runs\s3_10km2_outlet_11\results_simulations\flow_main__boussinesq\_boussinesq_summary.json,solve_stage=solved; runtime_backend=scipy_sparse; steady_residual_norm_inf=8.563936444759904e-08; steady_nonlinear_iterations=28,true,scipy_sparse,solved,8.563936444759904e-08
s3_10km2_outlet_12,Strahler 3 10 km2 outlet 12,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready;boussinesq_steady_ready;simulation_ready;runtime_smoke_ready,12,430125.0,6682950.0,10.006875,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_12\mesh_catchment_outlet_12.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_12\mesh_catchment_outlet_12_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_12\mesh_catchment_outlet_12_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_12\mesh_catchment_outlet_12.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_12\mesh_catchment_outlet_12_regional.png,1196,0,0,0,1196,0,,true,false,generated local boussinesq mesh replay config (steady-ready bundle),child_configs/run_s3_10km2_outlet_12_boussinesq_local_mesh_replay.toml,,,,skipped_existing_ok,2026-04-12T20:21:18.886107+00:00,s3_future_reference,s3_future_reference::s3_10km2_outlet_12,3.53,C:\codes\HydroModPy-GH\reporting\regional_lab_pilot_2026-04-12\outputs\child_runs\s3_10km2_outlet_12\results_simulations\s3_10km2_outlet_12_local_boussinesq_mesh_replay\_metrics.json,C:\codes\HydroModPy-GH\reporting\regional_lab_pilot_2026-04-12\outputs\child_runs\s3_10km2_outlet_12\results_simulations\flow_main__boussinesq\_boussinesq_summary.json,solve_stage=solved; runtime_backend=scipy_sparse; steady_residual_norm_inf=7.974752989003617e-08; steady_nonlinear_iterations=19,true,scipy_sparse,solved,7.974752989003617e-08
s3_10km2_outlet_13,Strahler 3 10 km2 outlet 13,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready;boussinesq_steady_ready;simulation_ready;runtime_smoke_ready,13,364275.0,6950625.0,10.00125,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_13\mesh_catchment_outlet_13.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_13\mesh_catchment_outlet_13_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_13\mesh_catchment_outlet_13_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_13\mesh_catchment_outlet_13.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_13\mesh_catchment_outlet_13_regional.png,944,0,0,0,944,0,,true,false,generated local boussinesq mesh replay config (steady-ready bundle),child_configs/run_s3_10km2_outlet_13_boussinesq_local_mesh_replay.toml,,,,skipped_existing_ok,2026-04-12T20:21:18.886107+00:00,s3_future_reference,s3_future_reference::s3_10km2_outlet_13,2.47,C:\codes\HydroModPy-GH\reporting\regional_lab_pilot_2026-04-12\outputs\child_runs\s3_10km2_outlet_13\results_simulations\s3_10km2_outlet_13_local_boussinesq_mesh_replay\_metrics.json,C:\codes\HydroModPy-GH\reporting\regional_lab_pilot_2026-04-12\outputs\child_runs\s3_10km2_outlet_13\results_simulations\flow_main__boussinesq\_boussinesq_summary.json,solve_stage=solved; runtime_backend=scipy_sparse; steady_residual_norm_inf=6.348253132350788e-08; steady_nonlinear_iterations=21,true,scipy_sparse,solved,6.348253132350788e-08
s3_10km2_outlet_14,Strahler 3 10 km2 outlet 14,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready;boussinesq_steady_ready;simulation_ready;runtime_smoke_ready,14,427875.0,6895125.0,10.00125,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_14\mesh_catchment_outlet_14.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_14\mesh_catchment_outlet_14_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_14\mesh_catchment_outlet_14_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_14\mesh_catchment_outlet_14.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_14\mesh_catchment_outlet_14_regional.png,1146,0,0,0,1146,0,,true,false,generated local boussinesq mesh replay config (steady-ready bundle),child_configs/run_s3_10km2_outlet_14_boussinesq_local_mesh_replay.toml,,,,skipped_existing_ok,2026-04-12T20:21:18.886107+00:00,s3_future_reference,s3_future_reference::s3_10km2_outlet_14,6.7,C:\codes\HydroModPy-GH\reporting\regional_lab_pilot_2026-04-12\outputs\child_runs\s3_10km2_outlet_14\results_simulations\s3_10km2_outlet_14_local_boussinesq_mesh_replay\_metrics.json,C:\codes\HydroModPy-GH\reporting\regional_lab_pilot_2026-04-12\outputs\child_runs\s3_10km2_outlet_14\results_simulations\flow_main__boussinesq\_boussinesq_summary.json,solve_stage=solved; runtime_backend=scipy_sparse; steady_residual_norm_inf=8.553810452180746e-08; steady_nonlinear_iterations=32,true,scipy_sparse,solved,8.553810452180746e-08
