comparison_id,variable,time_index,time_label,value__mf6_mod_s60,value__nwt_mod_s60
ex12_mf6_nwt_moderate_same_s60,total_areas,5,2003-06-01,46.77777777777778,46.77777777777778
ex12_mf6_nwt_moderate_same_s60,watertable_depth,5,2003-06-01,20.431397035073434,0.7493562994272481
ex12_mf6_nwt_moderate_same_s60,watertable_elevation,5,2003-06-01,121.97933729799452,122.21946793662177
ex12_mf6_nwt_moderate_same_s60,accumulation_flux,6,2003-07-01,0.01790936291217804,0.018155444413423538
ex12_mf6_nwt_moderate_same_s60,intermit_areas,6,2003-07-01,9.472222222222221,6.416666666666666
ex12_mf6_nwt_moderate_same_s60,outflow_drain,6,2003-07-01,7.075393958783305e-09,7.112281777132465e-09
ex12_mf6_nwt_moderate_same_s60,perenn_areas,6,2003-07-01,20.666666666666668,23.75
ex12_mf6_nwt_moderate_same_s60,recharge,6,2003-07-01,2.3148148148148148e-09,2.3148148148148148e-09
ex12_mf6_nwt_moderate_same_s60,seepage_areas,6,2003-07-01,30.11111111111111,30.166666666666668
ex12_mf6_nwt_moderate_same_s60,total_areas,6,2003-07-01,30.138888888888886,30.166666666666668
ex12_mf6_nwt_moderate_same_s60,watertable_depth,6,2003-07-01,758.4646961608742,1.9852857893258153
ex12_mf6_nwt_moderate_same_s60,watertable_elevation,6,2003-07-01,111.12327865827392,120.4593312157525
ex12_mf6_nwt_moderate_same_s60,accumulation_flux,7,2003-08-01,0.01345379464328289,0.014177908189594746
ex12_mf6_nwt_moderate_same_s60,intermit_areas,7,2003-08-01,2.111111111111111,0.0
ex12_mf6_nwt_moderate_same_s60,outflow_drain,7,2003-08-01,5.136304922645455e-09,5.395469919811603e-09
ex12_mf6_nwt_moderate_same_s60,perenn_areas,7,2003-08-01,20.666666666666668,23.75
ex12_mf6_nwt_moderate_same_s60,recharge,7,2003-08-01,1.1574074074074074e-09,1.1574074074074074e-09
ex12_mf6_nwt_moderate_same_s60,seepage_areas,7,2003-08-01,22.75,23.75
ex12_mf6_nwt_moderate_same_s60,total_areas,7,2003-08-01,22.77777777777778,23.75
ex12_mf6_nwt_moderate_same_s60,watertable_depth,7,2003-08-01,3439.152429533852,3.049784658916059
ex12_mf6_nwt_moderate_same_s60,watertable_elevation,7,2003-08-01,77.17530174457993,119.20204867045085
ex12_mf6_nwt_moderate_same_s60,accumulation_flux,8,2003-09-01,0.012215537019073963,0.014194855466485023
