year,qtot_obs,qbase_obs
2018,648.863997299248,114.46953444369537
2019,704.7771920807405,162.31591352819459
2020,691.1252482174405,139.53494459925554
2021,1123.6474098599522,293.13354762955777
2022,1021.0240101169838,264.16770599824025
2023,1191.0390917014834,441.10100473921784
2024,1205.403095298191,359.3868047512451
