comparison_id,observable,variable,support,unit,comparison_time_key,time,time_index,elapsed_seconds,value_index,value__boussinesq_petsc_mixed,value__boussinesq_petsc_partition,value__boussinesq_scipy_sparse,value__mf6_heterogeneous_10day
review_10day_heterogeneous_boussinesq_vs_mf6,head_reference_cell,watertable_elevation,point,m,time_index:30,30,30,,0,77.61835095708935,76.54151165490248,76.54151370589712,1422.7647928777935
review_10day_heterogeneous_boussinesq_vs_mf6,head_reference_cell,watertable_elevation,point,m,time_index:31,31,31,,0,75.14673334236087,73.85993566278107,73.85993722033545,1327.4255315271425
review_10day_heterogeneous_boussinesq_vs_mf6,head_reference_cell,watertable_elevation,point,m,time_index:32,32,32,,0,72.58985361408729,71.17942438312436,71.17941833420873,1240.0340568023435
review_10day_heterogeneous_boussinesq_vs_mf6,head_reference_cell,watertable_elevation,point,m,time_index:33,33,33,,0,69.94962953319678,68.45844086628577,68.4584329871435,1159.301863322787
review_10day_heterogeneous_boussinesq_vs_mf6,head_reference_cell,watertable_elevation,point,m,time_index:34,34,34,,0,70.26289370009103,68.70719282024987,68.7071842824929,1084.626682474129
review_10day_heterogeneous_boussinesq_vs_mf6,head_reference_cell,watertable_elevation,point,m,time_index:35,35,35,,0,70.53948382283534,68.93188174768787,68.93187302396426,1015.5574518261859
review_10day_heterogeneous_boussinesq_vs_mf6,head_reference_cell,watertable_elevation,point,m,time_index:36,36,36,,0,70.78777975273826,69.13762944925618,69.1376207702512,951.6896258808581
review_10day_heterogeneous_boussinesq_vs_mf6,head_reference_cell,watertable_elevation,point,m,time_index:37,37,37,,0,71.01411428513171,69.32829999553778,69.32829147044167,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:0,0,0,0.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:864000,1,1,864000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:1728000,2,2,1728000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:2592000,3,3,2592000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:3456000,4,4,3456000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:4320000,5,5,4320000.0,0,0.0,0.0,0.0,
