;qmax;qmin;qmed;qmean;q10;q90;q0;qmid;qsep;hi;long;short;excent;short_p;short_n;area;area_p;area_n;slope
1978;54.263999999999996;1.0678153846153846;12.736061538461538;16.64320473372781;1.8843692307692306;32.67581538461538;8.494707692307692;31.379353846153844;27.66590769230769;51.1704140586972;94.05404447781119;31.82195164969017;2.9556340702543595;5.133592949080243;26.68835870060993;2954.3939150769233;1163.1008833846163;1791.293031692308;0.685827172247594
1979;51.05760000000001;1.0142769230769233;12.770030769230768;16.356255621301777;1.7825723076923077;33.342240000000004;8.267999999999999;29.662800000000004;26.035938461538464;56.85453594569183;88.51849755605494;30.83381619542388;2.8708252327583175;5.512801900649285;25.321014294774592;2938.3328280000005;1092.1122055384617;1846.2206224615395;0.6853841412986795
1980;50.72289230769231;1.671323076923077;15.7176;17.51383668639053;1.9501292307692308;35.56873846153846;8.313784615384616;29.518338461538463;26.197107692307696;54.97520338535369;80.2628017452727;34.292595414020525;2.3405286411321686;8.292464253918311;26.00013116010221;2987.913949846154;1468.4198159999996;1519.4941338461542;0.7721008851057638
1981;46.236738461538465;2.3464615384615386;18.06886153846154;19.197145562130178;3.5329846153846156;37.430400000000006;9.047076923076922;27.641907692307694;24.291600000000003;63.0206952638286;67.71107744220572;31.703764390194316;2.1357425133763654;8.463027107140242;23.240737283054074;2864.6848329230775;1371.6574934498772;1493.0273394731998;0.851246643193889
1982;47.99316923076924;2.6405538461538463;22.49003076923077;22.106371597633135;4.244566153846154;39.5928;14.809292307692306;31.40123076923077;25.316861538461545;58.531693100227045;65.59475453285008;30.45894635752258;2.153546408431487;8.757380216019111;21.70156614150347;3001.707157384615;1590.4414279777088;1411.265729406907;0.9570081321927706
1983;42.58763076923077;2.6067692307692307;23.225723076923078;22.129803550295858;4.42475076923077;40.97796923076923;14.764061538461538;28.675846153846155;22.5972;73.81711574523914;61.94114455963526;28.204676541561362;2.196130293086719;8.763417707806633;19.441258833754727;3053.449500461539;1471.5919735997024;1588.4531462244784;0.8450826788937127
1984;44.68467692307693;2.610276923076923;23.667507692307694;22.742087573964497;4.501624615384618;42.832061538461545;12.217292307692308;28.45098461538462;23.647476923076926;87.57619386413123;73.12245318888037;27.367860475815096;2.671836669640233;7.701289185106013;19.666571290709083;3214.2612276923082;1266.2400230508274;1955.646593137206;0.7035264609982442
1985;46.01464615384616;3.1344000000000003;27.041907692307696;24.296449704142013;4.878055384615386;45.90258461538461;12.203446153846153;29.109046153846155;24.57452307692308;113.46323152172812;74.21621207805231;29.91460366896715;2.4809358298483097;9.520884704306884;20.393718964660266;3534.2670798461536;1177.732414861095;2360.7350223957847;0.7078868535509067
1986;44.16295384615385;3.048;27.499015384615387;23.400369230769233;4.737120000000001;43.48338461538462;12.493107692307692;28.32803076923077;23.605476923076925;120.3549339925301;98.84205913866506;27.543518791993538;3.5885777661566203;12.217274692760542;15.326244099232996;3457.5097744615387;1803.2967171171804;1655.9344356923082;0.45741729817159554
1987;49.502953846153844;3.120738461538462;27.309415384615384;24.71704615384615;4.504578461538463;48.29863384615385;14.14467692307692;31.823815384615383;26.311846153846155;91.25335055701034;133.09815899923206;26.201883998893106;5.079717130449656;6.488855892389664;19.71302810650344;3542.6482453846156;917.394268334471;2469.27011610857;0.3717864244688821
1988;46.153292307692304;3.045969230769231;24.357784615384617;22.83090177514793;4.441329230769232;44.05104;14.248984615384614;30.20113846153846;24.599630769230767;61.67868931926623;135.61837459525248;22.64425519624102;5.989085241265314;4.0602413680826865;18.584013828158334;3036.2185887692303;741.7523723517231;2197.455196534718;0.33524379264240045
1989;44.12233846153846;2.9880000000000004;23.634092307692306;22.276132544378697;4.352160000000001;43.01235692307693;14.090399999999999;29.106369230769232;23.55516923076923;58.8148239652095;145.3663111785822;21.166862178390666;6.86763630591346;3.9453086137875006;17.221553564603166;2970.8507173846156;961.5376070769222;2009.3131103076926;0.29502842719410766
1990;43.98443076923077;2.4924923076923085;18.924923076923076;20.85178224852071;3.653612307692309;42.86477538461539;13.596923076923076;28.790676923076923;23.23846153846154;55.273925204008826;123.11258691659474;20.106369088083213;6.123064108554637;5.392485370102715;14.713883717980496;2811.7851789230767;1522.3244418461536;1289.4607370769234;0.35796685757517466
1991;35.9076923076923;1.2836307692307691;18.808246153846152;17.99156449704142;2.440024615384616;34.932184615384614;13.31483076923077;24.611261538461534;18.595661538461535;50.11493462349536;94.70146071956425;19.426511952224278;4.874856636768559;3.7213585811891705;15.705153371035106;2578.3856427692303;600.5437920216068;1977.8418507476238;0.39280800429362434
1992;36.023999999999994;1.1643692307692306;12.892061538461538;15.947062721893491;2.412627692307693;35.51453538461538;8.485476923076924;22.25473846153846;18.594184615384613;56.303781147450955;137.0572740038525;19.849529146577552;6.904812350548067;3.8167806878820585;16.032748458695494;2520.9529541538463;913.5674769230764;1607.3854772307686;0.2629923105939704
1993;40.09458461538461;1.239323076923077;11.100184615384615;17.256326627218932;2.78112;39.66553846153846;9.133476923076923;24.614030769230766;20.666953846153845;53.250706898486;126.34786098000332;18.01805768931501;7.012290845029849;1.3633085201872275;16.654749169127783;2521.8376564615387;695.5771121538467;1826.2605443076923;0.3231878688996594
