case_id,site_id,site_label,cluster_id,cluster_label,cluster_family,cluster_scale,region_id,site_status,maturity,tags,recipe_id,recipe_label,launcher,reason,detail,missing_fields,config_path,status,returncode,duration_seconds,reused_from_report
headwater_transient_backend_compare::headwater_100km2_outlet_4,headwater_100km2_outlet_4,Headwater 100 km2 outlet 4,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,inventory,screening,"[""regional_headwater""]",headwater_transient_backend_compare,Headwater transient backend comparison,method-comparison,missing_required_fields,Missing required field(s): transient_backend_comparison_config,"[""transient_backend_comparison_config""]",,skipped_missing_required_fields,,,false
headwater_transient_backend_compare::headwater_100km2_outlet_5,headwater_100km2_outlet_5,Headwater 100 km2 outlet 5,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,inventory,screening,"[""regional_headwater""]",headwater_transient_backend_compare,Headwater transient backend comparison,method-comparison,missing_required_fields,Missing required field(s): transient_backend_comparison_config,"[""transient_backend_comparison_config""]",,skipped_missing_required_fields,,,false
headwater_transient_backend_compare::headwater_100km2_outlet_6,headwater_100km2_outlet_6,Headwater 100 km2 outlet 6,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,inventory,screening,"[""regional_headwater""]",headwater_transient_backend_compare,Headwater transient backend comparison,method-comparison,missing_required_fields,Missing required field(s): transient_backend_comparison_config,"[""transient_backend_comparison_config""]",,skipped_missing_required_fields,,,false
headwater_transient_backend_compare::headwater_100km2_outlet_7,headwater_100km2_outlet_7,Headwater 100 km2 outlet 7,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,inventory,screening,"[""regional_headwater""]",headwater_transient_backend_compare,Headwater transient backend comparison,method-comparison,missing_required_fields,Missing required field(s): transient_backend_comparison_config,"[""transient_backend_comparison_config""]",,skipped_missing_required_fields,,,false
headwater_transient_backend_compare::headwater_100km2_outlet_8,headwater_100km2_outlet_8,Headwater 100 km2 outlet 8,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,inventory,screening,"[""regional_headwater""]",headwater_transient_backend_compare,Headwater transient backend comparison,method-comparison,missing_required_fields,Missing required field(s): transient_backend_comparison_config,"[""transient_backend_comparison_config""]",,skipped_missing_required_fields,,,false
headwater_transient_backend_compare::headwater_100km2_outlet_9,headwater_100km2_outlet_9,Headwater 100 km2 outlet 9,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,inventory,screening,"[""regional_headwater""]",headwater_transient_backend_compare,Headwater transient backend comparison,method-comparison,missing_required_fields,Missing required field(s): transient_backend_comparison_config,"[""transient_backend_comparison_config""]",,skipped_missing_required_fields,,,false
s3_future_reference::s3_10km2_outlet_1,s3_10km2_outlet_1,Strahler 3 10 km2 outlet 1,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,ok,screening,"[""regional_screening"", ""mesh_ready"", ""simulation_ready""]",s3_future_reference,S3 local mesh replay,simulation,,,,C:\codes\HydroModPy-GH\reporting\regional_lab_pilot_2026-04-12\child_configs\run_s3_10km2_outlet_1_boussinesq_local_mesh_replay.toml,planned,,,false
s3_future_reference::s3_10km2_outlet_10,s3_10km2_outlet_10,Strahler 3 10 km2 outlet 10,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,inventory,screening,"[""regional_screening"", ""mesh_ready"", ""simulation_ready""]",s3_future_reference,S3 local mesh replay,simulation,,,,C:\codes\HydroModPy-GH\reporting\regional_lab_pilot_2026-04-12\child_configs\run_s3_10km2_outlet_10_boussinesq_local_mesh_replay.toml,planned,,,false
s3_future_reference::s3_10km2_outlet_2,s3_10km2_outlet_2,Strahler 3 10 km2 outlet 2,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,inventory,screening,"[""regional_screening"", ""mesh_ready"", ""simulation_ready""]",s3_future_reference,S3 local mesh replay,simulation,,,,C:\codes\HydroModPy-GH\reporting\regional_lab_pilot_2026-04-12\child_configs\run_s3_10km2_outlet_2_boussinesq_local_mesh_replay.toml,planned,,,false
s3_future_reference::s3_10km2_outlet_3,s3_10km2_outlet_3,Strahler 3 10 km2 outlet 3,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,inventory,screening,"[""regional_screening"", ""mesh_ready"", ""simulation_ready""]",s3_future_reference,S3 local mesh replay,simulation,,,,C:\codes\HydroModPy-GH\reporting\regional_lab_pilot_2026-04-12\child_configs\run_s3_10km2_outlet_3_boussinesq_local_mesh_replay.toml,planned,,,false
s3_future_reference::s3_10km2_outlet_4,s3_10km2_outlet_4,Strahler 3 10 km2 outlet 4,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,inventory,screening,"[""regional_screening"", ""mesh_ready"", ""simulation_ready""]",s3_future_reference,S3 local mesh replay,simulation,,,,C:\codes\HydroModPy-GH\reporting\regional_lab_pilot_2026-04-12\child_configs\run_s3_10km2_outlet_4_boussinesq_local_mesh_replay.toml,planned,,,false
s3_future_reference::s3_10km2_outlet_5,s3_10km2_outlet_5,Strahler 3 10 km2 outlet 5,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,inventory,screening,"[""regional_screening"", ""mesh_ready"", ""simulation_ready""]",s3_future_reference,S3 local mesh replay,simulation,,,,C:\codes\HydroModPy-GH\reporting\regional_lab_pilot_2026-04-12\child_configs\run_s3_10km2_outlet_5_boussinesq_local_mesh_replay.toml,planned,,,false
s3_future_reference::s3_10km2_outlet_6,s3_10km2_outlet_6,Strahler 3 10 km2 outlet 6,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,inventory,screening,"[""regional_screening"", ""mesh_ready"", ""simulation_ready""]",s3_future_reference,S3 local mesh replay,simulation,,,,C:\codes\HydroModPy-GH\reporting\regional_lab_pilot_2026-04-12\child_configs\run_s3_10km2_outlet_6_boussinesq_local_mesh_replay.toml,planned,,,false
s3_future_reference::s3_10km2_outlet_7,s3_10km2_outlet_7,Strahler 3 10 km2 outlet 7,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,inventory,screening,"[""regional_screening"", ""mesh_ready"", ""simulation_ready""]",s3_future_reference,S3 local mesh replay,simulation,,,,C:\codes\HydroModPy-GH\reporting\regional_lab_pilot_2026-04-12\child_configs\run_s3_10km2_outlet_7_boussinesq_local_mesh_replay.toml,planned,,,false
s3_future_reference::s3_10km2_outlet_8,s3_10km2_outlet_8,Strahler 3 10 km2 outlet 8,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,inventory,screening,"[""regional_screening"", ""mesh_ready"", ""simulation_ready""]",s3_future_reference,S3 local mesh replay,simulation,,,,C:\codes\HydroModPy-GH\reporting\regional_lab_pilot_2026-04-12\child_configs\run_s3_10km2_outlet_8_boussinesq_local_mesh_replay.toml,planned,,,false
s3_future_reference::s3_10km2_outlet_9,s3_10km2_outlet_9,Strahler 3 10 km2 outlet 9,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,inventory,screening,"[""regional_screening"", ""mesh_ready"", ""simulation_ready""]",s3_future_reference,S3 local mesh replay,simulation,,,,C:\codes\HydroModPy-GH\reporting\regional_lab_pilot_2026-04-12\child_configs\run_s3_10km2_outlet_9_boussinesq_local_mesh_replay.toml,planned,,,false
