cluster_scale,site_count,planned_case_count,skipped_case_count,executed_case_count,reused_case_count,successful_case_count,failed_case_count,pending_case_count
100km2,10,3,27,0,0,0,0,3
10km2,10,10,0,0,0,0,0,10
