X	Y	Z	facies
214508	6.76137e+06	-400.0	6666.0
214516	6.76139e+06	-400.0	6666.0
214523	6.76142e+06	-400.0	6666.0
214531	6.76144e+06	-400.0	6666.0
214539	6.76146e+06	-400.0	6666.0
214547	6.76149e+06	-400.0	6666.0
214554	6.76151e+06	-400.0	6666.0
214562	6.76154e+06	-400.0	6666.0
214570	6.76156e+06	-400.0	6666.0
214577	6.76158e+06	-400.0	6666.0
214585	6.76161e+06	-400.0	6666.0
214593	6.76163e+06	-400.0	6666.0
214601	6.76165e+06	-400.0	6666.0
214608	6.76168e+06	-400.0	6666.0
214616	6.7617e+06	-400.0	6666.0
214624	6.76173e+06	-400.0	3333.0
214631	6.76175e+06	-400.0	3333.0
214639	6.76177e+06	-400.0	3333.0
214647	6.7618e+06	-400.0	3333.0
214655	6.76182e+06	-400.0	3333.0
214662	6.76184e+06	-400.0	3333.0
214670	6.76187e+06	-400.0	3333.0
214678	6.76189e+06	-400.0	3333.0
214686	6.76192e+06	-400.0	3333.0
214693	6.76194e+06	-400.0	3333.0
214701	6.76196e+06	-400.0	3333.0
214709	6.76199e+06	-400.0	3333.0
214716	6.76201e+06	-400.0	3333.0
214724	6.76204e+06	-400.0	3333.0
214732	6.76206e+06	-400.0	3333.0
214740	6.76208e+06	-400.0	3333.0
214747	6.76211e+06	-400.0	3333.0
214755	6.76213e+06	-400.0	3333.0
214763	6.76215e+06	-400.0	3333.0
214770	6.76218e+06	-400.0	3333.0
214778	6.7622e+06	-400.0	3333.0
214786	6.76222e+06	-400.0	3333.0
214794	6.76225e+06	-400.0	3333.0
214801	6.76227e+06	-400.0	3333.0
214809	6.7623e+06	-400.0	3333.0
214817	6.76232e+06	-400.0	3333.0
214824	6.76234e+06	-400.0	3333.0
214832	6.76237e+06	-400.0	3333.0
214840	6.76239e+06	-400.0	3333.0
214848	6.76242e+06	-400.0	3333.0
214855	6.76244e+06	-400.0	3333.0
214863	6.76246e+06	-400.0	3333.0
214871	6.76249e+06	-400.0	3333.0
214878	6.76251e+06	-400.0	3333.0
214886	6.76253e+06	-400.0	3333.0
214894	6.76256e+06	-400.0	3333.0
214902	6.76258e+06	-400.0	3333.0
214909	6.76261e+06	-400.0	3333.0
213366	6.75777e+06	-400.0	4444.0
213374	6.7578e+06	-400.0	4444.0
213382	6.75782e+06	-400.0	4444.0
213390	6.75785e+06	-400.0	4444.0
213397	6.75787e+06	-400.0	4444.0
213405	6.75789e+06	-400.0	4444.0
213413	6.75792e+06	-400.0	4444.0
213420	6.75794e+06	-400.0	4444.0
213428	6.75796e+06	-400.0	4444.0
213436	6.75799e+06	-400.0	4444.0
213444	6.75801e+06	-400.0	4444.0
213451	6.75804e+06	-400.0	4444.0
213459	6.75806e+06	-400.0	4444.0
213467	6.75808e+06	-400.0	4444.0
213475	6.75811e+06	-400.0	4444.0
213482	6.75813e+06	-400.0	4444.0
213490	6.75815e+06	-400.0	4444.0
213498	6.75818e+06	-400.0	4444.0
213505	6.7582e+06	-400.0	4444.0
213513	6.75823e+06	-400.0	4444.0
213521	6.75825e+06	-400.0	4444.0
213529	6.75827e+06	-400.0	4444.0
213536	6.7583e+06	-400.0	4444.0
213544	6.75832e+06	-400.0	4444.0
213552	6.75834e+06	-400.0	4444.0
213559	6.75837e+06	-400.0	4444.0
213567	6.75839e+06	-400.0	4444.0
213575	6.75842e+06	-400.0	4444.0
213583	6.75844e+06	-400.0	4444.0
213590	6.75846e+06	-400.0	4444.0
213598	6.75849e+06	-400.0	4444.0
213606	6.75851e+06	-400.0	4444.0
213613	6.75853e+06	-400.0	4444.0
213621	6.75856e+06	-400.0	4444.0
213629	6.75858e+06	-400.0	4444.0
213637	6.75861e+06	-400.0	4444.0
213644	6.75863e+06	-400.0	4444.0
213652	6.75865e+06	-400.0	4444.0
213660	6.75868e+06	-400.0	4444.0
213667	6.7587e+06	-400.0	4444.0
213675	6.75872e+06	-400.0	4444.0
213683	6.75875e+06	-400.0	4444.0
213691	6.75877e+06	-400.0	4444.0
213698	6.7588e+06	-400.0	4444.0
213706	6.75882e+06	-400.0	4444.0
213714	6.75884e+06	-400.0	4444.0
213721	6.75887e+06	-400.0	4444.0
213729	6.75889e+06	-400.0	4444.0
213737	6.75891e+06	-400.0	4444.0
213745	6.75894e+06	-400.0	4444.0
213752	6.75896e+06	-400.0	4444.0
213760	6.75899e+06	-400.0	4444.0
