date,Qsim,Ssim,gain,perc,pr,s,r,n
1990-01-01,2.473501626734724,,,0.6251586327295534,0.6251586327295534,168.47912211656765,50.33146893867727,0.0
1990-01-02,2.2726032298802847,,,0.6085505910396876,6.174278197222318,167.56763806683068,49.43217290582064,0.0
1990-01-03,2.7564252641218077,,,0.6592842455423743,2.442475498268124,170.29335986960837,51.583531546735315,0.0
1990-01-04,3.047735746588792,,,0.666179971472081,5.1818489373429415,170.65088437134025,52.32688766495821,0.0
1990-01-05,3.3814729795674716,,,0.7021368389607192,0.7021368389607192,172.46903543399733,53.77323440763632,0.0
1990-01-06,3.139522629980071,,,0.686163573387365,0.686163573387365,171.67067824011724,52.89370470215375,0.0
1990-01-07,2.637175531578372,,,0.6707933268135832,0.6707933268135832,170.88844072537924,51.29056806022296,0.0
1990-01-08,2.2937774660722177,,,0.6559939029973502,0.6559939029973502,170.12171961279645,49.97191494562127,0.0
1990-01-09,2.07602356093987,,,0.6399367932055677,0.6399367932055677,169.27418023498223,48.86248118306335,0.0
1990-01-10,1.9043920891346546,,,0.6262552019436025,0.6262552019436025,168.53862571175156,47.91122367254145,0.0
1990-01-11,1.763883582011531,,,0.6130571525687197,2.2209706611425597,167.81689783185442,47.08424460804101,0.0
1990-01-12,1.8300491009581563,,,0.6199605782734535,0.6199605782734535,168.19592717071185,47.28499473912121,0.0
1990-01-13,1.7901859541415006,,,0.6087007435914424,0.6087007435914424,167.57596659243842,46.852647155161215,0.0
1990-01-14,1.6396515702752676,,,0.5944246836358008,0.5944246836358008,166.77672666509085,46.15105349219797,0.0
1990-01-15,1.521355471855069,,,0.580669000239086,0.580669000239086,165.9920903881106,45.52521105578625,0.0
1990-01-16,1.438421430810499,,,0.5674070873566908,2.368181329863895,165.22153682167846,44.96147753298377,0.0
1990-01-17,1.5527826299853305,,,0.578263286860622,3.1868565616451296,165.85335549181454,45.489290575662785,0.0
1990-01-18,1.8410431822639777,,,0.5977901161479489,0.5977901161479489,166.96649893016942,46.78664537708059,0.0
1990-01-19,1.816001945847621,,,0.5872397378403673,0.5872397378403673,166.3687088140215,46.59745275259147,0.6000000000000001
1990-01-20,1.6184762276552525,,,0.5770198630663008,0.7363292199622711,165.78146907618114,45.910990619153736,2.2
1990-01-21,1.5045436027041184,,,0.5689259491975358,0.5689259491975358,165.31050660984783,45.39119226842621,2.7346332463710437
1990-01-22,1.4300520438369977,,,0.5560796020989588,0.5560796020989588,164.55198453087596,44.86402084458497,2.7346332463710437
1990-01-23,1.3557258666143566,,,0.5468088617076124,8.851861066375392,163.995904928777,44.354027653711796,7.534633246371044
1990-01-24,2.21313908719094,,,0.631620859883548,13.862647977149146,168.82859970783147,48.68354319428988,6.650077400941169
1990-01-25,4.595355546144853,,,0.7619146337564391,3.385423256173616,175.33475381777748,57.02047999723761,0.2812753138460131
1990-01-26,5.235670214515039,,,0.7726543915461244,1.0428104304710581,175.83060587544986,58.67655446821073,0.0
1990-01-27,4.198834135625808,,,0.7587544355982087,0.7587544355982087,175.1877954449788,56.46423848388532,0.0
