datetime,value,quality
2022-01-01,1.021,Non qualifiée
2022-01-02,0.98,Non qualifiée
2022-01-03,1.156,Non qualifiée
2022-01-04,4.965,Non qualifiée
2022-01-05,2.22,Non qualifiée
2022-01-06,1.604,Non qualifiée
2022-01-07,1.532,Non qualifiée
2022-01-08,2.705,Non qualifiée
2022-01-09,3.785,Non qualifiée
2022-01-10,3.576,Non qualifiée
2022-01-11,3.151,Non qualifiée
2022-01-12,2.301,Non qualifiée
2022-01-13,1.903,Non qualifiée
2022-01-14,1.697,Non qualifiée
2022-01-15,1.553,Non qualifiée
2022-01-16,1.478,Non qualifiée
2022-01-17,1.372,Non qualifiée
2022-01-18,1.308,Non qualifiée
2022-01-19,1.287,Non qualifiée
2022-01-20,1.218,Non qualifiée
2022-01-21,1.058,Non qualifiée
2022-01-22,0.993,Non qualifiée
2022-01-23,0.966,Non qualifiée
2022-01-24,0.913,Non qualifiée
2022-01-25,0.853,Non qualifiée
2022-01-26,0.807,Non qualifiée
2022-01-27,0.846,Non qualifiée
2022-01-28,0.777,Non qualifiée
2022-01-29,0.772,Non qualifiée
2022-01-30,0.771,Non qualifiée
2022-01-31,0.763,Non qualifiée
2022-02-01,0.714,Non qualifiée
2022-02-02,0.699,Non qualifiée
2022-02-03,0.701,Non qualifiée
2022-02-04,0.725,Non qualifiée
2022-02-05,0.648,Non qualifiée
2022-02-06,0.637,Non qualifiée
2022-02-07,0.584,Non qualifiée
2022-02-08,0.539,Non qualifiée
2022-02-09,0.541,Non qualifiée
2022-02-10,0.53,Non qualifiée
2022-02-11,0.499,Non qualifiée
2022-02-12,0.492,Non qualifiée
2022-02-13,0.772,Non qualifiée
2022-02-14,3.328,Non qualifiée
2022-02-15,1.48,Non qualifiée
2022-02-16,1.923,Non qualifiée
2022-02-17,1.391,Non qualifiée
2022-02-18,1.142,Non qualifiée
2022-02-19,0.879,Non qualifiée
2022-02-20,0.809,Non qualifiée
2022-02-21,0.79,Non qualifiée
2022-02-22,0.7,Non qualifiée
2022-02-23,0.652,Non qualifiée
2022-02-24,0.649,Non qualifiée
2022-02-25,0.607,Non qualifiée
2022-02-26,0.58,Non qualifiée
2022-02-27,0.58,Non qualifiée
2022-02-28,0.542,Non qualifiée
2022-03-01,0.565,Non qualifiée
2022-03-02,0.591,Bonne
2022-03-03,0.736,Bonne
2022-03-04,0.769,Bonne
2022-03-05,0.633,Bonne
2022-03-06,0.574,Bonne
2022-03-07,0.538,Bonne
2022-03-08,0.525,Bonne
2022-03-09,0.515,Bonne
2022-03-10,0.489,Bonne
2022-03-11,0.7,Bonne
2022-03-12,0.771,Bonne
2022-03-13,0.605,Bonne
2022-03-14,0.604,Bonne
2022-03-15,0.547,Bonne
2022-03-16,0.526,Bonne
2022-03-17,0.489,Bonne
2022-03-18,0.438,Bonne
2022-03-19,0.423,Bonne
2022-03-20,0.422,Bonne
2022-03-21,0.406,Bonne
2022-03-22,0.385,Bonne
2022-03-23,0.357,Bonne
2022-03-24,0.352,Bonne
2022-03-25,0.343,Bonne
2022-03-26,0.335,Bonne
2022-03-27,0.328,Bonne
2022-03-28,0.328,Bonne
2022-03-29,0.327,Bonne
2022-03-30,0.324,Bonne
2022-03-31,0.358,Bonne
