datetime,value,quality
2022-01-01,11.78,Douteuse
2022-01-02,10.086,Douteuse
2022-01-03,9.396,Douteuse
2022-01-04,24.017,Bonne
2022-01-05,32.121,Bonne
2022-01-06,23.325,Bonne
2022-01-07,19.835,Bonne
2022-01-08,17.754,Bonne
2022-01-09,24.335,Bonne
2022-01-10,26.647,Bonne
2022-01-11,23.158,Bonne
2022-01-12,20.107,Bonne
2022-01-13,17.382,Bonne
2022-01-14,14.965,Bonne
2022-01-15,12.66,Bonne
2022-01-16,12.238,Bonne
2022-01-17,10.685,Douteuse
2022-01-18,9.586,Douteuse
2022-01-19,8.055,Douteuse
2022-01-20,7.038,Douteuse
2022-01-21,7.264,Douteuse
2022-01-22,5.702,Douteuse
2022-01-23,5.311,Douteuse
2022-01-24,5.167,Douteuse
2022-01-25,4.68,Douteuse
2022-01-26,4.403,Douteuse
2022-01-27,4.096,Douteuse
2022-01-28,3.832,Douteuse
2022-01-29,3.833,Douteuse
2022-01-30,3.815,Douteuse
2022-01-31,3.834,Douteuse
2022-02-01,3.803,Douteuse
2022-02-02,3.677,Douteuse
2022-02-03,3.519,Douteuse
2022-02-04,3.525,Douteuse
2022-02-05,3.408,Douteuse
2022-02-06,3.134,Douteuse
2022-02-07,3.194,Douteuse
2022-02-08,3.341,Douteuse
2022-02-09,3.21,Douteuse
2022-02-10,3.164,Douteuse
2022-02-11,3.006,Douteuse
2022-02-12,2.87,Douteuse
2022-02-13,2.892,Douteuse
2022-02-14,4.811,Douteuse
2022-02-15,6.864,Douteuse
2022-02-16,9.935,Douteuse
2022-02-17,13.058,Bonne
2022-02-18,10.29,Douteuse
2022-02-19,9.214,Douteuse
2022-02-20,8.529,Douteuse
2022-02-21,7.912,Douteuse
2022-02-22,7.825,Douteuse
2022-02-23,7.13,Douteuse
2022-02-24,6.297,Douteuse
2022-02-25,5.478,Douteuse
2022-02-26,5.132,Douteuse
2022-02-27,4.549,Douteuse
2022-02-28,3.978,Douteuse
2022-03-01,3.73,Douteuse
2022-03-02,3.409,Douteuse
2022-03-03,3.457,Douteuse
2022-03-04,5.169,Douteuse
2022-03-05,4.673,Douteuse
2022-03-06,3.489,Douteuse
2022-03-07,3.657,Douteuse
2022-03-08,3.106,Douteuse
2022-03-09,3.04,Douteuse
2022-03-10,3.017,Douteuse
2022-03-11,3.249,Douteuse
2022-03-12,4.299,Douteuse
2022-03-13,3.809,Douteuse
2022-03-14,3.875,Douteuse
2022-03-15,3.95,Douteuse
2022-03-16,5.101,Douteuse
2022-03-17,4.274,Douteuse
2022-03-18,4.29,Douteuse
2022-03-19,3.505,Douteuse
2022-03-20,3.253,Douteuse
2022-03-21,2.403,Douteuse
2022-03-22,2.372,Douteuse
2022-03-23,2.452,Douteuse
2022-03-24,2.463,Douteuse
2022-03-25,2.376,Douteuse
2022-03-26,2.229,Douteuse
2022-03-27,1.987,Douteuse
2022-03-28,2.041,Douteuse
2022-03-29,2.071,Douteuse
2022-03-30,2.085,Douteuse
2022-03-31,2.119,Douteuse
