comparison_id,simulation_id,simulation_label,solver,mesh_label,mesh_mode,sim_id,run_name,run_folder,network_role,source_variable,threshold,mode,persistence_threshold,timestep,buffer_m,catchment_cell_count,active_cell_count,network_cell_count,overlap_cell_count,missing_network_cell_count,extra_active_cell_count,network_coverage_ratio,active_precision_ratio,cell_f1_ratio,cell_jaccard_ratio
site_03_natural_n1_10km2_mf6_bouss,mf6_ref,MODFLOW 6 reference,modflow6,generated_geology_river_catchment_mesh,mesh_catchment,8499ad9d-8d27-4c6a-a49c-a5e481724746,site_03_natural_n1_10km2_mf6_bouss__mf6_ref,/mnt/c/codes/HydroModPy/examples/projects/10_testbed_workflow/outputs/boussinesq_natural_n1_10km2_testbed/comparisons/site_03_natural_n1_10km2_mf6_bouss/workspaces/mf6_ref,reference,release_flux,0.0,persistent,0.5,-1,0.0,2034,398,76,50,26,348,0.6578947368421053,0.12562814070351758,0.21097046413502107,0.1179245283018868
site_03_natural_n1_10km2_mf6_bouss,bouss_candidate,Boussinesq PETSc TS/SNESVI candidate,boussinesq,generated_geology_river_catchment_mesh,mesh_catchment,30862bea-9d79-486f-8b53-5153a92a3297,site_03_natural_n1_10km2_mf6_bouss__bouss_candidate,/mnt/c/codes/HydroModPy/examples/projects/10_testbed_workflow/outputs/boussinesq_natural_n1_10km2_testbed/comparisons/site_03_natural_n1_10km2_mf6_bouss/workspaces/bouss_candidate,reference,release_flux,0.0,persistent,0.5,-1,0.0,2034,1201,76,50,26,1151,0.6578947368421053,0.041631973355537054,0.07830853563038372,0.040749796251018745
