date,Qsim,Ssim,gain,perc,pr,s,r,n
1990-01-01,2.4757005407633743,,,0.6254240573582659,0.6254240573582659,170.10154789270752,49.37792511636567,0.0
1990-01-02,2.271829525627908,,,0.6089640955218375,6.149352957586457,169.19003108764736,48.47765120271928,0.0
1990-01-03,2.7641499775417167,,,0.6597078598808463,2.4348105846610295,171.94067813006092,50.637703513307045,0.0
1990-01-04,3.0539500843479344,,,0.666689245770356,5.162035046804006,172.30586754539985,51.35827161893114,0.0
1990-01-05,3.3923579742592227,,,0.702719863612402,0.702719863612402,174.14383249859586,52.800431827105236,0.0
1990-01-06,3.142945197228375,,,0.6868745032360696,0.6868745032360696,173.34496231507217,51.90016031549868,0.0
1990-01-07,2.636111260744584,,,0.6716222116211986,0.6716222116211986,172.56208357432578,50.30275828898724,0.0
1990-01-08,2.2907328628201027,,,0.6569315903059672,0.6569315903059672,171.79460292229265,48.99334762219416,0.0
1990-01-09,2.071729157520399,,,0.6409907083955225,0.6409907083955225,170.94626369854842,47.894748736142574,0.0
1990-01-10,1.8994288473912926,,,0.627400645861743,0.627400645861743,170.2097237267519,46.95495145297529,0.0
1990-01-11,1.7586897152219212,,,0.6142870392593107,2.215772478495297,169.48691844201542,46.139552131505475,0.0
1990-01-12,1.8269241059865389,,,0.6212306056838403,0.6212306056838403,169.87114596352012,46.352493574271634,0.0
1990-01-13,1.7865021236223941,,,0.6100348154038235,0.6100348154038235,169.24991535783627,45.9230103092916,0.0
1990-01-14,1.6357976582582272,,,0.5958457867740341,0.5958457867740341,168.4494743873709,45.23134254696927,0.0
1990-01-15,1.517712962233265,,,0.5821699367305435,0.5821699367305435,167.6635488727056,44.61533136387045,0.0
1990-01-16,1.4349288187729197,,,0.5689812269974326,2.363090701496973,166.89162502774454,44.06123772615398,0.0
1990-01-17,1.5516012668912105,,,0.5798458242872429,3.1787141137793595,167.52853432624755,44.59961334665301,0.0
1990-01-18,1.8431590916213016,,,0.599372407813049,0.599372407813049,168.64982021246817,45.89874107009082,0.0
1990-01-19,1.8169095963709374,,,0.5888708777199178,0.5888708777199178,168.05044780465514,45.703795071189084,0.6000000000000001
1990-01-20,1.6187197749907054,,,0.5786959662916278,1.057840075175504,167.46157692693524,45.02338835005594,2.2
1990-01-21,1.539322684053539,,,0.5742849628933008,0.5742849628933008,167.20373685175974,44.69614242515273,2.2
1990-01-22,1.4758663808783414,,,0.5613737691557285,0.5613737691557285,166.43989104453735,44.21844731297606,2.2
1990-01-23,1.388896430035691,,,0.5520325924804694,8.608182620639969,165.87851727538163,43.6929081351845,7.0
