comparison_id,observable,variable,support,unit,comparison_time_key,time,time_index,elapsed_seconds,value_index,value__mf6_demo_triangular,value__nwt_demo_structured
example12_mf6_vs_nwt_different_meshes_demonstrative,head_mid_basin_response,watertable_elevation,point,m,time_index:9,9,9,,0,112.46253210705068,110.45521545410156
example12_mf6_vs_nwt_different_meshes_demonstrative,head_mid_basin_response,watertable_elevation,point,m,time_index:10,10,10,,0,122.97709227135998,110.58866119384766
example12_mf6_vs_nwt_different_meshes_demonstrative,head_mid_basin_response,watertable_elevation,point,m,time_index:11,11,11,,0,132.13922485141353,114.18811798095703
example12_mf6_vs_nwt_different_meshes_demonstrative,head_upstream_ridge,watertable_elevation,point,m,time_index:0,0,0,,0,114.30806395166759,106.9059829711914
example12_mf6_vs_nwt_different_meshes_demonstrative,head_upstream_ridge,watertable_elevation,point,m,time_index:1,1,1,,0,122.956806086966,108.2701187133789
example12_mf6_vs_nwt_different_meshes_demonstrative,head_upstream_ridge,watertable_elevation,point,m,time_index:2,2,2,,0,121.0785354761927,108.32230377197266
example12_mf6_vs_nwt_different_meshes_demonstrative,head_upstream_ridge,watertable_elevation,point,m,time_index:3,3,3,,0,117.9210304138346,107.82532501220703
example12_mf6_vs_nwt_different_meshes_demonstrative,head_upstream_ridge,watertable_elevation,point,m,time_index:4,4,4,,0,114.77599456851675,107.12930297851562
example12_mf6_vs_nwt_different_meshes_demonstrative,head_upstream_ridge,watertable_elevation,point,m,time_index:5,5,5,,0,110.99217871861455,106.13066101074219
example12_mf6_vs_nwt_different_meshes_demonstrative,head_upstream_ridge,watertable_elevation,point,m,time_index:6,6,6,,0,107.60052011421806,104.01932525634766
example12_mf6_vs_nwt_different_meshes_demonstrative,head_upstream_ridge,watertable_elevation,point,m,time_index:7,7,7,,0,106.8269839772288,103.18960571289062
example12_mf6_vs_nwt_different_meshes_demonstrative,head_upstream_ridge,watertable_elevation,point,m,time_index:8,8,8,,0,106.31517410103919,103.09893035888672
example12_mf6_vs_nwt_different_meshes_demonstrative,head_upstream_ridge,watertable_elevation,point,m,time_index:9,9,9,,0,107.41546936133192,104.47032165527344
example12_mf6_vs_nwt_different_meshes_demonstrative,head_upstream_ridge,watertable_elevation,point,m,time_index:10,10,10,,0,117.80392317100771,104.61378479003906
example12_mf6_vs_nwt_different_meshes_demonstrative,head_upstream_ridge,watertable_elevation,point,m,time_index:11,11,11,,0,126.30913236251821,107.98338317871094
example12_mf6_vs_nwt_different_meshes_demonstrative,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:0,0,0,,0,0.0028833768402904297,0.00019202820085747926
example12_mf6_vs_nwt_different_meshes_demonstrative,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:1,1,1,,0,0.0046665027509874045,0.0003748519057684642
example12_mf6_vs_nwt_different_meshes_demonstrative,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:2,2,2,,0,0.0050573490562914195,0.00034174151670289754
example12_mf6_vs_nwt_different_meshes_demonstrative,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:3,3,3,,0,0.0033318821180906492,0.0002483647145754169
example12_mf6_vs_nwt_different_meshes_demonstrative,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:4,4,4,,0,0.0027074543712690847,0.0001798844083325857
example12_mf6_vs_nwt_different_meshes_demonstrative,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:5,5,5,,0,0.0012957117973902595,8.690374442615136e-05
example12_mf6_vs_nwt_different_meshes_demonstrative,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:6,6,6,,0,0.00036142024061441787,1.6139182827918165e-05
example12_mf6_vs_nwt_different_meshes_demonstrative,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:7,7,7,,0,0.0002889302595567456,7.033756236086009e-06
example12_mf6_vs_nwt_different_meshes_demonstrative,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:8,8,8,,0,0.000239029665611683,6.58044108671742e-06
example12_mf6_vs_nwt_different_meshes_demonstrative,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:9,9,9,,0,0.00036556584836469613,2.030733702510734e-05
example12_mf6_vs_nwt_different_meshes_demonstrative,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:10,10,10,,0,0.003177787104562119,2.23209755976886e-05
example12_mf6_vs_nwt_different_meshes_demonstrative,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:11,11,11,,0,0.005709883073030161,0.00028251148426163664
