variant_id,variant_label,solver,mesh_mode,runtime_seconds,runtime_minutes,reference_variant,speedup_vs_reference
mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,modflow6,mesh_input,44.77,0.7461666666666668,mf6_demo_triangular,1.0
nwt_demo_structured,NWT annual demonstrative on 60x60 structured grid,modflownwt,structured,30.09,0.5015,mf6_demo_triangular,1.487869724160851
