=== TOP 120 CUMULATIVE ===
         81148461 function calls (78184155 primitive calls) in 123.768 seconds

   Ordered by: cumulative time
   List reduced from 6190 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11520    0.157    0.000    7.918    0.001 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1785(_setitem_with_indexer)
        1    0.000    0.000    7.745    7.745 C:\codes\HydroModPy-GH\validation_cases\calibration\shared\runtime.py:286(synthesize_truth_observations)
  2326710    7.606    0.000    7.606    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     4680    0.010    0.000    7.252    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:1217(get_file_entry)
     4680    0.055    0.000    7.242    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:1237(_get_file_entry)
      264    0.022    0.000    7.163    0.027 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:2505(_update_size_defs)
     1440    0.013    0.000    7.111    0.005 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:2342(get_data)
     3120    0.035    0.000    7.068    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:1405(_get_file_entry_layer)
     1440    0.016    0.000    7.020    0.005 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:1679(get_data)
     1440    0.012    0.000    7.003    0.005 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:1640(_get_data)
     4320    0.018    0.000    6.974    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:2183(get_file_entry)
     3072    0.026    0.000    6.962    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:1514(_get_data_layer_string)
     1440    0.008    0.000    6.784    0.005 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:1633(_dataframe_to_recarray)
42216/30696    0.240    0.000    6.715    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1176(__getitem__)
     3072    1.270    0.000    6.535    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mffileaccess.py:516(get_data_string)
       24    0.089    0.004    6.419    0.267 C:\codes\HydroModPy-GH\hydromodpy\solver\modflow6\modflow6.py:2242(post_processing)
    11520    0.222    0.000    6.209    0.001 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1946(_setitem_with_indexer_split_path)
  2172180    5.580    0.000    6.132    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\numpy\_core\_methods.py:77(_count_reduce_items)
     1440    0.071    0.000    5.907    0.004 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:299(_add_cellid_fields)
     3504    0.018    0.000    5.800    0.002 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:2893(build_mfdata)
     3504    0.018    0.000    5.740    0.002 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:620(add_dataset)
17450189/17366535    4.163    0.000    5.525    0.000 {built-in method builtins.isinstance}
    14400    0.182    0.000    5.269    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1032(_getitem_lowerdim)
45292/43852    0.682    0.000    5.153    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\series.py:389(__init__)
    11520    0.084    0.000    5.076    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1365(_getitem_tuple)
460776/456912    0.258    0.000    5.066    0.000 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdatastorage.py:683(get_data)
470760/466896    1.050    0.000    4.937    0.000 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdatastorage.py:690(_access_data)
24364/23764    0.059    0.000    4.702    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\ops\common.py:62(new_method)
    23400    0.114    0.000    4.576    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1397(_getitem_axis)
   361728    0.756    0.000    4.515    0.000 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:291(get_transient_key)
    15144    0.178    0.000    4.465    0.000 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:1347(header_exists)
   402312    0.329    0.000    4.264    0.000 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdatascalar.py:115(get_data)
    11520    0.186    0.000    4.211    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:2111(_setitem_single_column)
     7992    0.027    0.000    4.139    0.001 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:416(data_factory)
    26156    0.184    0.000    3.945    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\frame.py:4062(__getitem__)
    11880    0.046    0.000    3.821    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1205(_getbool_axis)
        4    0.000    0.000    3.760    0.940 C:\codes\HydroModPy-GH\launchers\process_simulation\launcher.py:657(_run_setup)
    14760    0.048    0.000    3.588    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\generic.py:4142(_take_with_is_copy)
        4    0.000    0.000    3.576    0.894 C:\codes\HydroModPy-GH\launchers\process_simulation\launcher.py:457(_build_geographic_runtime)
        4    0.000    0.000    3.575    0.894 C:\codes\HydroModPy-GH\hydromodpy\spatial\geographic\synthetic\synthetic_geographic.py:335(build_synthetic_geographic)
        4    0.000    0.000    3.575    0.894 C:\codes\HydroModPy-GH\hydromodpy\spatial\geographic\synthetic\synthetic_geographic.py:108(__init__)
        4    0.001    0.000    3.573    0.893 C:\codes\HydroModPy-GH\hydromodpy\spatial\geographic\synthetic\synthetic_geographic.py:132(_build)
    14760    0.154    0.000    3.460    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\generic.py:4027(take)
      240    0.019    0.000    3.459    0.014 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:1329(_add_missing_block_headers)
        4    0.020    0.005    3.384    0.846 C:\codes\HydroModPy-GH\hydromodpy\spatial\geographic\synthetic\synthetic_geographic.py:255(_write_polygons_and_contour)
       20    0.000    0.000    3.216    0.161 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\geopandas\geodataframe.py:1530(to_file)
       20    0.001    0.000    3.216    0.161 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\geopandas\io\file.py:614(_to_file)
       24    0.000    0.000    3.113    0.130 C:\codes\HydroModPy-GH\hydromodpy\solver\modflow6\modflow6.py:1508(_open_budget_file)
       24    0.001    0.000    3.113    0.130 C:\Python312\Lib\site-packages\flopy\utils\binaryfile\__init__.py:942(__init__)
       20    0.001    0.000    3.109    0.155 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\geopandas\io\file.py:775(_to_file_pyogrio)
       20    0.003    0.000    3.108    0.155 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pyogrio\geopandas.py:528(write_dataframe)
       48    0.002    0.000    3.103    0.065 C:\Python312\Lib\site-packages\flopy\utils\binaryfile\__init__.py:1059(_set_precision)
       48    0.262    0.005    3.101    0.065 C:\Python312\Lib\site-packages\flopy\utils\binaryfile\__init__.py:1134(_build_index)
    11520    0.104    0.000    3.091    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\generic.py:12678(_inplace_method)
    23164    0.153    0.000    3.077    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\series.py:6201(_construct_result)
       20    3.027    0.151    3.030    0.152 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pyogrio\raw.py:595(write)
     4320    0.018    0.000    2.980    0.001 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\frame.py:5433(drop)
     4320    0.035    0.000    2.962    0.001 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\generic.py:4757(drop)
     4320    0.065    0.000    2.916    0.001 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\generic.py:4796(_drop_axis)
    14760    0.083    0.000    2.900    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\internals\managers.py:869(take)
2710680/771072    2.193    0.000    2.889    0.000 C:\Python312\Lib\site-packages\flopy\utils\datautil.py:240(next_item)
        2    0.000    0.000    2.852    1.426 C:\codes\HydroModPy-GH\launchers\model_calibration\launcher.py:43(prepare)
        2    0.000    0.000    2.834    1.417 C:\codes\HydroModPy-GH\launchers\model_calibration\runtime.py:2654(prepare_calibration_session)
        2    0.000    0.000    2.803    1.402 C:\codes\HydroModPy-GH\launchers\model_calibration\runtime.py:2474(prepare_hydraulic_property_support)
        2    0.000    0.000    2.803    1.401 C:\codes\HydroModPy-GH\launchers\model_calibration\runtime.py:482(_prepare_runtime_hydraulic_property_support)
   586/60    0.011    0.000    2.764    0.046 <frozen importlib._bootstrap>:1349(_find_and_load)
     5832    0.181    0.000    2.762    0.000 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:670(_build_repeating_header)
   535/32    0.006    0.000    2.758    0.086 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    498/7    0.004    0.000    2.718    0.388 <frozen importlib._bootstrap>:911(_load_unlocked)
    433/7    0.005    0.000    2.718    0.388 <frozen importlib._bootstrap_external>:989(exec_module)
  1242/38    0.004    0.000    2.709    0.071 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    883/7    0.076    0.000    2.707    0.387 {built-in method builtins.exec}
    19080    0.124    0.000    2.647    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\internals\managers.py:623(reindex_indexer)



=== TOP 120 INTERNAL TIME ===
