=== TOP 120 CUMULATIVE ===
         90195523 function calls (86885269 primitive calls) in 138.869 seconds

   Ordered by: cumulative time
   List reduced from 2992 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       27    0.113    0.004    8.175    0.303 C:\codes\HydroModPy-GH\hydromodpy\solver\modflow6\modflow6.py:2242(post_processing)
47433/34473    0.297    0.000    8.015    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1176(__getitem__)
      297    0.025    0.000    8.012    0.027 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:2505(_update_size_defs)
     1620    0.014    0.000    7.952    0.005 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:2342(get_data)
     1620    0.019    0.000    7.848    0.005 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:1679(get_data)
     1620    0.013    0.000    7.830    0.005 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:1640(_get_data)
     5265    0.010    0.000    7.629    0.001 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:1217(get_file_entry)
     5265    0.059    0.000    7.619    0.001 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:1237(_get_file_entry)
     1620    0.011    0.000    7.579    0.005 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:1633(_dataframe_to_recarray)
  2443706    6.812    0.000    7.490    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\numpy\_core\_methods.py:77(_count_reduce_items)
    12960    0.266    0.000    7.471    0.001 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1946(_setitem_with_indexer_split_path)
     3510    0.035    0.000    7.432    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:1405(_get_file_entry_layer)
     3456    0.029    0.000    7.323    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:1514(_get_data_layer_string)
     4860    0.019    0.000    7.308    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:2183(get_file_entry)
     3942    0.022    0.000    6.953    0.002 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:2893(build_mfdata)
     3456    1.384    0.000    6.888    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mffileaccess.py:516(get_data_string)
     3942    0.020    0.000    6.884    0.002 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:620(add_dataset)
        1    0.000    0.000    6.604    6.604 C:\codes\HydroModPy-GH\validation_cases\calibration\shared\runtime.py:286(synthesize_truth_observations)
     1620    0.082    0.000    6.593    0.004 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:299(_add_cellid_fields)
    16200    0.221    0.000    6.290    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1032(_getitem_lowerdim)
19576145/19482081    4.717    0.000    6.276    0.000 {built-in method builtins.isinstance}
50911/49291    0.854    0.000    6.171    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\series.py:389(__init__)
    12960    0.103    0.000    6.091    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1365(_getitem_tuple)
27247/26647    0.079    0.000    5.629    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\ops\common.py:62(new_method)
    26280    0.139    0.000    5.458    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1397(_getitem_axis)
518373/514026    0.279    0.000    5.212    0.000 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdatastorage.py:683(get_data)
     8991    0.030    0.000    5.130    0.001 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:416(data_factory)
529605/525258    1.118    0.000    5.070    0.000 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdatastorage.py:690(_access_data)
    12960    0.224    0.000    5.068    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:2111(_setitem_single_column)
   406944    0.810    0.000    4.843    0.000 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:291(get_transient_key)
    17037    0.195    0.000    4.788    0.000 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:1347(header_exists)
    13320    0.060    0.000    4.537    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1205(_getbool_axis)
    29417    0.231    0.000    4.535    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\frame.py:4062(__getitem__)
   452601    0.356    0.000    4.378    0.000 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdatascalar.py:115(get_data)
    16560    0.057    0.000    4.195    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\generic.py:4142(_take_with_is_copy)
       27    0.000    0.000    4.075    0.151 C:\codes\HydroModPy-GH\hydromodpy\solver\modflow6\modflow6.py:1508(_open_budget_file)
       27    0.001    0.000    4.074    0.151 C:\Python312\Lib\site-packages\flopy\utils\binaryfile\__init__.py:942(__init__)
       54    0.002    0.000    4.062    0.075 C:\Python312\Lib\site-packages\flopy\utils\binaryfile\__init__.py:1059(_set_precision)
       54    0.392    0.007    4.059    0.075 C:\Python312\Lib\site-packages\flopy\utils\binaryfile\__init__.py:1134(_build_index)
    16560    0.190    0.000    4.048    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\generic.py:4027(take)
    26047    0.186    0.000    3.706    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\series.py:6201(_construct_result)
