comparison_id,variant_id,reference_variant,variable,time_index,time_label,value,reference_value,signed_error,absolute_error,relative_error
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,accumulation_flux,0,0,0.040321752429008484,0.04035114496946335,-2.9392540454864502e-05,2.9392540454864502e-05,0.000728418994730087
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,intermit_areas,0,0,54.30555555555555,57.52777777777778,-3.2222222222222285,3.2222222222222285,0.05601158860453898
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,outflow_drain,0,0,1.841730346325053e-08,1.8429440975506796e-08,-1.2137512256265188e-11,1.2137512256265188e-11,0.0006585936205225246
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,perenn_areas,0,0,23.75,20.666666666666668,3.083333333333332,3.083333333333332,0.1491935483870967
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,recharge,0,0,1.900077160493827e-08,3.935185185185185e-08,-2.0351080246913582e-08,2.0351080246913582e-08,0.5171568627450981
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,seepage_areas,0,0,77.33333333333333,77.36111111111111,-0.027777777777785673,0.027777777777785673,0.0003590664272891505
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,total_areas,0,0,78.05555555555556,78.19444444444444,-0.13888888888888573,0.13888888888888573,0.0017761989342805992
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,watertable_depth,0,0,0.15657564444660035,0.1573057930037932,-0.0007301485571928334,0.0007301485571928334,0.004641587212082056
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,watertable_elevation,0,0,123.55750107235379,123.55813388573539,-0.0006328133815998171,0.0006328133815998171,5.121584162035281e-06
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,accumulation_flux,1,1,0.06836804002523422,0.07760076224803925,-0.009232722222805023,0.009232722222805023,0.11897721047241785
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,intermit_areas,1,1,76.05555555555556,79.16666666666666,-3.1111111111111,3.1111111111111,0.03929824561403495
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,outflow_drain,1,1,3.3310961339669414e-08,3.631920185619409e-08,-3.008240516524675e-09,3.008240516524675e-09,0.08282782557931218
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,perenn_areas,1,1,23.75,20.666666666666668,3.083333333333332,3.083333333333332,0.1491935483870967
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,recharge,1,1,3.7037037037037036e-08,3.7037037037037036e-08,0.0,0.0,0.0
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,seepage_areas,1,1,99.77777777777777,99.80555555555556,-0.027777777777785673,0.027777777777785673,0.00027831895352081385
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,total_areas,1,1,99.80555555555556,99.83333333333333,-0.027777777777771462,0.027777777777771462,0.0002782415136337709
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,watertable_depth,1,1,0.003495574597908168,19.677322020717277,-19.673826446119367,19.673826446119367,0.9998223551663062
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,watertable_elevation,1,1,125.38301486545139,125.48948872254624,-0.1064738570948549,0.1064738570948549,0.0008484683313218817
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,accumulation_flux,2,2,0.06636819243431091,0.06742846965789795,-0.0010602772235870361,0.0010602772235870361,0.015724474082926855
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,intermit_areas,2,2,76.11111111111111,79.05555555555556,-2.944444444444443,2.944444444444443,0.03724525650035135
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,outflow_drain,2,2,3.095616436771455e-08,3.1250644278028664e-08,-2.944799103141167e-10,2.944799103141167e-10,0.009423162853674545
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,perenn_areas,2,2,23.75,20.666666666666668,3.083333333333332,3.083333333333332,0.1491935483870967
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,recharge,2,2,3.125e-08,3.125e-08,0.0,0.0,0.0
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,seepage_areas,2,2,99.66666666666667,99.52777777777779,0.13888888888888573,0.13888888888888573,0.0013954786491766358
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,total_areas,2,2,99.86111111111111,99.72222222222223,0.13888888888888573,0.13888888888888573,0.0013927576601670993
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,watertable_depth,2,2,0.00016460689561291985,19.67745918472317,-19.677294577827556,19.677294577827556,0.9999916347484669
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,watertable_elevation,2,2,125.12192181057401,124.9201947809289,0.20172702964511302,0.20172702964511302,0.0016148472230521204
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,accumulation_flux,3,3,0.05179886892437935,0.05327765271067619,-0.0014787837862968445,0.0014787837862968445,0.027756173762522277
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,intermit_areas,3,3,70.69444444444444,74.3888888888889,-3.694444444444457,3.694444444444457,0.04966392830470517
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,outflow_drain,3,3,2.363736064246037e-08,2.438991320049571e-08,-7.525525580353407e-10,7.525525580353407e-10,0.030855073236588867
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,perenn_areas,3,3,23.75,20.666666666666668,3.083333333333332,3.083333333333332,0.1491935483870967
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,recharge,3,3,2.4305555555555556e-08,2.4305555555555556e-08,0.0,0.0,0.0
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,seepage_areas,3,3,93.47222222222223,94.08333333333333,-0.6111111111111001,0.6111111111111001,0.006495423678771657
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,total_areas,3,3,94.44444444444444,95.05555555555556,-0.6111111111111143,0.6111111111111143,0.00642898889538285
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,watertable_depth,3,3,0.025167733807570154,19.697249877615416,-19.672082143807845,19.672082143807845,0.9987222716895026
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,watertable_elevation,3,3,124.27507803810967,124.13000116117053,0.14507687693914306,0.14507687693914306,0.0011687495011844485
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,accumulation_flux,4,4,0.04041890799999237,0.04043777659535408,-1.8868595361709595e-05,1.8868595361709595e-05,0.0004666081310681512
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,intermit_areas,4,4,51.69444444444444,54.666666666666664,-2.9722222222222214,2.9722222222222214,0.05436991869918698
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,outflow_drain,4,4,1.793762394117427e-08,1.7948371953441778e-08,-1.0748012267507009e-11,1.0748012267507009e-11,0.0005988293698942412
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,perenn_areas,4,4,23.75,20.666666666666668,3.083333333333332,3.083333333333332,0.1491935483870967
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,recharge,4,4,1.736111111111111e-08,1.736111111111111e-08,0.0,0.0,0.0
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,seepage_areas,4,4,74.52777777777779,74.36111111111111,0.1666666666666714,0.1666666666666714,0.00224131490474418
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,total_areas,4,4,75.44444444444444,75.33333333333333,0.11111111111111427,0.11111111111111427,0.0014749262536873577
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,watertable_depth,4,4,0.16205530092155407,19.839993792460906,-19.67793849153935,19.67793849153935,0.9918318875188794
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,watertable_elevation,4,4,123.49815743552314,123.26392584508514,0.23423159043800013,0.23423159043800013,0.001900244445665119
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,accumulation_flux,5,5,0.028163563460111618,0.028155874460935593,7.68899917602539e-06,7.68899917602539e-06,0.0002730868539243335
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,intermit_areas,5,5,23.02777777777778,26.111111111111114,-3.0833333333333357,3.0833333333333357,0.1180851063829788
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,outflow_drain,5,5,1.1780546484018923e-08,1.1775293166148393e-08,5.253317870529455e-12,5.253317870529455e-12,0.0004461305375930419
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,perenn_areas,5,5,23.75,20.666666666666668,3.083333333333332,3.083333333333332,0.1491935483870967
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,recharge,5,5,9.259259259259259e-09,9.259259259259259e-09,0.0,0.0,0.0
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,seepage_areas,5,5,46.416666666666664,46.38888888888889,0.027777777777771462,0.027777777777771462,0.0005988023952094447
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,total_areas,5,5,46.77777777777778,46.77777777777778,0.0,0.0,0.0
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,watertable_depth,5,5,0.7493562994272481,20.431397035073434,-19.682040735646186,19.682040735646186,0.9633232960946885
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,watertable_elevation,5,5,122.21946793662177,121.97933729799452,0.24013063862724948,0.24013063862724948,0.0019686173408256214
ex12_multi_method_moderate,nwt_mod_s60,mf6_mod_s60,accumulation_flux,6,6,0.018155444413423538,0.01790936291217804,0.00024608150124549866,0.00024608150124549866,0.013740382751313155
