hk,sy,index
1e-05,0.1467799267622069,313
1e-05,0.21544346900318823,314
1e-05,0.31622776601683794,315
1e-05,0.46415888336127775,316
1e-05,0.6812920690579608,317
1e-05,1.0,318
1e-05,1.467799267622069,319
1e-05,2.154434690031882,320
1e-05,3.1622776601683795,321
1e-05,4.6415888336127775,322
1e-05,6.812920690579608,323
1e-05,10.0,324
1.778279410038923e-05,0.001,325
1.778279410038923e-05,0.0014677992676220691,326
1.778279410038923e-05,0.0021544346900318843,327
1.778279410038923e-05,0.0031622776601683794,328
1.778279410038923e-05,0.004641588833612777,329
1.778279410038923e-05,0.006812920690579608,330
1.778279410038923e-05,0.01,331
1.778279410038923e-05,0.01467799267622069,332
1.778279410038923e-05,0.021544346900318832,333
1.778279410038923e-05,0.03162277660168379,334
1.778279410038923e-05,0.046415888336127774,335
1.778279410038923e-05,0.06812920690579612,336
1.778279410038923e-05,0.1,337
1.778279410038923e-05,0.1467799267622069,338
1.778279410038923e-05,0.21544346900318823,339
1.778279410038923e-05,0.31622776601683794,340
1.778279410038923e-05,0.46415888336127775,341
1.778279410038923e-05,0.6812920690579608,342
1.778279410038923e-05,1.0,343
1.778279410038923e-05,1.467799267622069,344
1.778279410038923e-05,2.154434690031882,345
1.778279410038923e-05,3.1622776601683795,346
1.778279410038923e-05,4.6415888336127775,347
1.778279410038923e-05,6.812920690579608,348
1.778279410038923e-05,10.0,349
3.1622776601683795e-05,0.001,350
3.1622776601683795e-05,0.0014677992676220691,351
3.1622776601683795e-05,0.0021544346900318843,352
3.1622776601683795e-05,0.0031622776601683794,353
3.1622776601683795e-05,0.004641588833612777,354
3.1622776601683795e-05,0.006812920690579608,355
3.1622776601683795e-05,0.01,356
3.1622776601683795e-05,0.01467799267622069,357
3.1622776601683795e-05,0.021544346900318832,358
3.1622776601683795e-05,0.03162277660168379,359
3.1622776601683795e-05,0.046415888336127774,360
3.1622776601683795e-05,0.06812920690579612,361
3.1622776601683795e-05,0.1,362
3.1622776601683795e-05,0.1467799267622069,363
3.1622776601683795e-05,0.21544346900318823,364
3.1622776601683795e-05,0.31622776601683794,365
3.1622776601683795e-05,0.46415888336127775,366
3.1622776601683795e-05,0.6812920690579608,367
3.1622776601683795e-05,1.0,368
3.1622776601683795e-05,1.467799267622069,369
3.1622776601683795e-05,2.154434690031882,370
3.1622776601683795e-05,3.1622776601683795,371
3.1622776601683795e-05,4.6415888336127775,372
3.1622776601683795e-05,6.812920690579608,373
3.1622776601683795e-05,10.0,374
5.623413251903491e-05,0.001,375
5.623413251903491e-05,0.0014677992676220691,376
5.623413251903491e-05,0.0021544346900318843,377
5.623413251903491e-05,0.0031622776601683794,378
5.623413251903491e-05,0.004641588833612777,379
5.623413251903491e-05,0.006812920690579608,380
5.623413251903491e-05,0.01,381
5.623413251903491e-05,0.01467799267622069,382
5.623413251903491e-05,0.021544346900318832,383
5.623413251903491e-05,0.03162277660168379,384
5.623413251903491e-05,0.046415888336127774,385
5.623413251903491e-05,0.06812920690579612,386
5.623413251903491e-05,0.1,387
5.623413251903491e-05,0.1467799267622069,388
5.623413251903491e-05,0.21544346900318823,389
5.623413251903491e-05,0.31622776601683794,390
