hk,sy,index
5.623413251903491e-05,0.46415888336127775,391
5.623413251903491e-05,0.6812920690579608,392
5.623413251903491e-05,1.0,393
5.623413251903491e-05,1.467799267622069,394
5.623413251903491e-05,2.154434690031882,395
5.623413251903491e-05,3.1622776601683795,396
5.623413251903491e-05,4.6415888336127775,397
5.623413251903491e-05,6.812920690579608,398
5.623413251903491e-05,10.0,399
0.0001,0.001,400
0.0001,0.0014677992676220691,401
0.0001,0.0021544346900318843,402
0.0001,0.0031622776601683794,403
0.0001,0.004641588833612777,404
0.0001,0.006812920690579608,405
0.0001,0.01,406
0.0001,0.01467799267622069,407
0.0001,0.021544346900318832,408
0.0001,0.03162277660168379,409
0.0001,0.046415888336127774,410
0.0001,0.06812920690579612,411
0.0001,0.1,412
0.0001,0.1467799267622069,413
0.0001,0.21544346900318823,414
0.0001,0.31622776601683794,415
0.0001,0.46415888336127775,416
0.0001,0.6812920690579608,417
0.0001,1.0,418
0.0001,1.467799267622069,419
0.0001,2.154434690031882,420
0.0001,3.1622776601683795,421
0.0001,4.6415888336127775,422
0.0001,6.812920690579608,423
0.0001,10.0,424
0.00017782794100389227,0.001,425
0.00017782794100389227,0.0014677992676220691,426
0.00017782794100389227,0.0021544346900318843,427
0.00017782794100389227,0.0031622776601683794,428
0.00017782794100389227,0.004641588833612777,429
0.00017782794100389227,0.006812920690579608,430
0.00017782794100389227,0.01,431
0.00017782794100389227,0.01467799267622069,432
0.00017782794100389227,0.021544346900318832,433
0.00017782794100389227,0.03162277660168379,434
0.00017782794100389227,0.046415888336127774,435
0.00017782794100389227,0.06812920690579612,436
0.00017782794100389227,0.1,437
0.00017782794100389227,0.1467799267622069,438
0.00017782794100389227,0.21544346900318823,439
0.00017782794100389227,0.31622776601683794,440
0.00017782794100389227,0.46415888336127775,441
0.00017782794100389227,0.6812920690579608,442
0.00017782794100389227,1.0,443
0.00017782794100389227,1.467799267622069,444
0.00017782794100389227,2.154434690031882,445
0.00017782794100389227,3.1622776601683795,446
0.00017782794100389227,4.6415888336127775,447
0.00017782794100389227,6.812920690579608,448
0.00017782794100389227,10.0,449
0.00031622776601683794,0.001,450
0.00031622776601683794,0.0014677992676220691,451
0.00031622776601683794,0.0021544346900318843,452
0.00031622776601683794,0.0031622776601683794,453
0.00031622776601683794,0.004641588833612777,454
0.00031622776601683794,0.006812920690579608,455
0.00031622776601683794,0.01,456
0.00031622776601683794,0.01467799267622069,457
0.00031622776601683794,0.021544346900318832,458
0.00031622776601683794,0.03162277660168379,459
0.00031622776601683794,0.046415888336127774,460
0.00031622776601683794,0.06812920690579612,461
0.00031622776601683794,0.1,462
0.00031622776601683794,0.1467799267622069,463
0.00031622776601683794,0.21544346900318823,464
0.00031622776601683794,0.31622776601683794,465
0.00031622776601683794,0.46415888336127775,466
0.00031622776601683794,0.6812920690579608,467
0.00031622776601683794,1.0,468
