comparison_id,variant_id,reference_variant,variable,time_index,time_label,value,reference_value,signed_error,absolute_error,relative_error
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,accumulation_flux,0,0,0.040321752429008484,0.012283120852952549,0.028038631576055933,0.028038631576055933,2.282696060042116
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,intermit_areas,0,0,54.30555555555555,57.348390753771284,-3.042835198215734,3.042835198215734,0.05305877215073614
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,outflow_drain,0,0,1.841730346325053e-08,1.8408938677316324e-08,8.364785934206902e-12,8.364785934206902e-12,0.00045438719096359823
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,perenn_areas,0,0,23.75,42.651609246228716,-18.901609246228716,18.901609246228716,0.44316286255717324
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,recharge,0,0,1.900077160493827e-08,3.935185185185185e-08,-2.0351080246913582e-08,2.0351080246913582e-08,0.5171568627450981
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,seepage_areas,0,0,77.33333333333333,100.0,-22.66666666666667,22.66666666666667,0.2266666666666667
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,total_areas,0,0,78.05555555555556,100.0,-21.944444444444443,21.944444444444443,0.21944444444444444
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,watertable_depth,0,0,0.15657564444660035,0.0,0.15657564444660035,0.15657564444660035,nan
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,watertable_elevation,0,0,123.55750107235379,134.04678775403536,-10.489286681681577,10.489286681681577,0.0782509365381328
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,accumulation_flux,1,1,0.06836804002523422,0.021200032840659817,0.04716800718457441,0.04716800718457441,2.224902552703139
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,intermit_areas,1,1,76.05555555555556,57.348390753771284,18.707164801784273,18.707164801784273,0.3262020879034705
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,outflow_drain,1,1,3.3310961339669414e-08,3.111214766030422e-08,2.1988136793651927e-09,2.1988136793651927e-09,0.07067379929450014
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,perenn_areas,1,1,23.75,42.651609246228716,-18.901609246228716,18.901609246228716,0.44316286255717324
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,recharge,1,1,3.7037037037037036e-08,3.7037037037037036e-08,0.0,0.0,0.0
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,seepage_areas,1,1,99.77777777777777,100.0,-0.22222222222222854,0.22222222222222854,0.0022222222222222855
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,total_areas,1,1,99.80555555555556,100.0,-0.19444444444444287,0.19444444444444287,0.0019444444444444286
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,watertable_depth,1,1,0.003495574597908168,0.0,0.003495574597908168,0.003495574597908168,nan
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,watertable_elevation,1,1,125.38301486545139,143.5315575156735,-18.148542650222126,18.148542650222126,0.12644287405743732
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,accumulation_flux,2,2,0.06636819243431091,0.0207123227497581,0.04565586968455281,0.04565586968455281,2.204285353997104
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,intermit_areas,2,2,76.11111111111111,57.348390753771284,18.76272035733983,18.76272035733983,0.3271708257324723
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,outflow_drain,2,2,3.095616436771455e-08,3.09537994237156e-08,2.364943998948902e-12,2.364943998948902e-12,7.640238171010999e-05
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,perenn_areas,2,2,23.75,42.651609246228716,-18.901609246228716,18.901609246228716,0.44316286255717324
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,recharge,2,2,3.125e-08,3.125e-08,0.0,0.0,0.0
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,seepage_areas,2,2,99.66666666666667,100.0,-0.3333333333333286,0.3333333333333286,0.003333333333333286
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,total_areas,2,2,99.86111111111111,100.0,-0.13888888888888573,0.13888888888888573,0.0013888888888888573
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,watertable_depth,2,2,0.00016460689561291985,0.0,0.00016460689561291985,0.00016460689561291985,nan
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,watertable_elevation,2,2,125.12192181057401,143.08004326596782,-17.958121455393808,17.958121455393808,0.12551101499188058
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,accumulation_flux,3,3,0.05179886147379875,0.014554498720413013,0.03724436275338574,0.03724436275338574,2.558958811899834
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,intermit_areas,3,3,70.69444444444444,57.348390753771284,13.346053690673159,13.346053690673159,0.23271888740479627
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,outflow_drain,3,3,2.363736064246037e-08,2.282433123953502e-08,8.130294029253489e-10,8.130294029253489e-10,0.03562117086335766
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,perenn_areas,3,3,23.75,42.651609246228716,-18.901609246228716,18.901609246228716,0.44316286255717324
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,recharge,3,3,2.4305555555555556e-08,2.4305555555555556e-08,0.0,0.0,0.0
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,seepage_areas,3,3,93.47222222222223,100.0,-6.5277777777777715,6.5277777777777715,0.06527777777777771
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,total_areas,3,3,94.44444444444444,100.0,-5.555555555555557,5.555555555555557,0.05555555555555557
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,watertable_depth,3,3,0.025167733807570154,0.0,0.025167733807570154,0.025167733807570154,nan
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,watertable_elevation,3,3,124.27507803810967,137.00400950996126,-12.728931471851595,12.728931471851595,0.09290918942723426
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,accumulation_flux,4,4,0.04041890799999237,0.01127890798813344,0.02914000001185893,0.02914000001185893,2.5835834499684878
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,intermit_areas,4,4,51.69444444444444,57.348390753771284,-5.653946309326841,5.653946309326841,0.09858945011382089
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,outflow_drain,4,4,1.793762394117427e-08,1.736096663102483e-08,5.766573101494407e-10,5.766573101494407e-10,0.033215737487734584
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,perenn_areas,4,4,23.75,42.651609246228716,-18.901609246228716,18.901609246228716,0.44316286255717324
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,recharge,4,4,1.736111111111111e-08,1.736111111111111e-08,0.0,0.0,0.0
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,seepage_areas,4,4,74.52777777777779,100.0,-25.472222222222214,25.472222222222214,0.2547222222222221
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,total_areas,4,4,75.44444444444444,100.0,-24.555555555555557,24.555555555555557,0.24555555555555558
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,watertable_depth,4,4,0.16205530092155407,0.0,0.16205530092155407,0.16205530092155407,nan
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,watertable_elevation,4,4,123.49815743552314,133.15982661622672,-9.661669180703583,9.661669180703583,0.0725569372251362
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,accumulation_flux,5,5,0.028163563460111618,0.005800114003309434,0.022363449456802183,0.022363449456802183,3.855691361246008
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,intermit_areas,5,5,23.02777777777778,51.566179106129795,-28.538401328352016,28.538401328352016,0.5534325370436374
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,outflow_drain,5,5,1.1780546484018923e-08,9.341793118523036e-09,2.4387533654958866e-09,2.4387533654958866e-09,0.2610583786811006
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,perenn_areas,5,5,23.75,42.651609246228716,-18.901609246228716,18.901609246228716,0.44316286255717324
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,recharge,5,5,9.259259259259259e-09,9.259259259259259e-09,0.0,0.0,0.0
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,seepage_areas,5,5,46.416666666666664,94.00677707689577,-47.59011041022911,47.59011041022911,0.5062412720659628
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,total_areas,5,5,46.77777777777778,94.21778835235851,-47.44001057458073,47.44001057458073,0.5035143724363722
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,watertable_depth,5,5,0.7493562994272481,0.019437450938451735,0.7299188484887964,0.7299188484887964,37.55218988333751
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,watertable_elevation,5,5,122.21946793662177,127.32908895446508,-5.10962101784331,5.10962101784331,0.040129251373742195
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,accumulation_flux,6,6,0.018155444413423538,0.0026528408719999064,0.015502603541423632,0.015502603541423632,5.843774387318087
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,intermit_areas,6,6,6.416666666666666,13.4692875114278,-7.052620844761133,7.052620844761133,0.5236075656397898
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,outflow_drain,6,6,7.112281777132465e-09,4.989428001642989e-09,2.122853775489476e-09,2.122853775489476e-09,0.425470369507373
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,perenn_areas,6,6,23.75,42.651609246228716,-18.901609246228716,18.901609246228716,0.44316286255717324
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,recharge,6,6,2.3148148148148148e-09,2.3148148148148148e-09,0.0,0.0,0.0
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,seepage_areas,6,6,30.166666666666668,55.921370479179934,-25.754703812513267,25.754703812513267,0.4605520857558738
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,total_areas,6,6,30.166666666666668,56.12089675765651,-25.954230090989842,25.954230090989842,0.46246998160179853
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,watertable_depth,6,6,1.9852857893258153,349.56615856823964,-347.58087277891383,347.58087277891383,0.9943207151474354
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,watertable_elevation,6,6,120.4593312157525,119.1465508971719,1.312780318580593,1.312780318580593,0.011018198249931494
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,accumulation_flux,7,7,0.014177908189594746,0.001995504010334896,0.012182404179259849,0.012182404179259849,6.104925931577223
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,intermit_areas,7,7,0.0,2.2533775198218837,-2.2533775198218837,2.2533775198218837,1.0
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,outflow_drain,7,7,5.395469919811603e-09,4.080205503375863e-09,1.31526441643574e-09,1.31526441643574e-09,0.3223524931152419
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,perenn_areas,7,7,23.75,42.651609246228716,-18.901609246228716,18.901609246228716,0.44316286255717324
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,recharge,7,7,1.1574074074074074e-09,1.1574074074074074e-09,0.0,0.0,0.0
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,seepage_areas,7,7,23.75,44.7412945701327,-20.991294570132702,20.991294570132702,0.4691704782307653
ex12_mf6_nwt_moderate,nwt_mod_s60,mf6_mod_tri,total_areas,7,7,23.75,44.904986766050605,-21.154986766050605,21.154986766050605,0.4711055116498632
