date,Qsim,Ssim,gain,perc,pr,s,r,n
1990-01-01,2.4757218419437765,,,0.6254413877367084,0.6254413877367084,170.11478854483434,49.37319179575329,0.0
1990-01-02,2.271845851447728,,,0.6089819446887814,6.149230128460592,169.20325568447944,48.47295261563386,0.0
1990-01-03,2.76415004898864,,,0.6597254608952484,2.4347821827199643,171.95402555601888,50.632777147748804,0.0
1990-01-04,3.053982669460418,,,0.6667070368204395,5.161935161160263,172.3192433732989,51.35342942534969,0.0
1990-01-05,3.392390267242997,,,0.7027377746331456,0.7027377746331456,174.15730821213862,52.79542633776607,0.0
1990-01-06,3.1429861040299243,,,0.6868928750007298,0.6868928750007298,173.358420530235,51.89525892125866,0.0
1990-01-07,2.6361224707419186,,,0.6716409961920463,0.6716409961920463,172.57552382800947,50.297835866192294,0.0
1990-01-08,2.2907191108657963,,,0.6569507438769214,0.6569507438769214,171.80802479917378,48.98843777092191,0.0
1990-01-09,2.0717019968004524,,,0.6410102832833773,0.6410102832833773,170.95966723119645,47.889869504506606,0.0
1990-01-10,1.8993953707013675,,,0.6274205066719439,0.6274205066719439,170.22310808590112,46.95011271943039,0.0
1990-01-11,1.7586532387772267,,,0.6143071528797714,2.215754942717142,169.50028333881727,46.13475898494679,0.0
1990-01-12,1.8268836688246997,,,0.6212507173466014,0.6212507173466014,169.88452839610014,46.34768338546361,0.0
1990-01-13,1.7864726052848117,,,0.6100550766661962,0.6100550766661962,169.26327767875352,45.91829283905416,0.0
1990-01-14,1.635769984302519,,,0.5958663399451052,0.5958663399451052,168.46281723320703,45.22666555925214,0.0
1990-01-15,1.5176835088403564,,,0.5821907462552129,0.5821907462552129,167.67687194304267,44.610696870589585,0.0
1990-01-16,1.4348989331077528,,,0.5690022603562159,2.3630724491292834,166.90492805744455,44.056646475942834,0.0
1990-01-17,1.5515691930679436,,,0.5798667036817138,3.1786767589368985,167.54185560831527,44.59499413112577,0.0
1990-01-18,1.8431369792619408,,,0.5993930823722621,0.5993930823722621,168.66317884937837,45.89411002252803,0.0
1990-01-19,1.8169078042057523,,,0.5888916530343853,0.5888916530343853,168.06378576700612,45.699266867923036,0.6000000000000001
1990-01-20,1.618716876819697,,,0.5787168250269931,1.0578503847926652,167.47489411397174,45.01887930597764,2.2
1990-01-21,1.539312913931942,,,0.5743058351920607,0.5743058351920607,167.2170437291791,44.69163884007616,2.2
1990-01-22,1.4758559920082535,,,0.5613948498949558,0.5613948498949558,166.45317781503752,44.21398450336318,2.2
1990-01-23,1.3888846857342039,,,0.5520537120933119,8.607996615555727,165.89178296514257,43.68847296072143,7.0
1990-01-24,2.233189456021285,,,0.6341032527476903,13.344810148878699,170.58687299691118,47.88447564870985,6.496913352675667
1990-01-25,4.551561008056881,,,0.7594528088575393,3.7414614199777545,176.90477778175014,55.86775869663919,0.8341984189580334
1990-01-26,5.2336903201922365,,,0.7743089628887667,1.0433934163358702,177.59751478073042,57.62014326928717,0.0
1990-01-27,4.226435938682796,,,0.76050348940977,0.76050348940977,176.95412136439455,55.465942659591555,0.0
1990-01-28,3.3330923699202053,,,0.7383845759933212,2.594814159479017,175.90374736779577,53.18522605370667,0.0
1990-01-29,3.112572885207499,,,0.7426648642977837,5.634804396358363,176.10893320831673,52.43933373211906,0.0
1990-01-30,3.631465206971343,,,0.7781330922994397,7.634982706664939,177.77412881195838,53.97183977268431,0.0
1990-01-31,4.680160590039035,,,0.8307968441521283,3.1958091491309313,180.13914610529343,56.92857671826107,0.0
1990-02-01,4.748761638389869,,,0.8354725951274236,11.345007824116,180.3433369561625,56.972522951448006,0.0
1990-02-02,6.089892749803665,,,0.9177933713346174,2.869678303008047,183.7983291320465,60.8634832369446,0.0
1990-02-03,5.992066556600179,,,0.9136066082012022,2.644669274686925,183.62865082903843,60.27387675318195,0.0
1990-02-04,5.012711496444497,,,0.9075960461974293,2.2733695030102927,183.38398155435152,58.08738726815377,0.0
1990-02-05,4.293863423440269,,,0.8984840870101108,6.386955111979624,183.01061205134124,56.30066599345211,0.0
1990-02-06,4.652779661252785,,,0.9283548545886317,11.186156381695664,184.2236569393616,57.31276115206353,0.0
1990-02-07,6.424691336629401,,,0.9980249840214058,5.502823884475726,186.93750055766594,61.64314059867929,0.0
1990-02-08,6.84949067306785,,,1.0112240398349617,1.0112240398349617,187.4346766731902,62.28992725482069,0.0
1990-02-09,5.406511108925217,,,0.9794017625187805,0.9794017625187805,186.22710586960332,58.99809526650063,0.0
1990-02-10,4.122662161290208,,,0.9541774676698125,0.9541774676698125,185.24770410708453,55.87587654310474,5.800000000000001
1990-02-11,3.3932911481890997,,,0.9300989589368557,0.9300989589368557,184.29352663941472,53.59265636606313,14.9
1990-02-12,2.938308915635582,,,0.9070925445203725,0.9070925445203725,183.36342768047788,51.830350985717565,21.0
1990-02-13,2.6088895919166353,,,0.8850906103320394,0.8850906103320394,182.4563351359575,50.417905993381986,21.0
1990-02-14,2.3582142945962477,,,0.8617354126494214,0.8617354126494214,181.4737379820975,49.25391590746802,21.0
1990-02-15,2.160823089442057,,,0.8416564239654662,0.8416564239654662,180.6120025694481,48.27242785344752,23.8
1990-02-16,2.0014125898333557,,,0.8224041779981481,10.7371016890826,179.77034614548265,47.43112341362322,34.2
1990-02-17,3.2692174559537337,,,0.900543971888775,9.911294063855657,183.09527825654285,52.450451194423394,28.037966199857213
1990-02-18,5.257084398767638,,,0.9622360009529691,5.5779590866956035,185.56279818175912,58.05250721724263,21.95915221078528
