id,x,y,crs,unit
NANCON,389285.91,6816518.749,EPSG:2154,mm/day
EX04,389285.91,6816518.749,EPSG:2154,mm/day
NANCON_REA,389285.91,6816518.749,EPSG:2154,mm/day
