=== TOP 120 CUMULATIVE ===
         60712790 function calls (57609392 primitive calls) in 93.787 seconds

   Ordered by: cumulative time
   List reduced from 6205 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11520    0.241    0.000    6.699    0.001 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1946(_setitem_with_indexer_split_path)
     1440    0.011    0.000    6.686    0.005 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:1640(_get_data)
     4680    0.011    0.000    6.593    0.001 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:1217(get_file_entry)
     4680    0.057    0.000    6.582    0.001 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:1237(_get_file_entry)
       48    0.014    0.000    6.578    0.137 C:\codes\HydroModPy-GH\launchers\model_calibration\output_selection.py:464(_raw_model_variable_payload)
       46    0.038    0.001    6.517    0.142 C:\codes\HydroModPy-GH\launchers\model_calibration\output_selection.py:290(_modflow6_raw_output_payloads)
     1440    0.010    0.000    6.475    0.004 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:1633(_dataframe_to_recarray)
     3120    0.036    0.000    6.408    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:1405(_get_file_entry_layer)
     4320    0.018    0.000    6.310    0.001 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:2183(get_file_entry)
     3072    0.024    0.000    6.302    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:1514(_get_data_layer_string)
     3504    0.018    0.000    5.943    0.002 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:2893(build_mfdata)
     3072    1.174    0.000    5.909    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mffileaccess.py:516(get_data_string)
     3504    0.018    0.000    5.886    0.002 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:620(add_dataset)
     1440    0.067    0.000    5.632    0.004 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:299(_add_cellid_fields)
    14400    0.183    0.000    5.611    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1032(_getitem_lowerdim)
45568/44128    0.762    0.000    5.587    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\series.py:389(__init__)
       47    0.001    0.000    5.464    0.116 C:\codes\HydroModPy-GH\hydromodpy\solver\modflow6\modflow6.py:1508(_open_budget_file)
       47    0.002    0.000    5.463    0.116 C:\Python312\Lib\site-packages\flopy\utils\binaryfile\__init__.py:942(__init__)
       94    0.003    0.000    5.447    0.058 C:\Python312\Lib\site-packages\flopy\utils\binaryfile\__init__.py:1059(_set_precision)
    11520    0.093    0.000    5.444    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1365(_getitem_tuple)
       94    0.513    0.005    5.444    0.058 C:\Python312\Lib\site-packages\flopy\utils\binaryfile\__init__.py:1134(_build_index)
24364/23764    0.073    0.000    5.128    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\ops\common.py:62(new_method)
    23400    0.117    0.000    4.922    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1397(_getitem_axis)
15311972/15228042    3.535    0.000    4.908    0.000 {built-in method builtins.isinstance}
460776/456912    0.251    0.000    4.572    0.000 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdatastorage.py:683(get_data)
    11520    0.204    0.000    4.528    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:2111(_setitem_single_column)
470760/466896    0.988    0.000    4.444    0.000 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdatastorage.py:690(_access_data)
   361728    0.712    0.000    4.222    0.000 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:291(get_transient_key)
     7992    0.026    0.000    4.194    0.001 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:416(data_factory)
    15144    0.173    0.000    4.178    0.000 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:1347(header_exists)
    11880    0.051    0.000    4.119    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1205(_getbool_axis)
    26317    0.196    0.000    3.982    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\frame.py:4062(__getitem__)
        4    0.000    0.000    3.920    0.980 C:\codes\HydroModPy-GH\launchers\process_simulation\launcher.py:657(_run_setup)
   402312    0.313    0.000    3.831    0.000 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdatascalar.py:115(get_data)
    14760    0.047    0.000    3.783    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\generic.py:4142(_take_with_is_copy)
        4    0.000    0.000    3.719    0.930 C:\codes\HydroModPy-GH\launchers\process_simulation\launcher.py:457(_build_geographic_runtime)
        4    0.000    0.000    3.719    0.930 C:\codes\HydroModPy-GH\hydromodpy\spatial\geographic\synthetic\synthetic_geographic.py:335(build_synthetic_geographic)
        4    0.000    0.000    3.718    0.930 C:\codes\HydroModPy-GH\hydromodpy\spatial\geographic\synthetic\synthetic_geographic.py:108(__init__)
        4    0.002    0.001    3.716    0.929 C:\codes\HydroModPy-GH\hydromodpy\spatial\geographic\synthetic\synthetic_geographic.py:132(_build)
    14760    0.162    0.000    3.649    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\generic.py:4027(take)
        4    0.019    0.005    3.483    0.871 C:\codes\HydroModPy-GH\hydromodpy\spatial\geographic\synthetic\synthetic_geographic.py:255(_write_polygons_and_contour)
    11520    0.116    0.000    3.369    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\generic.py:12678(_inplace_method)
    23164    0.172    0.000    3.357    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\series.py:6201(_construct_result)
       20    0.000    0.000    3.313    0.166 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\geopandas\geodataframe.py:1530(to_file)
       20    0.001    0.000    3.313    0.166 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\geopandas\io\file.py:614(_to_file)
    19928    0.339    0.000    3.291    0.000 C:\Python312\Lib\site-packages\flopy\utils\binaryfile\__init__.py:1313(_get_header)
       20    0.001    0.000    3.205    0.160 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\geopandas\io\file.py:775(_to_file_pyogrio)
       20    0.003    0.000    3.203    0.160 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pyogrio\geopandas.py:528(write_dataframe)
       20    3.118    0.156    3.121    0.156 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pyogrio\raw.py:595(write)
    14760    0.092    0.000    3.048    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\internals\managers.py:869(take)
     4320    0.018    0.000    3.043    0.001 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\frame.py:5433(drop)
      240    0.018    0.000    3.042    0.013 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:1329(_add_missing_block_headers)
     4320    0.040    0.000    3.025    0.001 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\generic.py:4757(drop)
        2    0.000    0.000    3.016    1.508 C:\codes\HydroModPy-GH\launchers\model_calibration\launcher.py:43(prepare)
        2    0.000    0.000    2.993    1.496 C:\codes\HydroModPy-GH\launchers\model_calibration\runtime.py:2654(prepare_calibration_session)
     4320    0.073    0.000    2.974    0.001 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\generic.py:4796(_drop_axis)
        2    0.001    0.000    2.962    1.481 C:\codes\HydroModPy-GH\launchers\model_calibration\runtime.py:2474(prepare_hydraulic_property_support)
        2    0.000    0.000    2.960    1.480 C:\codes\HydroModPy-GH\launchers\model_calibration\runtime.py:482(_prepare_runtime_hydraulic_property_support)
    19080    0.131    0.000    2.756    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\internals\managers.py:623(reindex_indexer)
     5832    0.042    0.000    2.733    0.000 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:670(_build_repeating_header)
       24    0.001    0.000    2.706    0.113 C:\Python312\Lib\site-packages\flopy\mf6\modflow\mfgwfrcha.py:301(__init__)
