=== TOP 120 CUMULATIVE ===
         67212167 function calls (63744677 primitive calls) in 103.038 seconds

   Ordered by: cumulative time
   List reduced from 3007 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       27    0.001    0.000    7.434    0.275 C:\codes\HydroModPy-GH\launchers\model_calibration\output_selection.py:675(_iter_runtime_model_variables)
     5265    0.010    0.000    7.369    0.001 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:1217(get_file_entry)
     5265    0.061    0.000    7.359    0.001 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:1237(_get_file_entry)
       54    0.020    0.000    7.256    0.134 C:\codes\HydroModPy-GH\launchers\model_calibration\output_selection.py:464(_raw_model_variable_payload)
       52    0.044    0.001    7.174    0.138 C:\codes\HydroModPy-GH\launchers\model_calibration\output_selection.py:290(_modflow6_raw_output_payloads)
     3510    0.037    0.000    7.167    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:1405(_get_file_entry_layer)
     4860    0.019    0.000    7.074    0.001 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:2183(get_file_entry)
     3456    0.024    0.000    7.056    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:1514(_get_data_layer_string)
     3942    0.021    0.000    7.040    0.002 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:2893(build_mfdata)
     1620    0.086    0.000    7.011    0.004 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:299(_add_cellid_fields)
     3942    0.020    0.000    6.973    0.002 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:620(add_dataset)
     3456    1.364    0.000    6.613    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mffileaccess.py:516(get_data_string)
51223/49603    0.876    0.000    6.379    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\series.py:389(__init__)
    16200    0.219    0.000    6.220    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1032(_getitem_lowerdim)
    12960    0.103    0.000    5.990    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1365(_getitem_tuple)
       53    0.001    0.000    5.956    0.112 C:\codes\HydroModPy-GH\hydromodpy\solver\modflow6\modflow6.py:1508(_open_budget_file)
       53    0.002    0.000    5.955    0.112 C:\Python312\Lib\site-packages\flopy\utils\binaryfile\__init__.py:942(__init__)
      106    0.004    0.000    5.937    0.056 C:\Python312\Lib\site-packages\flopy\utils\binaryfile\__init__.py:1059(_set_precision)
      106    0.558    0.005    5.933    0.056 C:\Python312\Lib\site-packages\flopy\utils\binaryfile\__init__.py:1134(_build_index)
27247/26647    0.088    0.000    5.825    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\ops\common.py:62(new_method)
518373/514026    0.305    0.000    5.724    0.000 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdatastorage.py:683(get_data)
17170743/17076367    4.016    0.000    5.646    0.000 {built-in method builtins.isinstance}
529605/525258    1.199    0.000    5.578    0.000 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdatastorage.py:690(_access_data)
    26280    0.143    0.000    5.396    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1397(_getitem_axis)
   406944    0.881    0.000    5.212    0.000 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:291(get_transient_key)
    17037    0.214    0.000    5.170    0.000 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:1347(header_exists)
    12960    0.228    0.000    5.141    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:2111(_setitem_single_column)
     8991    0.031    0.000    5.034    0.001 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:416(data_factory)
        4    0.000    0.000    4.841    1.210 C:\codes\HydroModPy-GH\launchers\process_simulation\launcher.py:657(_run_setup)
    29599    0.231    0.000    4.783    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\frame.py:4062(__getitem__)
   452601    0.373    0.000    4.681    0.000 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdatascalar.py:115(get_data)
        4    0.000    0.000    4.653    1.163 C:\codes\HydroModPy-GH\launchers\process_simulation\launcher.py:457(_build_geographic_runtime)
        4    0.000    0.000    4.653    1.163 C:\codes\HydroModPy-GH\hydromodpy\spatial\geographic\synthetic\synthetic_geographic.py:335(build_synthetic_geographic)
        4    0.000    0.000    4.653    1.163 C:\codes\HydroModPy-GH\hydromodpy\spatial\geographic\synthetic\synthetic_geographic.py:108(__init__)
        4    0.001    0.000    4.650    1.163 C:\codes\HydroModPy-GH\hydromodpy\spatial\geographic\synthetic\synthetic_geographic.py:132(_build)
    13320    0.061    0.000    4.488    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1205(_getbool_axis)
        4    0.016    0.004    4.465    1.116 C:\codes\HydroModPy-GH\hydromodpy\spatial\geographic\synthetic\synthetic_geographic.py:255(_write_polygons_and_contour)
       20    0.001    0.000    4.276    0.214 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\geopandas\geodataframe.py:1530(to_file)
       20    0.001    0.000    4.275    0.214 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\geopandas\io\file.py:614(_to_file)
       20    0.001    0.000    4.242    0.212 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\geopandas\io\file.py:775(_to_file_pyogrio)
       20    0.004    0.000    4.239    0.212 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pyogrio\geopandas.py:528(write_dataframe)
