date;recharge;runoff;watertable_elevation;watertable_depth;seepage_areas;outflow_drain;accumulation_flux;total_areas;perenn_areas;intermit_areas
2003-01-01;0.0;;2.903393988527369;10040.933718065535;1.9641599188468188;3.0343790820885386e-11;0.003006032333487469;1.9641599188468188;1.9515921859570624;0.012567732889756131
2003-01-11;0.0;;2.7174991852963264;10040.933723588576;1.9575116008112174;1.6622795615779822e-11;0.0021432955441762977;1.9575116008112174;1.9515921859570624;0.005919414854154835
2003-01-21;0.0;;2.607721906970406;10040.933756542589;1.9515921859570624;1.2996039842792255e-11;0.002095223815142654;1.9515921859570624;1.9515921859570624;0.0
2003-01-31;9.259259259259259e-08;;8.47831210575243;10040.933572345932;1.9865076962733719;2.5142597937789236e-10;0.025784312107147066;1.9865076962733719;1.9515921859570624;0.03491551031630911
2003-02-10;9.259259259259259e-08;;14.436580804680771;10040.933572345932;1.9865076962733719;4.631015724342255e-10;0.04615448864160299;1.9865076962733719;1.9515921859570624;0.03491551031630911
2003-02-20;0.0;;14.178609570299555;10040.933572345932;1.9865076962733719;3.356189024716577e-10;0.026878154589059042;1.9865076962733719;1.9515921859570624;0.03491551031630911
2003-03-02;0.0;;13.979704093311039;10040.933572345932;1.9865076962733719;2.738762477089312e-10;0.02196756876560572;1.9865076962733719;1.9515921859570624;0.03491551031630911
2003-03-12;0.0;;13.779431337651376;10040.933572345932;1.9865076962733719;2.366822921586156e-10;0.021899225908981888;1.9865076962733719;1.9515921859570624;0.03491551031630911
2003-03-22;0.0;;13.572691786008459;10040.933572345932;1.9865076962733719;2.117405837827476e-10;0.021754946714859502;1.9865076962733719;1.9515921859570624;0.03491551031630911
2003-04-01;9.259259259259259e-08;;19.658595289007646;10040.933572345932;1.9865076962733719;5.112966215756756e-10;0.04402294177318859;1.9865076962733719;1.9515921859570624;0.03491551031630911
2003-04-11;9.259259259259259e-08;;25.719796640247452;10040.933572345932;1.9865076962733719;7.368111597766253e-10;0.06629739258474021;1.9865076962733719;1.9515921859570624;0.03491551031630911
2003-04-21;9.259259259259259e-08;;31.789807720023905;10040.933572345932;1.9865076962733719;9.393627804312452e-10;0.08660053465382112;1.9865076962733719;1.9515921859570624;0.03491551031630911
2003-05-01;0.0;;31.53555019582181;10040.933572345932;1.9865076962733719;7.950956290840734e-10;0.06633562119237653;1.9865076962733719;1.9865076962733719;0.0
2003-05-11;0.0;;31.262374186434457;10040.933572345932;1.9865076962733719;7.117158606970196e-10;0.05563775033153965;1.9865076962733719;1.9865076962733719;0.0
2003-05-21;0.0;;30.933728642702267;10040.933572345932;1.9865076962733719;6.525572224748019e-10;0.05115182053820611;1.9865076962733719;1.9865076962733719;0.0
2003-05-31;9.259259259259259e-08;;36.87547403944426;10040.933572345932;1.9865076962733719;9.45024847764877e-10;0.0845170674767715;1.9865076962733719;1.9865076962733719;0.0
2003-06-10;9.259259259259259e-08;;42.77490570847424;10040.933572345932;1.9865076962733719;1.180875816723725e-09;0.11234475975829528;1.9865076962733719;1.9865076962733719;0.0
2003-06-20;9.259259259259259e-08;;48.66150361033468;10040.933572345932;1.9865076962733719;1.3940323532694586e-09;0.13715146716486587;1.9865076962733719;1.9865076962733719;0.0
