solver,solver_label,runtime_backend,surface_interaction_model,wall_time_seconds,results_dir
boussinesq,Local dense runtime,local,regularized_partition,58.75082397799997,/mnt/c/codes/HydroModPy-GH/out/boussinesq_hillslope_overflow_multi_linux_20260413/validation/run_multi_solver_case/boussinesq_hillsl_07d97bd987
petsc_partition,PETSc regularized partition,petsc,regularized_partition,15.46473178399998,/mnt/c/codes/HydroModPy-GH/out/boussinesq_hillslope_overflow_multi_linux_20260413/validation/run_multi_solver_case/boussinesq_hillsl_6a3172c37d
petsc,PETSc complementarity,petsc,complementarity,2.1015125300000363,/mnt/c/codes/HydroModPy-GH/out/boussinesq_hillslope_overflow_multi_linux_20260413/validation/run_multi_solver_case/boussinesq_hillsl_9c566ea726
