solver,solver_label,runtime_backend,surface_interaction_model,elapsed_days,recharge_mm_day,total_overflow_m3_day,active_overflow_length_m,overflow_front_x_m,overflow_centroid_x_m,max_head_clearance_m
petsc_partition,PETSc regularized partition,petsc,regularized_partition,10.0,20.000000000000004,0.5678983787535995,120.0,385.0,328.110415473787,-1.0701657809352847
petsc_partition,PETSc regularized partition,petsc,regularized_partition,11.0,0.0,0.0,0.0,nan,nan,-1.1449807446472224
petsc_partition,PETSc regularized partition,petsc,regularized_partition,12.0,0.0,0.0,0.0,nan,nan,-1.1825899285647683
petsc_partition,PETSc regularized partition,petsc,regularized_partition,13.0,32.0,1.824126714118254,180.0,395.0,327.24037307035206,-0.9915252690595366
petsc_partition,PETSc regularized partition,petsc,regularized_partition,14.0,32.0,3.574680800498731,210.0,395.0,321.0320225574302,-0.8077868348899884
petsc_partition,PETSc regularized partition,petsc,regularized_partition,15.0,32.0,6.8462318120352315,240.0,395.0,315.65825267151456,-0.632158027263455
petsc_partition,PETSc regularized partition,petsc,regularized_partition,16.0,0.0,0.0,0.0,nan,nan,-0.7356199632674212
petsc_partition,PETSc regularized partition,petsc,regularized_partition,17.0,0.0,0.0,0.0,nan,nan,-0.8152445745557522
petsc_partition,PETSc regularized partition,petsc,regularized_partition,18.0,42.0,17.261178038701043,300.0,395.0,309.4309759481985,-0.5333094943242553
petsc_partition,PETSc regularized partition,petsc,regularized_partition,19.0,42.0,37.70379056061247,340.0,395.0,303.6652400953366,-0.31452343016718043
petsc_partition,PETSc regularized partition,petsc,regularized_partition,20.0,42.0,69.5027235171275,380.0,395.0,296.43512786392586,-0.16216968675228394
petsc_partition,PETSc regularized partition,petsc,regularized_partition,21.0,0.0,0.0,0.0,nan,nan,-0.23502033992380067
petsc_partition,PETSc regularized partition,petsc,regularized_partition,22.0,0.0,0.0,0.0,nan,nan,-0.3049856316620234
petsc_partition,PETSc regularized partition,petsc,regularized_partition,23.0,0.0,0.0,0.0,nan,nan,-0.369291193573007
petsc_partition,PETSc regularized partition,petsc,regularized_partition,24.0,0.0,0.0,0.0,nan,nan,-0.428480237040211
petsc_partition,PETSc regularized partition,petsc,regularized_partition,25.0,0.0,0.0,0.0,nan,nan,-0.48357748838590187
petsc_partition,PETSc regularized partition,petsc,regularized_partition,26.0,0.0,0.0,0.0,nan,nan,-0.5344965236636074
petsc_partition,PETSc regularized partition,petsc,regularized_partition,27.0,0.0,0.0,0.0,nan,nan,-0.5814868937094584
petsc_partition,PETSc regularized partition,petsc,regularized_partition,28.0,0.0,0.0,0.0,nan,nan,-0.6249239581663755
petsc_partition,PETSc regularized partition,petsc,regularized_partition,29.0,0.0,0.0,0.0,nan,nan,-0.6651935859034639
