node_id,x,y,z_top,z_bottom
0,286012.5,6800887.5,137.5,87.5
1,286012.5,6818437.5,280.8999938964844,230.89999389648438
2,311887.5,6818437.5,46.099998474121094,-3.9000015258789062
3,311887.5,6800887.5,114.9000015258789,64.9000015258789
4,307800.0,6806437.35309621,90.2027429700008,40.2027429700008
5,307800.0,6806475.0,89.5,39.5
6,307800.0,6806550.0,93.19999694824219,43.19999694824219
7,307800.0,6806625.0,95.19999694824219,45.19999694824219
8,307875.0,6806700.0,88.19999694824219,38.19999694824219
9,307950.0,6806775.0,85.9000015258789,35.900001525878906
10,307950.0,6806850.0,85.30000305175781,35.30000305175781
11,308025.0,6806925.0,84.4000015258789,34.400001525878906
12,308100.0,6807000.0,84.0,34.0
13,308175.0,6807075.0,82.5999984741211,32.599998474121094
14,308250.0,6807150.0,82.9000015258789,32.900001525878906
15,308325.0,6807150.0,82.4000015258789,32.400001525878906
16,308325.0,6807225.0,82.4000015258789,32.400001525878906
17,308400.0,6807300.0,81.5999984741211,31.599998474121094
18,308437.5,6807337.5,82.29999923706055,32.29999923706055
19,308475.0,6807375.0,82.4000015258789,32.400001525878906
20,308550.0,6807375.0,81.5999984741211,31.599998474121094
21,308475.0,6807450.0,82.0999984741211,32.099998474121094
22,308400.0,6807525.0,82.5,32.5
23,308400.0,6807600.0,83.30000305175781,33.30000305175781
24,308325.0,6807675.0,84.0,34.0
25,308250.0,6807675.0,84.0999984741211,34.099998474121094
26,308175.0,6807675.0,84.4000015258789,34.400001525878906
27,308100.0,6807750.0,85.0999984741211,35.099998474121094
28,308025.0,6807750.0,87.69999694824219,37.69999694824219
29,307950.0,6807750.0,88.0999984741211,38.099998474121094
30,307875.0,6807750.0,88.30000305175781,38.30000305175781
31,307800.0,6807750.0,90.19999694824219,40.19999694824219
32,307725.0,6807750.0,92.30000305175781,42.30000305175781
33,307650.0,6807825.0,92.0999984741211,42.099998474121094
34,307575.0,6807900.0,92.30000305175781,42.30000305175781
35,307650.0,6807975.0,95.0,45.0
36,307725.0,6808050.0,98.5,48.5
37,307725.0,6808125.0,99.69999694824219,49.69999694824219
38,307800.0,6808200.0,100.5,50.5
39,307848.8321883808,6808248.832188381,101.7827045367252,51.78270453672521
40,306007.4242412638,6808810.018206366,106.53224757624814,56.532247576248146
41,305338.1353108237,6809088.080029776,112.26733760408933,62.26733760408934
42,305667.5024725484,6808617.502472549,99.1018762398889,49.101876239888895
43,305977.3692042817,6808174.785812753,106.48585811346584,56.48585811346584
44,306560.3339111932,6807297.625684011,110.49293975531982,60.49293975531982
45,306948.5084865228,6806898.508486521,96.74766970461845,46.74766970461844
46,306953.7753835057,6806893.093115973,96.84429088663087,46.84429088663087
47,307050.0,6806794.229241912,93.96669540950556,43.966695409505554
48,307264.6656417341,6806573.675731358,107.85259470495666,57.852594704956665
49,300525.0,6807450.0,117.69999694824219,67.69999694824219
50,300600.0,6807450.0,117.9000015258789,67.9000015258789
51,300675.0,6807375.0,117.5999984741211,67.5999984741211
52,300750.0,6807375.0,117.19999694824219,67.19999694824219
53,300825.0,6807300.0,117.19999694824219,67.19999694824219
54,300900.0,6807225.0,116.80000305175781,66.80000305175781
55,300900.0,6807150.0,116.5999984741211,66.5999984741211
56,300975.0,6807150.0,116.5999984741211,66.5999984741211
57,301050.0,6807150.0,115.9000015258789,65.9000015258789
58,301125.0,6807150.0,115.5,65.5
59,301200.0,6807075.0,115.30000305175781,65.30000305175781
60,301275.0,6807075.0,115.19999694824219,65.19999694824219
61,301350.0,6807075.0,115.0999984741211,65.0999984741211
62,301425.0,6807075.0,114.69999694824219,64.69999694824219
63,301500.0,6807075.0,114.5,64.5
64,301575.0,6807075.0,114.0,64.0
65,301650.0,6807075.0,113.80000305175781,63.80000305175781
66,301725.0,6807000.0,113.5999984741211,63.599998474121094
67,301800.0,6807000.0,113.0,63.0
68,301875.0,6807000.0,112.9000015258789,62.900001525878906
69,301950.0,6806925.0,112.9000015258789,62.900001525878906
70,302025.0,6806925.0,112.69999694824219,62.69999694824219
71,302100.0,6807000.0,111.9000015258789,61.900001525878906
72,302175.0,6807000.0,112.30000305175781,62.30000305175781
73,302250.0,6807000.0,111.80000305175781,61.80000305175781
74,302325.0,6807000.0,111.5999984741211,61.599998474121094
75,302400.0,6807000.0,111.30000305175781,61.30000305175781
76,302475.0,6807075.0,111.0999984741211,61.099998474121094
77,302550.0,6807000.0,110.5999984741211,60.599998474121094
78,302625.0,6807075.0,110.5999984741211,60.599998474121094
79,302700.0,6807075.0,110.30000305175781,60.30000305175781
80,302775.0,6807150.0,109.80000305175781,59.80000305175781
81,302850.0,6807150.0,109.0,59.0
82,302925.0,6807150.0,108.30000305175781,58.30000305175781
83,303000.0,6807225.0,108.0,58.0
84,303075.0,6807225.0,108.30000305175781,58.30000305175781
85,303150.0,6807225.0,108.5,58.5
86,303225.0,6807300.0,108.30000305175781,58.30000305175781
87,303300.0,6807300.0,107.9000015258789,57.900001525878906
88,303375.0,6807375.0,107.30000305175781,57.30000305175781
89,303450.0,6807450.0,107.0999984741211,57.099998474121094
90,303525.0,6807525.0,106.9000015258789,56.900001525878906
91,303600.0,6807525.0,106.69999694824219,56.69999694824219
92,303675.0,6807600.0,106.9000015258789,56.900001525878906
93,303750.0,6807600.0,106.19999694824219,56.19999694824219
94,303825.0,6807675.0,106.0,56.0
95,303825.0,6807750.0,103.80000305175781,53.80000305175781
96,303900.0,6807750.0,105.69999694824219,55.69999694824219
97,303975.0,6807825.0,105.0,55.0
98,304050.0,6807825.0,104.19999694824219,54.19999694824219
99,304125.0,6807900.0,104.69999694824219,54.69999694824219
100,304200.0,6807900.0,104.0999984741211,54.099998474121094
101,304275.0,6807900.0,103.80000305175781,53.80000305175781
102,304275.0,6807975.0,103.69999694824219,53.69999694824219
103,304350.0,6808050.0,103.80000305175781,53.80000305175781
104,304425.0,6808125.0,103.4000015258789,53.400001525878906
105,304500.0,6808200.0,103.19999694824219,53.19999694824219
106,304500.0,6808275.0,103.0999984741211,53.099998474121094
107,304575.0,6808350.0,102.80000305175781,52.80000305175781
108,304650.0,6808425.0,102.5999984741211,52.599998474121094
109,304725.0,6808500.0,102.19999694824219,52.19999694824219
110,304725.0,6808575.0,102.5,52.5
111,304650.0,6808650.0,102.5,52.5
112,304575.0,6808650.0,103.30000305175781,53.30000305175781
113,304500.0,6808725.0,103.5999984741211,53.599998474121094
114,304425.0,6808800.0,104.30000305175781,54.30000305175781
115,304350.0,6808875.0,104.5999984741211,54.599998474121094
116,304275.0,6808875.0,105.0,55.0
117,304200.0,6808875.0,105.19999694824219,55.19999694824219
118,304125.0,6808950.0,105.5,55.5
119,304050.0,6809025.0,105.9000015258789,55.900001525878906
120,303975.0,6809100.0,106.5,56.5
121,303900.0,6809175.0,106.80000305175781,56.80000305175781
122,303825.0,6809175.0,107.0999984741211,57.099998474121094
123,303750.0,6809175.0,107.69999694824219,57.69999694824219
124,303675.0,6809175.0,108.19999694824219,58.19999694824219
125,303600.0,6809175.0,108.30000305175781,58.30000305175781
126,303525.0,6809175.0,108.69999694824219,58.69999694824219
127,303450.0,6809175.0,109.19999694824219,59.19999694824219
128,303375.0,6809175.0,109.80000305175781,59.80000305175781
129,303300.0,6809175.0,110.5,60.5
130,303225.0,6809175.0,111.69999694824219,61.69999694824219
131,303150.0,6809175.0,111.4000015258789,61.400001525878906
132,303075.0,6809175.0,111.69999694824219,61.69999694824219
133,303000.0,6809175.0,111.80000305175781,61.80000305175781
134,302925.0,6809175.0,112.0999984741211,62.099998474121094
135,302850.0,6809250.0,112.5,62.5
136,302775.0,6809250.0,112.80000305175781,62.80000305175781
137,302700.0,6809325.0,113.80000305175781,63.80000305175781
138,302625.0,6809325.0,114.5,64.5
139,302550.0,6809325.0,115.9000015258789,65.9000015258789
140,302475.0,6809400.0,115.69999694824219,65.69999694824219
141,302400.0,6809400.0,115.69999694824219,65.69999694824219
142,302325.0,6809400.0,116.9000015258789,66.9000015258789
143,302250.0,6809400.0,117.19999694824219,67.19999694824219
144,302175.0,6809400.0,117.19999694824219,67.19999694824219
145,302100.0,6809400.0,117.4000015258789,67.4000015258789
146,302025.0,6809400.0,118.5,68.5
147,301950.0,6809400.0,117.69999694824219,67.69999694824219
148,301875.0,6809400.0,119.0,69.0
149,301800.0,6809400.0,119.0,69.0
150,301725.0,6809400.0,119.9000015258789,69.9000015258789
151,301650.0,6809400.0,119.5,69.5
152,301575.0,6809400.0,119.69999694824219,69.69999694824219
153,301500.0,6809400.0,121.19999694824219,71.19999694824219
154,301425.0,6809400.0,121.19999694824219,71.19999694824219
155,301350.0,6809400.0,121.0,71.0
156,301275.0,6809400.0,121.5999984741211,71.5999984741211
157,301200.0,6809475.0,122.19999694824219,72.19999694824219
158,301125.0,6809475.0,122.5999984741211,72.5999984741211
159,301050.0,6809475.0,123.0999984741211,73.0999984741211
160,300975.0,6809475.0,123.5,73.5
161,300900.0,6809475.0,123.80000305175781,73.80000305175781
162,300825.0,6809550.0,125.0999984741211,75.0999984741211
163,300750.0,6809550.0,125.19999694824219,75.19999694824219
164,300675.0,6809550.0,125.4000015258789,75.4000015258789
165,300675.0,6809625.0,125.9000015258789,75.9000015258789
166,300600.0,6809700.0,126.69999694824219,76.69999694824219
167,300600.0,6809775.0,126.5,76.5
168,300600.0,6809850.0,126.80000305175781,76.80000305175781
169,300600.0,6809925.0,127.4000015258789,77.4000015258789
170,300600.0,6810000.0,129.1999969482422,79.19999694824219
171,300600.0,6810075.0,129.39999389648438,79.39999389648438
172,300525.0,6810150.0,129.6999969482422,79.69999694824219
173,300450.0,6810225.0,130.1999969482422,80.19999694824219
174,300375.0,6810300.0,131.89999389648438,81.89999389648438
175,300300.0,6810375.0,132.10000610351562,82.10000610351562
176,300225.0,6810450.0,132.0,82.0
177,300225.0,6810525.0,132.89999389648438,82.89999389648438
178,300150.0,6810600.0,133.10000610351562,83.10000610351562
179,300075.0,6810675.0,134.0,84.0
180,300075.0,6810750.0,135.10000610351562,85.10000610351562
181,300075.0,6810818.512256155,135.19134741507617,85.19134741507615
182,300500.5761443801,6811055.53040417,148.70683961024548,98.70683961024548
183,301136.9313904894,6811040.564015061,165.94863110663002,115.94863110663002
184,301399.107263334,6811034.435366046,154.889106915509,104.889106915509
185,300685.1361396705,6811421.885767606,168.93247197081178,118.93247197081176
186,298609.8994098278,6812267.904018848,187.92927232026454,137.92927232026454
187,297825.0,6812417.880722358,174.29073089839267,124.29073089839265
188,296909.4699018982,6812592.818025608,185.9620865244524,135.9620865244524
189,296432.6937126754,6812667.54565772,179.84415419589342,129.84415419589342
190,296325.0,6812667.194675769,176.17511309539387,126.17511309539387
191,295396.9521457159,6812664.170097645,177.75847331426297,127.75847331426296
192,294832.5711068436,6812542.428893156,164.1693014971816,114.16930149718159
193,294597.7789928488,6812491.782480904,185.02177247519157,135.02177247519157
194,294156.6752768531,6812283.307239666,180.34362416830479,130.34362416830479
195,293824.8068538036,6811915.949360412,180.9317478770742,130.9317478770742
196,293853.4483143992,6811875.0,179.57241930769726,129.57241930769726
197,293959.8467034416,6811722.879755798,185.4378225322307,135.4378225322307
198,294111.376895669,6811566.85147317,192.7393979519997,142.7393979519997
