variant_id,variant_label,solver,mesh_mode,component,unit,time_index,elapsed_seconds,time_label,value,source
bouss_mod_tri,Boussinesq annual moderate on committed triangular mesh,boussinesq,mesh_input,drainage_total_m3_s,m3/s,5,13046400.0,151.0 d,1.4725399834958355e-09,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\ex12_demo_mod_bouss\results_simulations\flow_main__boussinesq\_boussinesq_state_history.npz
bouss_mod_tri,Boussinesq annual moderate on committed triangular mesh,boussinesq,mesh_input,drainage_total_m3_s,m3/s,6,15638400.0,181.0 d,1.173857991574323e-09,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\ex12_demo_mod_bouss\results_simulations\flow_main__boussinesq\_boussinesq_state_history.npz
bouss_mod_tri,Boussinesq annual moderate on committed triangular mesh,boussinesq,mesh_input,drainage_total_m3_s,m3/s,7,18316800.0,212.0 d,4.15590458828774e-10,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\ex12_demo_mod_bouss\results_simulations\flow_main__boussinesq\_boussinesq_state_history.npz
bouss_mod_tri,Boussinesq annual moderate on committed triangular mesh,boussinesq,mesh_input,drainage_total_m3_s,m3/s,8,20995200.0,243.0 d,2.66130021771005e-10,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\ex12_demo_mod_bouss\results_simulations\flow_main__boussinesq\_boussinesq_state_history.npz
bouss_mod_tri,Boussinesq annual moderate on committed triangular mesh,boussinesq,mesh_input,drainage_total_m3_s,m3/s,9,23587200.0,273.0 d,6.51699069607048e-10,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\ex12_demo_mod_bouss\results_simulations\flow_main__boussinesq\_boussinesq_state_history.npz
bouss_mod_tri,Boussinesq annual moderate on committed triangular mesh,boussinesq,mesh_input,drainage_total_m3_s,m3/s,10,26265600.0,304.0 d,5.196479082769658e-10,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\ex12_demo_mod_bouss\results_simulations\flow_main__boussinesq\_boussinesq_state_history.npz
bouss_mod_tri,Boussinesq annual moderate on committed triangular mesh,boussinesq,mesh_input,drainage_total_m3_s,m3/s,11,28857600.0,334.0 d,2.2946373405829946e-10,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\ex12_demo_mod_bouss\results_simulations\flow_main__boussinesq\_boussinesq_state_history.npz
bouss_mod_tri,Boussinesq annual moderate on committed triangular mesh,boussinesq,mesh_input,drainage_total_m3_s,m3/s,12,31536000.0,365.0 d,3.604287300618125e-10,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\ex12_demo_mod_bouss\results_simulations\flow_main__boussinesq\_boussinesq_state_history.npz
bouss_mod_tri,Boussinesq annual moderate on committed triangular mesh,boussinesq,mesh_input,recharge_total_m3_s,m3/s,0,0.0,0.0 d,0.0,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\ex12_demo_mod_bouss\results_simulations\flow_main__boussinesq\_boussinesq_state_history.npz
bouss_mod_tri,Boussinesq annual moderate on committed triangular mesh,boussinesq,mesh_input,recharge_total_m3_s,m3/s,1,2678400.0,31.0 d,0.09711769400490655,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\ex12_demo_mod_bouss\results_simulations\flow_main__boussinesq\_boussinesq_state_history.npz
bouss_mod_tri,Boussinesq annual moderate on committed triangular mesh,boussinesq,mesh_input,recharge_total_m3_s,m3/s,2,5097600.0,59.0 d,0.1893055558268229,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\ex12_demo_mod_bouss\results_simulations\flow_main__boussinesq\_boussinesq_state_history.npz
bouss_mod_tri,Boussinesq annual moderate on committed triangular mesh,boussinesq,mesh_input,recharge_total_m3_s,m3/s,3,7776000.0,90.0 d,0.15972656272888183,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\ex12_demo_mod_bouss\results_simulations\flow_main__boussinesq\_boussinesq_state_history.npz
bouss_mod_tri,Boussinesq annual moderate on committed triangular mesh,boussinesq,mesh_input,recharge_total_m3_s,m3/s,4,10368000.0,120.0 d,0.12423177101135253,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\ex12_demo_mod_bouss\results_simulations\flow_main__boussinesq\_boussinesq_state_history.npz
bouss_mod_tri,Boussinesq annual moderate on committed triangular mesh,boussinesq,mesh_input,recharge_total_m3_s,m3/s,5,13046400.0,151.0 d,0.08873697929382324,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\ex12_demo_mod_bouss\results_simulations\flow_main__boussinesq\_boussinesq_state_history.npz
bouss_mod_tri,Boussinesq annual moderate on committed triangular mesh,boussinesq,mesh_input,recharge_total_m3_s,m3/s,6,15638400.0,181.0 d,0.047326388956705726,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\ex12_demo_mod_bouss\results_simulations\flow_main__boussinesq\_boussinesq_state_history.npz
bouss_mod_tri,Boussinesq annual moderate on committed triangular mesh,boussinesq,mesh_input,recharge_total_m3_s,m3/s,7,18316800.0,212.0 d,0.011831597239176431,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\ex12_demo_mod_bouss\results_simulations\flow_main__boussinesq\_boussinesq_state_history.npz
