date_obs_elab,resultat_obs_elab,grandeur_hydro_elab,libelle_qualification,specific_discharge
1971-01-01,0.032,QmnJ,Bonne,0.0026622296173044926
1971-01-02,0.034,QmnJ,Bonne,0.0028286189683860235
1971-01-03,0.038,QmnJ,Bonne,0.003161397670549085
1971-01-04,0.036,QmnJ,Bonne,0.002995008319467554
1971-01-05,0.033,QmnJ,Bonne,0.0027454242928452582
1971-01-06,0.033,QmnJ,Bonne,0.0027454242928452582
1971-01-07,0.039,QmnJ,Bonne,0.0032445923460898505
1971-01-08,0.037,QmnJ,Bonne,0.0030782029950083196
1971-01-09,0.036,QmnJ,Bonne,0.002995008319467554
1971-01-10,0.033,QmnJ,Bonne,0.0027454242928452582
1971-01-11,0.032,QmnJ,Bonne,0.0026622296173044926
1971-01-12,0.034,QmnJ,Bonne,0.0028286189683860235
1971-01-13,0.037,QmnJ,Bonne,0.0030782029950083196
1971-01-14,0.037,QmnJ,Bonne,0.0030782029950083196
1971-01-15,0.035,QmnJ,Bonne,0.002911813643926789
1971-01-16,0.033,QmnJ,Bonne,0.0027454242928452582
1971-01-17,0.04,QmnJ,Bonne,0.0033277870216306157
1971-01-18,0.038,QmnJ,Bonne,0.003161397670549085
1971-01-19,0.051,QmnJ,Bonne,0.004242928452579035
1971-01-20,0.086,QmnJ,Bonne,0.007154742096505824
1971-01-21,0.151,QmnJ,Bonne,0.012562396006655574
1971-01-22,0.093,QmnJ,Bonne,0.007737104825291182
1971-01-23,0.268,QmnJ,Bonne,0.02229617304492513
1971-01-24,0.197,QmnJ,Bonne,0.016389351081530782
1971-01-25,0.301,QmnJ,Bonne,0.025041597337770383
1971-01-26,0.561,QmnJ,Bonne,0.04667221297836939
1971-01-27,0.319,QmnJ,Bonne,0.026539101497504162
1971-01-28,0.227,QmnJ,Bonne,0.018885191347753745
1971-01-29,0.227,QmnJ,Bonne,0.018885191347753745
1971-01-30,0.317,QmnJ,Bonne,0.02637271214642263
1971-01-31,0.199,QmnJ,Bonne,0.016555740432612313
1971-02-01,0.172,QmnJ,Bonne,0.014309484193011647
1971-02-02,0.155,QmnJ,Bonne,0.012895174708818636
1971-02-03,0.145,QmnJ,Bonne,0.012063227953410981
1971-02-04,0.145,QmnJ,Bonne,0.012063227953410981
1971-02-05,0.142,QmnJ,Bonne,0.011813643926788684
1971-02-06,0.132,QmnJ,Bonne,0.010981697171381033
1971-02-07,0.123,QmnJ,Bonne,0.010232945091514144
1971-02-08,0.116,QmnJ,Bonne,0.009650582362728786
1971-02-09,0.116,QmnJ,Bonne,0.009650582362728786
1971-02-10,0.108,QmnJ,Bonne,0.008985024958402662
1971-02-11,0.106,QmnJ,Bonne,0.008818635607321131
1971-02-12,0.106,QmnJ,Bonne,0.008818635607321131
1971-02-13,0.114,QmnJ,Bonne,0.009484193011647254
1971-02-14,0.104,QmnJ,Bonne,0.008652246256239601
1971-02-15,0.35,QmnJ,Bonne,0.029118136439267885
1971-02-16,0.224,QmnJ,Bonne,0.01863560732113145
1971-02-17,0.143,QmnJ,Bonne,0.01189683860232945
1971-02-18,0.142,QmnJ,Bonne,0.011813643926788684
1971-02-19,0.158,QmnJ,Bonne,0.013144758735440932
1971-02-20,0.144,QmnJ,Bonne,0.011980033277870216
1971-02-21,0.136,QmnJ,Bonne,0.011314475873544094
1971-02-22,0.127,QmnJ,Bonne,0.010565723793677205
1971-02-23,0.121,QmnJ,Bonne,0.010066555740432612
1971-02-24,0.118,QmnJ,Bonne,0.009816971713810315
1971-02-25,0.116,QmnJ,Bonne,0.009650582362728786
1971-02-26,0.116,QmnJ,Bonne,0.009650582362728786
1971-02-27,0.113,QmnJ,Bonne,0.00940099833610649
1971-02-28,0.109,QmnJ,Bonne,0.009068219633943428
1971-03-01,0.098,QmnJ,Bonne,0.008153078202995009
1971-03-02,0.124,QmnJ,Bonne,0.01031613976705491
1971-03-03,0.109,QmnJ,Bonne,0.009068219633943428
1971-03-04,0.098,QmnJ,Bonne,0.008153078202995009
1971-03-05,0.092,QmnJ,Bonne,0.007653910149750416
1971-03-06,0.096,QmnJ,Bonne,0.007986688851913478
1971-03-07,0.09,QmnJ,Bonne,0.0074875207986688855
1971-03-08,0.088,QmnJ,Bonne,0.007321131447587354
1971-03-09,0.088,QmnJ,Bonne,0.007321131447587354
1971-03-10,0.088,QmnJ,Bonne,0.007321131447587354
1971-03-11,0.088,QmnJ,Bonne,0.007321131447587354
1971-03-12,0.086,QmnJ,Bonne,0.007154742096505824
1971-03-13,0.08,QmnJ,Bonne,0.0066555740432612314
1971-03-14,0.103,QmnJ,Bonne,0.008569051580698836
1971-03-15,0.098,QmnJ,Bonne,0.008153078202995009
1971-03-16,0.109,QmnJ,Bonne,0.009068219633943428
1971-03-17,0.17,QmnJ,Bonne,0.014143094841930118
1971-03-18,0.293,QmnJ,Bonne,0.024376039933444258
1971-03-19,0.165,QmnJ,Bonne,0.013727121464226291
1971-03-20,0.139,QmnJ,Bonne,0.011564059900166391
1971-03-21,0.146,QmnJ,Bonne,0.012146422628951747
1971-03-22,0.136,QmnJ,Bonne,0.011314475873544094
1971-03-23,0.115,QmnJ,Bonne,0.00956738768718802
1971-03-24,0.106,QmnJ,Bonne,0.008818635607321131
1971-03-25,0.106,QmnJ,Bonne,0.008818635607321131
1971-03-26,0.124,QmnJ,Bonne,0.01031613976705491
1971-03-27,0.115,QmnJ,Bonne,0.00956738768718802
1971-03-28,0.109,QmnJ,Bonne,0.009068219633943428
1971-03-29,0.106,QmnJ,Bonne,0.008818635607321131
1971-03-30,0.106,QmnJ,Bonne,0.008818635607321131
1971-03-31,0.098,QmnJ,Bonne,0.008153078202995009
1971-04-01,0.096,QmnJ,Bonne,0.007986688851913478
1971-04-02,0.104,QmnJ,Bonne,0.008652246256239601
1971-04-03,0.106,QmnJ,Bonne,0.008818635607321131
1971-04-04,0.101,QmnJ,Bonne,0.008402662229617306
1971-04-05,0.096,QmnJ,Bonne,0.007986688851913478
1971-04-06,0.096,QmnJ,Bonne,0.007986688851913478
1971-04-07,0.096,QmnJ,Bonne,0.007986688851913478
1971-04-08,0.12,QmnJ,Bonne,0.009983361064891847
1971-04-09,0.14,QmnJ,Bonne,0.011647254575707157
1971-04-10,0.112,QmnJ,Bonne,0.009317803660565725
1971-04-11,0.101,QmnJ,Bonne,0.008402662229617306
1971-04-12,0.096,QmnJ,Bonne,0.007986688851913478
1971-04-13,0.094,QmnJ,Bonne,0.007820299500831946
1971-04-14,0.088,QmnJ,Bonne,0.007321131447587354
1971-04-15,0.088,QmnJ,Bonne,0.007321131447587354
1971-04-16,0.088,QmnJ,Bonne,0.007321131447587354
1971-04-17,0.086,QmnJ,Bonne,0.007154742096505824
1971-04-18,0.079,QmnJ,Bonne,0.006572379367720466
1971-04-19,0.072,QmnJ,Bonne,0.005990016638935108
1971-04-20,0.072,QmnJ,Bonne,0.005990016638935108
1971-04-21,0.07,QmnJ,Bonne,0.005823627287853578
1971-04-22,0.072,QmnJ,Bonne,0.005990016638935108
1971-04-23,0.146,QmnJ,Bonne,0.012146422628951747
1971-04-24,0.103,QmnJ,Bonne,0.008569051580698836
1971-04-25,0.084,QmnJ,Bonne,0.006988352745424293
1971-04-26,0.168,QmnJ,Bonne,0.013976705490848586
1971-04-27,0.11,QmnJ,Bonne,0.009151414309484194
1971-04-28,0.082,QmnJ,Bonne,0.006821963394342763
1971-04-29,0.076,QmnJ,Bonne,0.00632279534109817
1971-04-30,0.07,QmnJ,Bonne,0.005823627287853578
1971-05-01,0.064,QmnJ,Bonne,0.005324459234608985
1971-05-02,0.054,QmnJ,Bonne,0.004492512479201331
1971-05-03,0.048,QmnJ,Bonne,0.003993344425956739
1971-05-04,0.048,QmnJ,Bonne,0.003993344425956739
1971-05-05,0.046,QmnJ,Bonne,0.003826955074875208
1971-05-06,0.065,QmnJ,Bonne,0.005407653910149751
1971-05-07,0.054,QmnJ,Bonne,0.004492512479201331
1971-05-08,0.048,QmnJ,Bonne,0.003993344425956739
1971-05-09,0.039,QmnJ,Bonne,0.0032445923460898505
1971-05-10,0.035,QmnJ,Bonne,0.002911813643926789
1971-05-11,0.031,QmnJ,Bonne,0.0025790349417637273
1971-05-12,0.031,QmnJ,Bonne,0.0025790349417637273
1971-05-13,0.03,QmnJ,Bonne,0.0024958402662229617
1971-05-14,0.034,QmnJ,Bonne,0.0028286189683860235
1971-05-15,0.037,QmnJ,Bonne,0.0030782029950083196
1971-05-16,0.047,QmnJ,Bonne,0.003910149750415973
1971-05-17,0.037,QmnJ,Bonne,0.0030782029950083196
1971-05-18,0.032,QmnJ,Bonne,0.0026622296173044926
1971-05-19,0.032,QmnJ,Bonne,0.0026622296173044926
1971-05-20,0.038,QmnJ,Bonne,0.003161397670549085
1971-05-21,0.059,QmnJ,Bonne,0.004908485856905158
1971-05-22,0.04,QmnJ,Bonne,0.0033277870216306157
1971-05-23,0.033,QmnJ,Bonne,0.0027454242928452582
1971-05-24,0.036,QmnJ,Bonne,0.002995008319467554
1971-05-25,0.043,QmnJ,Bonne,0.003577371048252912
1971-05-26,0.042,QmnJ,Bonne,0.0034941763727121466
1971-05-27,0.039,QmnJ,Bonne,0.0032445923460898505
