date_obs_elab,resultat_obs_elab,grandeur_hydro_elab,libelle_qualification,specific_discharge
2019-01-01,0.268,QmnJ,Bonne,0.01729032258064516
2019-01-02,0.255,QmnJ,Bonne,0.016451612903225808
2019-01-03,0.247,QmnJ,Bonne,0.015935483870967743
2019-01-04,0.24,QmnJ,Bonne,0.015483870967741935
2019-01-05,0.233,QmnJ,Bonne,0.01503225806451613
2019-01-06,0.226,QmnJ,Bonne,0.014580645161290323
2019-01-07,0.219,QmnJ,Bonne,0.014129032258064516
2019-01-08,0.212,QmnJ,Bonne,0.013677419354838708
2019-01-09,0.205,QmnJ,Bonne,0.013225806451612903
2019-01-10,0.199,QmnJ,Bonne,0.012838709677419355
2019-01-11,0.199,QmnJ,Bonne,0.012838709677419355
2019-01-12,0.197,QmnJ,Bonne,0.01270967741935484
2019-01-13,0.192,QmnJ,Bonne,0.012387096774193548
2019-01-14,0.186,QmnJ,Bonne,0.012
2019-01-15,0.181,QmnJ,Bonne,0.01167741935483871
2019-01-16,0.181,QmnJ,Bonne,0.01167741935483871
2019-01-17,0.182,QmnJ,Bonne,0.011741935483870968
2019-01-18,0.177,QmnJ,Bonne,0.011419354838709676
2019-01-19,0.185,QmnJ,Bonne,0.011935483870967743
2019-01-20,0.17,QmnJ,Bonne,0.010967741935483872
2019-01-21,0.163,QmnJ,Bonne,0.010516129032258065
2019-01-22,0.187,QmnJ,Bonne,0.012064516129032258
2019-01-23,0.169,QmnJ,Bonne,0.010903225806451613
2019-01-24,0.165,QmnJ,Bonne,0.01064516129032258
2019-01-25,0.162,QmnJ,Bonne,0.010451612903225807
2019-01-26,0.163,QmnJ,Bonne,0.010516129032258065
2019-01-27,0.179,QmnJ,Bonne,0.011548387096774193
2019-01-28,0.175,QmnJ,Bonne,0.01129032258064516
2019-01-29,0.301,QmnJ,Bonne,0.019419354838709678
2019-01-30,0.218,QmnJ,Bonne,0.014064516129032258
2019-01-31,0.195,QmnJ,Bonne,0.012580645161290323
2019-02-01,0.21,QmnJ,Bonne,0.013548387096774193
2019-02-02,0.176,QmnJ,Bonne,0.011354838709677418
2019-02-03,0.168,QmnJ,Bonne,0.010838709677419355
2019-02-04,0.179,QmnJ,Bonne,0.011548387096774193
2019-02-05,0.174,QmnJ,Bonne,0.011225806451612903
2019-02-06,0.359,QmnJ,Bonne,0.023161290322580644
2019-02-07,0.354,QmnJ,Bonne,0.022838709677419352
2019-02-08,0.394,QmnJ,Bonne,0.02541935483870968
2019-02-09,0.494,QmnJ,Bonne,0.031870967741935485
2019-02-10,0.926,QmnJ,Bonne,0.059741935483870974
2019-02-11,0.621,QmnJ,Bonne,0.04006451612903226
2019-02-12,0.582,QmnJ,Bonne,0.03754838709677419
2019-02-13,0.553,QmnJ,Bonne,0.035677419354838716
2019-02-14,0.524,QmnJ,Bonne,0.03380645161290323
2019-02-15,0.482,QmnJ,Bonne,0.031096774193548386
2019-02-16,0.441,QmnJ,Bonne,0.028451612903225808
2019-02-17,0.411,QmnJ,Bonne,0.026516129032258064
2019-02-18,0.388,QmnJ,Bonne,0.02503225806451613
2019-02-19,0.366,QmnJ,Bonne,0.02361290322580645
2019-02-20,0.345,QmnJ,Bonne,0.02225806451612903
2019-02-21,0.324,QmnJ,Bonne,0.020903225806451615
2019-02-22,0.304,QmnJ,Bonne,0.01961290322580645
2019-02-23,0.287,QmnJ,Bonne,0.018516129032258064
2019-02-24,0.278,QmnJ,Bonne,0.017935483870967744
2019-02-25,0.27,QmnJ,Bonne,0.01741935483870968
2019-02-26,0.261,QmnJ,Bonne,0.016838709677419357
2019-02-27,0.253,QmnJ,Bonne,0.016322580645161292
2019-02-28,0.246,QmnJ,Bonne,0.015870967741935485
2019-03-01,0.243,QmnJ,Bonne,0.01567741935483871
2019-03-02,0.295,QmnJ,Bonne,0.01903225806451613
2019-03-03,0.317,QmnJ,Bonne,0.020451612903225808
2019-03-04,0.417,QmnJ,Bonne,0.026903225806451613
2019-03-05,0.329,QmnJ,Bonne,0.021225806451612903
2019-03-06,0.388,QmnJ,Bonne,0.02503225806451613
2019-03-07,0.281,QmnJ,Bonne,0.018129032258064517
2019-03-08,0.262,QmnJ,Bonne,0.016903225806451615
2019-03-09,0.263,QmnJ,Bonne,0.016967741935483872
2019-03-10,0.276,QmnJ,Bonne,0.017806451612903226
2019-03-11,0.25,QmnJ,Bonne,0.016129032258064516
2019-03-12,0.273,QmnJ,Bonne,0.017612903225806453
2019-03-13,0.258,QmnJ,Bonne,0.01664516129032258
2019-03-14,0.244,QmnJ,Bonne,0.015741935483870966
2019-03-15,0.239,QmnJ,Bonne,0.015419354838709676
2019-03-16,0.236,QmnJ,Bonne,0.015225806451612903
2019-03-17,0.253,QmnJ,Bonne,0.016322580645161292
2019-03-18,0.234,QmnJ,Bonne,0.015096774193548388
2019-03-19,0.229,QmnJ,Bonne,0.014774193548387098
2019-03-20,0.22,QmnJ,Bonne,0.014193548387096775
2019-03-21,0.216,QmnJ,Bonne,0.013935483870967743
2019-03-22,0.212,QmnJ,Bonne,0.013677419354838708
2019-03-23,0.209,QmnJ,Bonne,0.013483870967741935
2019-03-24,0.205,QmnJ,Bonne,0.013225806451612903
