date_obs_elab,resultat_obs_elab,grandeur_hydro_elab,libelle_qualification,specific_discharge
2019-01-01,0.157,QmnJ,Bonne,0.02343283582089552
2019-01-02,0.15,QmnJ,Bonne,0.022388059701492536
2019-01-03,0.14,QmnJ,Bonne,0.020895522388059702
2019-01-04,0.136,QmnJ,Bonne,0.020298507462686566
2019-01-05,0.136,QmnJ,Bonne,0.020298507462686566
2019-01-06,0.132,QmnJ,Bonne,0.019701492537313434
2019-01-07,0.128,QmnJ,Bonne,0.0191044776119403
2019-01-08,0.123,QmnJ,Bonne,0.01835820895522388
2019-01-09,0.119,QmnJ,Bonne,0.017761194029850744
2019-01-10,0.116,QmnJ,Bonne,0.017313432835820895
2019-01-11,0.115,QmnJ,Bonne,0.017164179104477612
2019-01-12,0.114,QmnJ,Bonne,0.01701492537313433
2019-01-13,0.108,QmnJ,Bonne,0.016119402985074627
2019-01-14,0.101,QmnJ,Bonne,0.015074626865671643
2019-01-15,0.1,QmnJ,Bonne,0.014925373134328358
2019-01-16,0.099,QmnJ,Bonne,0.014776119402985075
2019-01-17,0.093,QmnJ,Bonne,0.013880597014925373
2019-01-18,0.097,QmnJ,Bonne,0.014477611940298507
2019-01-19,0.096,QmnJ,Bonne,0.014328358208955224
2019-01-20,0.087,QmnJ,Bonne,0.01298507462686567
2019-01-21,0.087,QmnJ,Bonne,0.01298507462686567
2019-01-22,0.1,QmnJ,Bonne,0.014925373134328358
2019-01-23,0.091,QmnJ,Bonne,0.013582089552238805
2019-01-24,0.086,QmnJ,Bonne,0.012835820895522387
2019-01-25,0.084,QmnJ,Bonne,0.01253731343283582
2019-01-26,0.083,QmnJ,Bonne,0.012388059701492538
2019-01-27,0.089,QmnJ,Bonne,0.013283582089552238
2019-01-28,0.087,QmnJ,Bonne,0.01298507462686567
2019-01-29,0.135,QmnJ,Bonne,0.020149253731343283
2019-01-30,0.104,QmnJ,Bonne,0.015522388059701492
2019-01-31,0.094,QmnJ,Bonne,0.014029850746268656
2019-02-01,0.1,QmnJ,Bonne,0.014925373134328358
2019-02-02,0.084,QmnJ,Bonne,0.01253731343283582
2019-02-03,0.081,QmnJ,Bonne,0.01208955223880597
2019-02-04,0.087,QmnJ,Bonne,0.01298507462686567
2019-02-05,0.082,QmnJ,Bonne,0.012238805970149255
2019-02-06,0.168,QmnJ,Bonne,0.02507462686567164
2019-02-07,0.149,QmnJ,Bonne,0.022238805970149253
2019-02-08,0.182,QmnJ,Bonne,0.02716417910447761
2019-02-09,0.234,QmnJ,Bonne,0.03492537313432836
2019-02-10,0.449,QmnJ,Bonne,0.06701492537313433
2019-02-11,0.328,QmnJ,Bonne,0.04895522388059702
2019-02-12,0.306,QmnJ,Bonne,0.04567164179104478
2019-02-13,0.281,QmnJ,Bonne,0.04194029850746269
2019-02-14,0.261,QmnJ,Bonne,0.038955223880597016
2019-02-15,0.243,QmnJ,Bonne,0.03626865671641791
2019-02-16,0.229,QmnJ,Bonne,0.03417910447761194
2019-02-17,0.214,QmnJ,Bonne,0.03194029850746268
2019-02-18,0.201,QmnJ,Bonne,0.030000000000000002
2019-02-19,0.184,QmnJ,Bonne,0.027462686567164177
2019-02-20,0.175,QmnJ,Bonne,0.026119402985074626
2019-02-21,0.162,QmnJ,Bonne,0.02417910447761194
2019-02-22,0.157,QmnJ,Bonne,0.02343283582089552
2019-02-23,0.151,QmnJ,Bonne,0.02253731343283582
2019-02-24,0.141,QmnJ,Bonne,0.02104477611940298
2019-02-25,0.138,QmnJ,Bonne,0.020597014925373136
2019-02-26,0.135,QmnJ,Bonne,0.020149253731343283
2019-02-27,0.132,QmnJ,Bonne,0.019701492537313434
2019-02-28,0.126,QmnJ,Bonne,0.018805970149253733
2019-03-01,0.121,QmnJ,Bonne,0.018059701492537314
2019-03-02,0.137,QmnJ,Bonne,0.020447761194029853
2019-03-03,0.143,QmnJ,Bonne,0.02134328358208955
2019-03-04,0.169,QmnJ,Bonne,0.025223880597014928
2019-03-05,0.144,QmnJ,Bonne,0.021492537313432834
2019-03-06,0.161,QmnJ,Bonne,0.024029850746268656
2019-03-07,0.127,QmnJ,Bonne,0.018955223880597016
2019-03-08,0.124,QmnJ,Bonne,0.018507462686567163
2019-03-09,0.125,QmnJ,Bonne,0.018656716417910446
2019-03-10,0.124,QmnJ,Bonne,0.018507462686567163
2019-03-11,0.114,QmnJ,Bonne,0.01701492537313433
2019-03-12,0.124,QmnJ,Bonne,0.018507462686567163
2019-03-13,0.117,QmnJ,Bonne,0.01746268656716418
2019-03-14,0.116,QmnJ,Bonne,0.017313432835820895
2019-03-15,0.114,QmnJ,Bonne,0.01701492537313433
2019-03-16,0.113,QmnJ,Bonne,0.016865671641791046
