cell_id,geom_type,n0,n1,n2,n3,centroid_x,centroid_y,area_m2,z_top_centroid,z_top_mean,z_bottom_centroid,z_bottom_mean,geology_code,geology_key,hydraulic_conductivity_m_s,storage_coefficient
0,triangle,43,826,122,,412065.91292253096,6898730.477370338,45122.44384765625,115.27360505307222,113.96810503820463,65.27360505307222,63.968105038204634,98,2021,4.30886938006e-06,
1,triangle,587,1152,71,,406690.84881302016,6908392.802601057,45414.9609375,45.96831442408199,41.6597274590176,-4.0316855759180115,-8.340272540982397,39,1061,7.93700525984e-06,
2,triangle,779,1232,601,,411368.9806485656,6908034.9753704965,593177.9829101562,73.10991011583296,66.51625667425854,23.10991011583296,16.51625667425853,17,2101,3.76060309309e-06,
3,triangle,1008,1125,1108,,410911.8726112657,6901035.625451893,44261.59326171875,134.35624401333084,127.91471488915943,84.35624401333084,77.91471488915944,17,2101,3.76060309309e-06,
4,triangle,659,1060,498,,410999.31134622084,6905033.982671965,92183.09814453125,87.80217628944945,86.73881979062703,37.80217628944945,36.738819790627026,17,2101,3.76060309309e-06,
5,triangle,157,1119,158,,411121.95249518164,6902898.905482096,8657.2109375,76.21723290115492,79.44116630978887,26.217232901154915,29.441166309788866,17,2101,3.76060309309e-06,
6,triangle,159,1120,158,,411320.6166807737,6902935.820021864,9539.62451171875,76.15193767289614,80.32993961910655,26.151937672896135,30.32993961910655,17,2101,3.76060309309e-06,
7,triangle,466,1118,467,,407132.4955726375,6905032.990262483,12320.34326171875,74.20200673457107,70.83064090006995,24.20200673457108,20.83064090006995,17,2101,3.76060309309e-06,
8,triangle,273,1130,272,,410162.8116298502,6899527.486583489,12341.45068359375,132.54448672268074,130.85732613949668,82.54448672268074,80.85732613949669,17,2101,3.76060309309e-06,
9,triangle,122,1142,43,,411929.896723334,6898705.397934802,22385.9267578125,110.40701181948191,110.88258846178506,60.407011819481916,60.882588461785055,98,2021,4.30886938006e-06,
10,triangle,490,1294,1158,,412745.87813648494,6904727.393228789,57786.46044921875,91.8576504461777,95.51888989999735,41.85765044617771,45.51888989999734,17,2101,3.76060309309e-06,
11,triangle,530,1354,1104,,415820.9970133559,6901579.046738335,500903.6220703125,109.18408034844097,109.81210858734103,59.18408034844097,59.81210858734104,98,2021,4.210964685958214e-06,
