cell_id,geology_key,fraction
0,1421,1.0
1,1421,1.0
2,1421,1.0
3,1421,1.0
4,2101,1.0
5,2101,0.07142857142857142
5,1421,0.9285714285714286
6,1421,1.0
7,1421,1.0
8,1421,1.0
9,2101,1.0
10,2101,1.0
11,1421,1.0
12,1421,1.0
13,1421,1.0
14,2121,0.03571428571428571
14,2101,0.9642857142857143
15,2101,1.0
16,2101,1.0
17,1421,1.0
18,1421,1.0
19,1421,1.0
20,2101,1.0
21,1421,1.0
22,1421,1.0
23,1421,1.0
24,1421,1.0
25,2121,1.0
26,1421,1.0
27,2101,1.0
28,1421,1.0
29,1421,1.0
30,1421,1.0
31,1421,1.0
32,2101,1.0
33,1421,1.0
34,1421,1.0
35,1981,1.0
36,2101,1.0
37,1421,1.0
38,2121,0.07142857142857142
38,2101,0.9285714285714286
39,1421,1.0
40,1421,1.0
41,1421,1.0
42,1421,1.0
43,2121,1.0
44,2101,1.0
45,1421,1.0
46,1421,1.0
47,2101,1.0
48,1421,1.0
49,1421,1.0
50,1421,1.0
51,1421,1.0
52,1421,1.0
53,2101,1.0
54,2101,1.0
55,1421,1.0
56,1421,1.0
57,2101,0.07142857142857142
57,1961,0.9285714285714286
58,2121,1.0
59,1421,1.0
60,1421,1.0
61,2061,1.0
62,2121,1.0
63,1421,1.0
64,1421,1.0
65,2101,1.0
66,1421,1.0
67,2101,1.0
68,1421,1.0
69,1421,1.0
70,1421,1.0
71,1421,1.0
72,1421,1.0
73,2101,1.0
74,2101,1.0
75,2101,1.0
76,1421,1.0
77,2101,1.0
78,2101,0.9285714285714286
78,2041,0.07142857142857142
79,2121,1.0
80,1421,1.0
81,2121,1.0
82,2101,1.0
83,2061,1.0
84,2101,1.0
85,2101,1.0
86,1421,1.0
87,2121,0.9642857142857143
87,2101,0.03571428571428571
88,1421,1.0
89,1421,1.0
90,1421,1.0
91,2121,1.0
92,1421,1.0
93,1421,1.0
94,1421,1.0
95,1421,1.0
96,1421,1.0
97,2121,0.8928571428571429
97,2101,0.10714285714285714
98,2101,1.0
99,1421,1.0
100,2121,1.0
101,2121,0.6428571428571429
101,2101,0.35714285714285715
102,2101,1.0
103,2101,1.0
104,1421,1.0
105,2121,1.0
106,1421,1.0
107,1421,1.0
108,1421,1.0
109,2101,1.0
110,2101,1.0
111,1421,1.0
112,2101,1.0
113,1421,1.0
114,2101,1.0
115,1421,1.0
116,1421,1.0
117,2101,1.0
118,2121,1.0
119,1421,1.0
120,2121,1.0
121,1421,1.0
122,2101,1.0
123,2041,1.0
124,1421,1.0
125,2101,1.0
126,1421,1.0
127,1421,1.0
128,1421,1.0
129,2101,1.0
130,1421,1.0
131,1421,1.0
132,1421,1.0
133,2121,0.32142857142857145
133,2101,0.17857142857142858
133,1421,0.5
134,1421,1.0
135,1421,1.0
136,1421,1.0
137,2041,1.0
138,1421,1.0
139,1421,1.0
140,1421,1.0
141,1421,1.0
142,2101,1.0
143,1421,1.0
144,1421,1.0
145,1421,1.0
146,1421,1.0
147,2101,1.0
148,1421,1.0
149,1421,1.0
150,2101,1.0
151,1421,1.0
152,2101,0.5357142857142857
152,1981,0.4642857142857143
153,2101,0.8928571428571429
153,1421,0.10714285714285714
154,1421,1.0
155,1421,1.0
156,1421,1.0
157,1421,1.0
158,2101,1.0
159,2101,1.0
160,1981,1.0
161,1421,1.0
162,1421,1.0
163,1421,1.0
164,1421,1.0
165,1421,1.0
166,1421,1.0
167,1961,1.0
168,1421,1.0
169,1421,1.0
170,2101,1.0
171,2121,1.0
172,1421,1.0
173,2101,1.0
174,1421,1.0
175,2101,0.9642857142857143
175,2041,0.03571428571428571
176,1421,1.0
177,1421,1.0
178,1421,1.0
179,1421,1.0
180,1421,1.0
181,2101,0.03571428571428571
181,1421,0.9642857142857143
182,1421,1.0
183,1421,1.0
184,2101,1.0
185,1421,1.0
186,1421,1.0
187,1421,1.0
188,1421,1.0
189,2101,1.0
190,1421,1.0
191,2121,0.8571428571428571
191,2101,0.14285714285714285
192,1421,1.0
193,1421,1.0
194,1421,1.0
195,2101,1.0
196,1421,1.0
197,1421,1.0
198,1421,1.0
199,2101,1.0
200,1421,1.0
201,1421,1.0
202,2121,1.0
203,2121,1.0
204,2121,1.0
205,2101,0.07142857142857142
205,1421,0.9285714285714286
206,1421,1.0
207,2101,1.0
208,2101,1.0
209,1421,1.0
210,2101,0.9642857142857143
210,1421,0.03571428571428571
211,1421,1.0
212,1421,1.0
213,1421,1.0
214,1421,1.0
215,1421,1.0
216,2101,1.0
217,2101,1.0
218,1421,1.0
219,1421,1.0
220,1421,1.0
221,1421,1.0
222,1421,1.0
223,1421,1.0
224,2101,1.0
225,1421,1.0
226,1421,1.0
227,2121,1.0
228,2121,0.14285714285714285
228,2101,0.8571428571428571
229,1421,1.0
230,1421,1.0
231,1421,1.0
