id,x,y,crs,station_name,stream_name,stream_code,city,department,department_code,region,basin
J0014011,-1.172377777,48.441498509,EPSG:4326,Les Chevaux Morts,le Nançon,J0014000,LANDEAN,Ille-et-Vilaine,35,Bretagne,Loire-Bretagne
J3335411,-4.704827634,48.390377267,EPSG:4326,Le KERESCAR,,J3334000,PLOUMOGUER,Finistère,29,Bretagne,Loire-Bretagne
