solver,solver_label,runtime_backend,surface_interaction_model,elapsed_days,recharge_mm_day,total_overflow_m3_day,active_overflow_length_m,overflow_front_x_m,overflow_centroid_x_m,max_head_clearance_m
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,9.0,20.000000000000004,0.3965812758094366,90.0,385.0,333.6705190949239,-1.1343070983940775
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,10.0,20.000000000000004,0.5678961782534162,120.0,385.0,328.1102258583792,-1.0701689479033574
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,11.0,0.0,0.0,0.0,nan,nan,-1.1449951908586957
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,12.0,0.0,0.0,0.0,nan,nan,-1.1826020529011734
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,13.0,32.0,1.824024650534619,180.0,395.0,327.24009150673413,-0.9915404941731332
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,14.0,32.0,3.574527594752937,210.0,395.0,321.03166244789196,-0.8078018265023603
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,15.0,32.0,6.84599049391133,240.0,395.0,315.6579226020543,-0.6321720629999534
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,16.0,0.0,0.0,0.0,nan,nan,-0.7356391665782738
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,17.0,0.0,0.0,0.0,nan,nan,-0.8152630284551536
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,18.0,42.0,17.26053682586956,300.0,395.0,309.4305961249671,-0.5333237949972842
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,19.0,42.0,37.70280815648146,340.0,395.0,303.66490835692633,-0.31453380277527465
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,20.0,42.0,69.50162038408486,380.0,395.0,296.4348504873175,-0.1621758175425443
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,21.0,0.0,0.0,0.0,nan,nan,-0.2350272374343314
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,22.0,0.0,0.0,0.0,nan,nan,-0.3049928716597412
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,23.0,0.0,0.0,0.0,nan,nan,-0.36930296608240987
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,24.0,0.0,0.0,0.0,nan,nan,-0.4284923729711254
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,25.0,0.0,0.0,0.0,nan,nan,-0.48359834959779757
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,26.0,0.0,0.0,0.0,nan,nan,-0.5345158468946085
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,27.0,0.0,0.0,0.0,nan,nan,-0.5815048938196883
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,28.0,0.0,0.0,0.0,nan,nan,-0.6249407851958315
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,29.0,0.0,0.0,0.0,nan,nan,-0.6652093452706369
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,30.0,0.0,0.0,0.0,nan,nan,-0.7026671996913239
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,31.0,0.0,0.0,0.0,nan,nan,-0.7376300058721208
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,32.0,0.0,0.0,0.0,nan,nan,-0.7703721008901123
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,33.0,0.0,0.0,0.0,nan,nan,-0.8005853520118285
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,34.0,0.0,0.0,0.0,nan,nan,-0.828149125347446
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,35.0,0.0,0.0,0.0,nan,nan,-0.8541146819211578
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,36.0,0.0,0.0,0.0,nan,nan,-0.8786438255291724
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,37.0,0.0,0.0,0.0,nan,nan,-0.901872482305107
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,38.0,0.0,0.0,0.0,nan,nan,-0.9239261564083794
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,39.0,0.0,0.0,0.0,nan,nan,-0.9448545057065205
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,40.0,0.0,0.0,0.0,nan,nan,-0.9632873934044168
