solver,solver_label,runtime_backend,surface_interaction_model,wall_time_seconds,results_dir
boussinesq,Local dense runtime,local,regularized_partition,54.07921290001832,C:\codes\HydroModPy-GH\out\boussinesq_hillslope_overflow_multi_smoke_20260413\validation\run_multi_solver_case\boussinesq_hillsl_07d97bd987_8c3bb686
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,2.601903000031598,C:\codes\HydroModPy-GH\out\boussinesq_hillslope_overflow_multi_smoke_20260413\validation\run_multi_solver_case\boussinesq_hillsl_18833a8e1f_c6d7fd55
