solver,solver_label,onset_day,peak_drainage_flux_m3_day,peak_drainage_day,peak_total_outflow_m3_day,peak_total_outflow_day,max_clearance_m,results_dir,postprocess_dir
modflownwt,MODFLOW-NWT,30.0,0.007411913878740961,660.0,15.7084918738434,630.0,0.12950706481933594,C:\codes\HydroModPy-GH\out\sih_transient_year_plus_dry_20260413\validation\investigate_surfa_062b168c50\transient_modflownwt,C:\codes\HydroModPy-GH\out\sih_transient_year_plus_dry_20260413\validation\investigate_surfa_062b168c50\transient_modflownwt\results_simulations\hillslope_surface_transient_modflownwt\_postprocess
modflow6,MODFLOW 6,30.0,0.010084070234577136,30.0,15.87445529712618,30.0,0.161066162405902,C:\codes\HydroModPy-GH\out\sih_transient_year_plus_dry_20260413\validation\investigate_surfa_062b168c50\transient_modflow6,C:\codes\HydroModPy-GH\out\sih_transient_year_plus_dry_20260413\validation\investigate_surfa_062b168c50\transient_modflow6\results_simulations\hillslope_surface_transient_modflow6\_postprocess
boussinesq,Boussinesq,30.0,0.008732072456419075,30.0,85.98732656625772,180.0,-1.2205926864794492e-05,C:\codes\HydroModPy-GH\out\sih_transient_year_plus_dry_20260413\validation\investigate_surfa_062b168c50\hillslope_surface_baba065f89,C:\codes\HydroModPy-GH\out\sih_transient_year_plus_dry_20260413\validation\investigate_surfa_062b168c50\hillslope_surface_baba065f89\results_simulations\flow_validation__boussinesq\_postprocess
