scenario_id,scenario_label,solver_left,solver_right,pairwise_profile_rmse_m,pairwise_max_abs_error_m,pairwise_mean_abs_error_m
rch_05,Recharge 0.5 mm/day,modflownwt,modflow6,0.0031242638204080847,0.004140896041246123,0.002843302379248991
rch_05,Recharge 0.5 mm/day,modflownwt,boussinesq,0.07738031624497016,0.12290164563939676,0.06632973975380412
rch_05,Recharge 0.5 mm/day,modflow6,boussinesq,0.08045810283841488,0.12704254168064288,0.06914875588301136
rch_10,Recharge 1.0 mm/day,modflownwt,modflow6,0.0038682611080672904,0.00509439359539865,0.0035430563897505206
rch_10,Recharge 1.0 mm/day,modflownwt,boussinesq,0.07967707780121737,0.09548641500397981,0.07573391426660332
rch_10,Recharge 1.0 mm/day,modflow6,boussinesq,0.07584337948278036,0.09039871765996832,0.0721908578768528
rch_20,Recharge 2.0 mm/day,modflownwt,modflow6,0.0014714358447006685,0.0022998889437140235,0.0011533319246756157
rch_20,Recharge 2.0 mm/day,modflownwt,boussinesq,0.10930261397797778,0.14572604497256236,0.10520271606286036
rch_20,Recharge 2.0 mm/day,modflow6,boussinesq,0.11041112272314013,0.14610458522732284,0.10635604798753598
