comparison_id,variable,time_index,time_label,value__mf6_mod_tri,value__nwt_mod_s60
ex12_mf6_nwt_moderate,perenn_areas,6,2003-07-01,42.651609246228716,23.75
ex12_mf6_nwt_moderate,recharge,6,2003-07-01,2.3148148148148148e-09,2.3148148148148148e-09
ex12_mf6_nwt_moderate,seepage_areas,6,2003-07-01,55.921370479179934,30.166666666666668
ex12_mf6_nwt_moderate,total_areas,6,2003-07-01,56.12089675765651,30.166666666666668
ex12_mf6_nwt_moderate,watertable_depth,6,2003-07-01,349.56615856823964,1.9852857893258153
ex12_mf6_nwt_moderate,watertable_elevation,6,2003-07-01,119.1465508971719,120.4593312157525
ex12_mf6_nwt_moderate,accumulation_flux,7,2003-08-01,0.001995504010334896,0.014177908189594746
ex12_mf6_nwt_moderate,intermit_areas,7,2003-08-01,2.2533775198218837,0.0
ex12_mf6_nwt_moderate,outflow_drain,7,2003-08-01,4.080205503375863e-09,5.395469919811603e-09
ex12_mf6_nwt_moderate,perenn_areas,7,2003-08-01,42.651609246228716,23.75
ex12_mf6_nwt_moderate,recharge,7,2003-08-01,1.1574074074074074e-09,1.1574074074074074e-09
ex12_mf6_nwt_moderate,seepage_areas,7,2003-08-01,44.7412945701327,23.75
ex12_mf6_nwt_moderate,total_areas,7,2003-08-01,44.904986766050605,23.75
ex12_mf6_nwt_moderate,watertable_depth,7,2003-08-01,536.7878914639566,3.049784658916059
ex12_mf6_nwt_moderate,watertable_elevation,7,2003-08-01,115.49739440811581,119.20204867045085
ex12_mf6_nwt_moderate,accumulation_flux,8,2003-09-01,0.0019755072441732914,0.014194855466485023
ex12_mf6_nwt_moderate,intermit_areas,8,2003-09-01,0.0,0.0
ex12_mf6_nwt_moderate,outflow_drain,8,2003-09-01,3.9411678433142086e-09,5.402771951748093e-09
ex12_mf6_nwt_moderate,perenn_areas,8,2003-09-01,42.651609246228716,23.75
ex12_mf6_nwt_moderate,recharge,8,2003-09-01,2.3148148148148148e-09,2.3148148148148148e-09
ex12_mf6_nwt_moderate,seepage_areas,8,2003-09-01,42.46841840602041,23.75
ex12_mf6_nwt_moderate,total_areas,8,2003-09-01,42.651609246228716,23.75
ex12_mf6_nwt_moderate,watertable_depth,8,2003-09-01,1573.2161579542617,3.0659252449213756
ex12_mf6_nwt_moderate,watertable_elevation,8,2003-09-01,102.23911079475629,119.18672805998061
ex12_mf6_nwt_moderate,accumulation_flux,9,2003-10-01,0.0032317420957969174,0.01782091148197651
ex12_mf6_nwt_moderate,intermit_areas,9,2003-10-01,11.781694029406541,3.5833333333333335
ex12_mf6_nwt_moderate,outflow_drain,9,2003-10-01,5.690799132794924e-09,6.992276816744723e-09
ex12_mf6_nwt_moderate,perenn_areas,9,2003-10-01,42.651609246228716,23.75
ex12_mf6_nwt_moderate,recharge,9,2003-10-01,8.101851851851851e-09,8.101851851851851e-09
ex12_mf6_nwt_moderate,seepage_areas,9,2003-10-01,54.43330327563526,27.333333333333332
ex12_mf6_nwt_moderate,total_areas,9,2003-10-01,54.43330327563526,27.333333333333332
ex12_mf6_nwt_moderate,watertable_depth,9,2003-10-01,1572.7166871489153,2.7934013047038273
ex12_mf6_nwt_moderate,watertable_elevation,9,2003-10-01,103.87859037311024,119.63774009492663
ex12_mf6_nwt_moderate,accumulation_flux,10,2003-11-01,0.012063940191897648,0.01801779679954052
ex12_mf6_nwt_moderate,intermit_areas,10,2003-11-01,42.31786004624393,3.75
ex12_mf6_nwt_moderate,outflow_drain,10,2003-11-01,1.807121879186614e-08,7.080570564778012e-09
ex12_mf6_nwt_moderate,perenn_areas,10,2003-11-01,42.651609246228716,23.75
ex12_mf6_nwt_moderate,recharge,10,2003-11-01,2.0833333333333335e-08,2.0833333333333335e-08
ex12_mf6_nwt_moderate,seepage_areas,10,2003-11-01,84.48022738177107,27.500000000000004
ex12_mf6_nwt_moderate,total_areas,10,2003-11-01,84.96946929247264,27.500000000000004
ex12_mf6_nwt_moderate,watertable_depth,10,2003-11-01,1572.0851212115595,2.7553282903663017
ex12_mf6_nwt_moderate,watertable_elevation,10,2003-11-01,113.25817538019902,119.68572777218289
ex12_mf6_nwt_moderate,accumulation_flux,11,2003-12-01,0.02308865917624956,0.04580403119325638
ex12_mf6_nwt_moderate,intermit_areas,11,2003-12-01,42.31786004624393,54.77777777777778
ex12_mf6_nwt_moderate,outflow_drain,11,2003-12-01,3.175975239278353e-08,2.1574176617059507e-08
ex12_mf6_nwt_moderate,perenn_areas,11,2003-12-01,42.651609246228716,23.75
ex12_mf6_nwt_moderate,recharge,11,2003-12-01,3.472222222222222e-08,3.472222222222222e-08
ex12_mf6_nwt_moderate,seepage_areas,11,2003-12-01,84.48022738177107,78.08333333333334
ex12_mf6_nwt_moderate,total_areas,11,2003-12-01,84.96946929247264,78.52777777777777
ex12_mf6_nwt_moderate,watertable_depth,11,2003-12-01,1572.0851212115595,0.1954716189469172
ex12_mf6_nwt_moderate,watertable_elevation,11,2003-12-01,123.72688885759818,123.8730956225925
