comparison_id,observable,variable,support,unit,comparison_time_key,time,time_index,elapsed_seconds,value_index,value__mf6_mod_tri,value__nwt_mod_s60
ex12_mf6_nwt_moderate,head_upstream_ridge,watertable_elevation,point,m,time_index:6,6,6,,0,113.12099548723972,107.55073547363281
ex12_mf6_nwt_moderate,head_upstream_ridge,watertable_elevation,point,m,time_index:7,7,7,,0,112.17678972495429,106.97003936767578
ex12_mf6_nwt_moderate,head_upstream_ridge,watertable_elevation,point,m,time_index:8,8,8,,0,112.18045217983024,106.97394561767578
ex12_mf6_nwt_moderate,head_upstream_ridge,watertable_elevation,point,m,time_index:9,9,9,,0,114.5811877272346,107.7573013305664
ex12_mf6_nwt_moderate,head_upstream_ridge,watertable_elevation,point,m,time_index:10,10,10,,0,122.91401170020872,107.79143524169922
ex12_mf6_nwt_moderate,head_upstream_ridge,watertable_elevation,point,m,time_index:11,11,11,,0,125.89234491387283,109.6661605834961
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:0,0,0,,0,0.0018493586063146835,0.0001339606136483511
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:1,1,1,,0,0.002758383881731222,0.0002366053979332921
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:2,2,2,,0,0.0030242616760491675,0.00022099297060731825
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:3,3,3,,0,0.0019696806232056573,0.00015502532634271144
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:4,4,4,,0,0.001699453878679284,0.00012442629200831793
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:5,5,5,,0,0.0009287322271181694,7.958881357168409e-05
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:6,6,6,,0,0.00042146140414218926,4.509927281487538e-05
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:7,7,7,,0,0.00033694497155301126,3.411645184314693e-05
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:8,8,8,,0,0.0003335684763064077,3.416674454220575e-05
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:9,9,9,,0,0.000545686324304712,4.58507371250663e-05
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:10,10,10,,0,0.0018572523422088196,4.6480960323314334e-05
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:11,11,11,,0,0.00348273797308443,0.0001600140594858619
