comparison_id,observable,variable,support,unit,variant_id,variant_label,comparison_time_key,time,time_index,elapsed_seconds,value_index,value
ex12_mf6_nwt_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:11,11,11,,0,125.89234491387283
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:0,0,0,,0,0.0018493586063146835
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:1,1,1,,0,0.002758383881731222
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:2,2,2,,0,0.0030242616760491675
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:3,3,3,,0,0.0019696806232056573
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:4,4,4,,0,0.001699453878679284
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:5,5,5,,0,0.0009287322271181694
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:6,6,6,,0,0.00042146140414218926
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:7,7,7,,0,0.00033694497155301126
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:8,8,8,,0,0.0003335684763064077
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:9,9,9,,0,0.000545686324304712
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:10,10,10,,0,0.0018572523422088196
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:11,11,11,,0,0.00348273797308443
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:0,0,0,,0,116.09262084960938
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:1,1,1,,0,118.03890991210938
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:2,2,2,,0,117.48055267333984
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:3,3,3,,0,116.6348648071289
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:4,4,4,,0,115.90869140625
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:5,5,5,,0,114.92308044433594
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:6,6,6,,0,113.84512329101562
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:7,7,7,,0,113.41221618652344
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:8,8,8,,0,113.41609954833984
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:9,9,9,,0,114.17802429199219
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:10,10,10,,0,114.21210479736328
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:11,11,11,,0,117.54637145996094
ex12_mf6_nwt_moderate,head_mid_basin_response,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:0,0,0,,0,116.22386932373047
ex12_mf6_nwt_moderate,head_mid_basin_response,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:1,1,1,,0,118.13345336914062
ex12_mf6_nwt_moderate,head_mid_basin_response,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:2,2,2,,0,117.7114486694336
ex12_mf6_nwt_moderate,head_mid_basin_response,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:3,3,3,,0,116.93858337402344
ex12_mf6_nwt_moderate,head_mid_basin_response,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:4,4,4,,0,116.12748718261719
ex12_mf6_nwt_moderate,head_mid_basin_response,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:5,5,5,,0,115.0318374633789
ex12_mf6_nwt_moderate,head_mid_basin_response,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:6,6,6,,0,113.7960205078125
ex12_mf6_nwt_moderate,head_mid_basin_response,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:7,7,7,,0,113.15201568603516
ex12_mf6_nwt_moderate,head_mid_basin_response,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:8,8,8,,0,113.15589904785156
