;REA_historic
1981-07-31;4.3726807
1981-08-31;2.0736508
1981-09-30;3.1524527
1981-10-31;26.866613
1981-11-30;33.026913
1981-12-31;86.24525
1982-01-31;114.94679
1982-02-28;41.818665
1982-03-31;55.46768
1982-04-30;20.79773
1982-05-31;6.393158
1982-06-30;4.4028015
1982-07-31;5.3994446
1982-08-31;3.9295564
1982-09-30;3.1215942
1982-10-31;42.51685
1982-11-30;96.72983
1982-12-31;142.24413
1983-01-31;50.483215
1983-02-28;45.572235
1983-03-31;25.249573
1983-04-30;32.176056
1983-05-31;50.996765
1983-06-30;14.063385
1983-07-31;2.9008179
1983-08-31;1.2425761
1983-09-30;1.5933806
1983-10-31;3.2109532
1983-11-30;3.5023289
1983-12-31;11.91889
1984-01-31;66.64616
1984-02-29;74.57789
1984-03-31;35.793198
1984-04-30;27.575836
1984-05-31;6.383087
1984-06-30;5.3671722
1984-07-31;2.1842804
1984-08-31;1.5959611
1984-09-30;0.8879893
1984-10-31;2.6627061
1984-11-30;23.87107
1984-12-31;86.82405
1985-01-31;74.437744
1985-02-28;52.513275
1985-03-31;43.111206
1985-04-30;49.93219
1985-05-31;10.201233
1985-06-30;5.574463
1985-07-31;2.9181519
1985-08-31;2.122981
1985-09-30;2.12094
1985-10-31;2.0979881
1985-11-30;6.7991076
1985-12-31;41.74052
1986-01-31;83.70034
1986-02-28;46.870834
1986-03-31;29.034256
1986-04-30;38.725494
1986-05-31;25.835907
1986-06-30;9.248596
1986-07-31;6.8834534
1986-08-31;3.7029917
1986-09-30;11.62406
1986-10-31;13.730667
1986-11-30;49.137535
1986-12-31;82.38611
1987-01-31;49.885086
1987-02-28;29.18457
1987-03-31;24.581299
1987-04-30;31.741974
1987-05-31;7.2001038
1987-06-30;4.7934265
1987-07-31;4.2246094
1987-08-31;2.4469175
1987-09-30;1.7832625
1987-10-31;18.664305
1987-11-30;37.754578
1987-12-31;37.658207
1988-01-31;89.46196
1988-02-29;102.00264
1988-03-31;36.90384
1988-04-30;37.070007
1988-05-31;14.102814
1988-06-30;6.86615
1988-07-31;3.8728638
1988-08-31;2.9625468
1988-09-30;6.2665052
1988-10-31;7.4281263
1988-11-30;5.393894
1988-12-31;12.6176815
1989-01-31;15.544628
1989-02-28;19.70179
1989-03-31;53.591576
1989-04-30;27.577866
1989-05-31;11.162781
1989-06-30;2.8270721
1989-07-31;1.4685822
1989-08-31;0.8757061
1989-09-30;0.54505545
1989-10-31;0.82663417
1989-11-30;3.405685
1989-12-31;21.22261
1990-01-31;55.594704
1990-02-28;156.34543
1990-03-31;26.356796
1990-04-30;7.365326
1990-05-31;4.3804016
1990-06-30;2.1497192
1990-07-31;1.7449951
1990-08-31;0.9847003
1990-09-30;0.5705682
1990-10-31;3.1363506
1990-11-30;8.784355
1990-12-31;20.723728
1991-01-31;96.58963
1991-02-28;31.096909
1991-03-31;32.587326
1991-04-30;14.354401
1991-05-31;5.981247
1991-06-30;2.6866455
1991-07-31;6.751343
1991-08-31;3.5646946
1991-09-30;1.7842264
1991-10-31;6.060968
1991-11-30;30.821068
1991-12-31;20.26675
1992-01-31;14.079803
1992-02-29;15.359955
1992-03-31;11.942429
1992-04-30;8.676521
1992-05-31;8.464516
1992-06-30;4.1351013
1992-07-31;2.3107834
1992-08-31;2.1088793
1992-09-30;3.4180872
1992-10-31;7.7741175
1992-11-30;33.854866
1992-12-31;104.416565
1993-01-31;64.16554
1993-02-28;19.901474
1993-03-31;9.898804
1993-04-30;11.374832
